modelo,tipo,termo,coef,erro_padrao,p,ci95_inf,ci95_sup,papel
MUNI_HHI_norm,OLS_municipio_HC3,log_despesa_pc,0.0006673457618552278,0.024964384101703666,0.9786735587552549,-0.048261947973708266,0.049596639497418715,concentracao
MUNI_HHI_norm,OLS_municipio_HC3,log_n_fornecedores,-0.07528518337953746,0.009356898772947209,8.557566594885725e-16,-0.09362436798150102,-0.056945998777573906,concentracao
MUNI_HHI_norm,OLS_municipio_HC3,log_instr_por_forn,0.02635371946159037,0.021820158927668178,0.22713598883023955,-0.016413006173579384,0.06912044509676013,concentracao
WLS_CR1,WLS_peso_municipio_cluster,Intercept,0.3699500770471609,0.23509358714697456,0.1155732540278464,-0.09082488675723782,0.8307250408515596,concentracao_robustez
WLS_CR1,WLS_peso_municipio_cluster,C(regiao)[T.Nordeste],-0.014909273646442062,0.020382843222345765,0.4644970556937741,-0.0548589122647661,0.02504036497188198,concentracao_robustez
WLS_CR1,WLS_peso_municipio_cluster,C(regiao)[T.Norte],0.01980693205028891,0.032661266821437,0.5442259998365085,-0.04420797460918062,0.08382183870975844,concentracao_robustez
WLS_CR1,WLS_peso_municipio_cluster,C(regiao)[T.Sudeste],0.0447014987548579,0.0186944355294955,0.016794957052011446,0.008061078405740746,0.08134191910397505,concentracao_robustez
WLS_CR1,WLS_peso_municipio_cluster,C(regiao)[T.Sul],0.08005968034757327,0.017211140924344025,3.293381881934943e-06,0.046326464003015565,0.11379289669213097,concentracao_robustez
WLS_CR1,WLS_peso_municipio_cluster,log_populacao,0.02252154491907573,0.00496334045440341,5.690396084274325e-06,0.01279357638543438,0.03224951345271708,concentracao_robustez
WLS_CR1,WLS_peso_municipio_cluster,log_despesa_pc,0.008777505786628016,0.023015937000371932,0.7029313652440183,-0.036332901804543814,0.05388791337779985,concentracao_robustez
WLS_CR1,WLS_peso_municipio_cluster,log_n_fornecedores,-0.11244035567766045,0.007127631283694489,4.60376186459627e-56,-0.12641025628878264,-0.09847045506653826,concentracao_robustez
WLS_CR1,WLS_peso_municipio_cluster,log_instr_por_forn,0.04414631654537612,0.01810800487878259,0.014771028903428126,0.008655279151086659,0.07963735393966558,concentracao_robustez
MUNI_CR1,OLS_municipio_HC3,Intercept,0.3785762252060762,0.24004229830054508,0.11476723016672082,-0.09189803422921239,0.8490504846413648,concentracao_robustez
MUNI_CR1,OLS_municipio_HC3,C(regiao)[T.Nordeste],-0.016220263016161543,0.020629530089126876,0.43171266326599733,-0.05665339900883559,0.024212872976512506,concentracao_robustez
MUNI_CR1,OLS_municipio_HC3,C(regiao)[T.Norte],0.018208581462358642,0.03411535220052163,0.5935244044719967,-0.04865628017056303,0.08507344309528031,concentracao_robustez
MUNI_CR1,OLS_municipio_HC3,C(regiao)[T.Sudeste],0.044354193597179875,0.018823946879136542,0.018459779419568657,0.007459935667177099,0.08124845152718266,concentracao_robustez
MUNI_CR1,OLS_municipio_HC3,C(regiao)[T.Sul],0.08313866086722753,0.017726478094421693,2.7309369840846655e-06,0.048395402229422804,0.11788191950503225,concentracao_robustez
MUNI_CR1,OLS_municipio_HC3,log_populacao,0.02245012517575851,0.005066140832415759,9.362077050439679e-06,0.012520671603615852,0.032379578747901164,concentracao_robustez
MUNI_CR1,OLS_municipio_HC3,log_despesa_pc,0.008655160615773752,0.023482927235747048,0.7124464149312448,-0.03737053101786519,0.054680852249412694,concentracao_robustez
MUNI_CR1,OLS_municipio_HC3,log_n_fornecedores,-0.11445044748296901,0.008915230541673964,1.009143753335645e-37,-0.1319239782585215,-0.09697691670741652,concentracao_robustez
