orgao_cnpj,portfolio_hhi_mar,portfolio_hhi_norm_mar,portfolio_cr1_mar,portfolio_cr4_mar,count_hhi_mar,count_hhi_norm_mar,exposicao_strength_global_mar,exposicao_degree_global_mar,n_fornecedores_mar,n_instrumentos_mar,quadrante_mar,exposicao_oculta_mar,portfolio_hhi_abr,portfolio_hhi_norm_abr,portfolio_cr1_abr,portfolio_cr4_abr,count_hhi_abr,count_hhi_norm_abr,exposicao_strength_global_abr,exposicao_degree_global_abr,n_fornecedores_abr,n_instrumentos_abr,quadrante_abr,exposicao_oculta_abr,delta_hhi,delta_hhi_norm,delta_exposicao_strength,quadrante_estavel
08595042000124,0.1090589266578802,0.1012436540847037,0.2515396261879071,0.5787881064106254,0.0224742789677854,0.013899491941187,0.9262368489793468,0.6446239264950007,115,308,oculta,True,0.1011753714677308,0.0946621495218448,0.1919588960831009,0.559486888685553,0.0214880075822042,0.014397340970481,0.9303489053284127,0.6133461623971997,139,443,oculta,True,-0.007883555190149397,-0.0065815045628589,0.004112056349065973,True
08595187000125,0.1702084922023213,0.1525533537385409,0.3881791749379153,0.5705900210263616,0.0216,0.0007829787234042,0.8465667040658924,0.5560241409665948,48,50,baixo_baixo,False,0.1697377119855651,0.1520725569214281,0.387599826386003,0.5697384284532409,0.021914648212226,0.0011043215784436,0.8460042787614849,0.5583862476816899,48,51,baixo_baixo,False,-0.0004707802167562003,-0.00048079681711279965,-0.0005624253044075322,True
08638248000194,0.1694270760841464,0.0771411956490515,0.2562838836865451,0.753244619681288,0.1074380165289256,0.0082644628099173,0.7116665818928949,0.7764057055679876,10,11,baixo_baixo,False,0.1694270760841464,0.0771411956490515,0.2562838836865451,0.753244619681288,0.1074380165289256,0.0082644628099173,0.7132259334647487,0.7742885211644868,10,11,baixo_baixo,False,0.0,0.0,0.0015593515718538287,True
08677428000185,0.286480521925581,0.1972905871662786,0.4448955794007448,0.9526497772566268,0.12,0.01,0.8950988801294615,0.9147777938062456,9,10,baixo_baixo,False,0.286480521925581,0.1972905871662786,0.4448955794007448,0.9526497772566268,0.12,0.01,0.8965816495473397,0.915092087420148,9,10,baixo_baixo,False,0.0,0.0,0.0014827694178781714,True
08677960000100,0.8913852480919768,0.8732827894406396,0.9436425061923952,0.9912410985123242,0.1428571428571428,0.0,0.9829402273820776,0.4097473287961178,7,7,critico,False,0.8275330138650671,0.8059746405982006,0.9087742622829672,0.972530070517984,0.1111111111111111,0.0,0.9781952587760456,0.4182254625053385,9,9,critico,False,-0.06385223422690978,-0.06730814884243908,-0.004744968606032018,True
08678243000195,0.1336625416520605,0.037402824057845,0.2230054862626436,0.606210832044574,0.1,3.0839528461809905e-17,0.5905002803286374,0.5907100128075331,10,10,baixo_baixo,False,0.1105042674228687,0.0363796230414411,0.1926044058957513,0.5255380235058504,0.0816326530612245,0.0051020408163265,0.5940195491839819,0.6306116068760026,13,14,baixo_baixo,False,-0.02315827422919181,-0.0010232010164039004,0.0035192688553444818,True
08692266000154,0.0352303228439402,0.0249668156401523,0.0752061414649913,0.2630068731321338,0.0300992713580126,0.0197811785001191,0.8748310649579272,0.9931994200957166,95,286,baixo_baixo,False,0.0350404412190425,0.0261056304895892,0.0919669289607372,0.2715928808061687,0.0257227891156462,0.01670170382968,0.892793516221894,0.9947594527886912,109,336,baixo_baixo,False,-0.00018988162489769894,0.0011388148494369012,0.017962451263966783,True
08712299000119,0.6270447831634608,0.502726377551281,0.7674615735187896,1.0,0.28,0.04,0.6575025242038797,0.5195279778238291,4,5,hhi_alto,False,0.4530264905866759,0.343631788704011,0.6415884703985516,0.9706753969748464,0.24,0.088,0.6607101737507721,0.4632535221443311,6,10,hhi_alto,False,-0.17401829257678492,-0.15909458884727,0.003207649546892455,True
08715618000140,0.5892880971547744,0.5812349225891817,0.7621018090334903,0.9159857675390374,0.0198902606310013,0.0006724226041582,0.9735569591076456,0.433164048657103,52,54,critico,False,0.4421933374855473,0.4345521503278151,0.6583685117607544,0.7929009892379357,0.014375,0.0008732876712328,0.9643642931567896,0.4880517502445144,74,80,critico,False,-0.14709475966922708,-0.14668277226136667,-0.009192665950855994,True
08806026000133,0.2710551591515318,0.2281760508663277,0.4733923456440182,0.7912910870776895,0.0781893004115226,0.0239651416122004,0.6164187327177739,0.956086999963226,18,27,baixo_baixo,False,0.2649210515731701,0.2240833322161239,0.4677521146926395,0.7818632530158311,0.0725326991676575,0.0210067380103051,0.6221399352767976,0.9698411790739014,19,29,baixo_baixo,False,-0.006134107578361692,-0.004092718650203803,0.0057212025590236415,True
08806043000170,0.0850142929317313,0.0511259334106843,0.1922423479426214,0.4915177248458762,0.0539940828402367,0.0189568266491343,0.6916024681537325,0.9901214728067677,28,52,baixo_baixo,False,0.075577587679422,0.0457575098626291,0.1753350043992075,0.4620759828589152,0.0469678953626634,0.01622492424533,0.7144332727572473,0.9924085431670412,32,58,baixo_baixo,False,-0.009436705252309288,-0.005368423548055196,0.02283080460351483,True
08857731000160,0.0705599151765325,0.0596253259433152,0.1448767508226403,0.4725238004662181,0.0267036011080332,0.0152530552387159,0.9367250417772192,0.9848628575344752,86,190,oculta,True,0.0813767748123973,0.0727915110255973,0.2188793880810772,0.4517335549444994,0.0228532235939643,0.0137210107303565,0.9585644097790436,0.987923127041532,108,270,oculta,True,0.010816859635864803,0.013166185082282109,0.0218393680018244,True
08858200000191,0.0425808921292764,0.0344671708761347,0.0975503834464242,0.3146429692720313,0.0321499878256634,0.0239478690784233,0.9053577211829572,0.9801059260148016,119,555,baixo_baixo,False,0.0406849545891778,0.0335789172157643,0.0989150441352366,0.3036662983597243,0.030263269578995,0.0230800345388394,0.9184078561274648,0.9841218608701094,136,752,baixo_baixo,False,-0.001895937540098598,-0.0008882536603703958,0.013050134944507574,True
08931506000126,0.132473410320681,0.1239682476767661,0.334594487039682,0.513937017309251,0.0105724802255462,0.0008722104238359,0.8622832501937346,0.4797371630401926,103,113,baixo_baixo,False,0.0800904713700612,0.0730682612278479,0.2534448043188386,0.3996800074587255,0.0083234244946492,0.0007533742999518,0.844865727482073,0.5007367600909387,132,145,baixo_baixo,False,-0.052382938950619795,-0.0508999864489182,-0.017417522711661637,True
08971900000198,0.1040458441845349,0.0841357518330801,0.2701591157853348,0.50733792379513,0.0422535211267605,0.0209702660406885,0.9104420923752812,0.994015001166321,46,142,baixo_baixo,False,0.062525730942346,0.0463623814758348,0.1660058404864645,0.4053480367108271,0.0371719273904497,0.0205714433799402,0.9005642129832211,0.9936591162810072,59,186,baixo_baixo,False,-0.041520113242188905,-0.037773370357245296,-0.009877879392060085,True
08999257000100,0.0345911795768459,0.0261226811520814,0.0680188610947294,0.2573093160390744,0.0161630142252979,0.0075328652272742,0.875234894526759,0.9692694335557716,115,255,baixo_baixo,False,0.0339042336192498,0.0271007423067094,0.0857896407380965,0.2756609593243732,0.0144914264783315,0.0075512252563479,0.880504112936829,0.975551762955295,143,418,baixo_baixo,False,-0.000686945957596094,0.0009780611546280002,0.005269218410069998,True
09008389000196,0.259327064772937,0.1358815755684265,0.3673778051323156,0.9399561532204004,0.1851851851851851,0.0493827160493827,0.6464644113040674,0.6084523580450432,7,9,baixo_baixo,False,0.259327064772937,0.1358815755684265,0.3673778051323156,0.9399561532204004,0.1851851851851851,0.0493827160493827,0.6460899864745001,0.6126985337577034,7,9,baixo_baixo,False,0.0,0.0,-0.00037442482956728806,True
09097711000109,0.4057139531778153,0.374435740187174,0.6251430785214926,0.7975593005441387,0.05,1.460819769243627e-17,0.9654697657419066,0.4191415801950474,20,20,critico,False,0.2135984252533708,0.1873850394284831,0.4193218797432096,0.7158001665475635,0.032258064516129,0.0,0.9609360265909788,0.4301924018177596,31,31,oculta,True,-0.19211552792444447,-0.1870507007586909,-0.004533739150927807,False
09129733000103,0.1450006745757646,0.0381257588977352,0.1739348580507588,0.6594054438265669,0.1111111111111111,0.0,0.9492470927795116,0.4695320727640834,9,9,oculta,True,0.1327099863496872,0.0538654396542042,0.2240665035842954,0.5956216487496353,0.0833333333333333,1.5139404881252137e-17,0.960085773113874,0.4353696396377993,12,12,oculta,True,-0.0122906882260774,0.015739680756468998,0.010838680334362416,True
09240588000125,0.1498137810347047,0.1390519301617263,0.3401430844859844,0.6134414609080303,0.0214159358651059,0.0090287958127655,0.9412903870445076,0.995837960458966,80,163,oculta,True,0.1347394649115696,0.1259102757780142,0.33277459810716,0.5371042731520607,0.0172723355357655,0.007244502224906,0.9528248315976112,0.9971196335492876,99,236,oculta,True,-0.01507431612313509,-0.013141654383712092,0.011534444553103596,True
09281224000193,0.3633708796525889,0.2042135995657361,0.4256056707389409,0.956915149930869,0.2,3.4694469519536136e-17,0.6323578031736226,0.4095272879056663,5,5,baixo_baixo,False,0.3633708796525889,0.2042135995657361,0.4256056707389409,0.956915149930869,0.2,3.4694469519536136e-17,0.6165264855182819,0.4060703352497573,5,5,hhi_alto,False,0.0,0.0,-0.015831317655340627,False
09328892000129,0.3708776537431685,0.2450531844918022,0.5567783596131912,0.9226168081431364,0.1666666666666666,3.3306690738754695e-17,0.9092607088806656,0.4095272879056663,6,6,baixo_baixo,False,0.2246845589852149,0.1385383988724609,0.416087910736387,0.7274161362185697,0.1,3.0839528461809905e-17,0.8829029679784909,0.4369727443565797,10,10,baixo_baixo,False,-0.1461930947579536,-0.1065147856193413,-0.026357740902174687,True
09332615000190,0.3429679887986451,0.3276881745846601,0.5700319013312539,0.7552516615378719,0.0398974523313571,0.0175694861065049,0.8721925154743152,0.5385299804877501,44,79,baixo_baixo,False,0.2630951598990833,0.2499361448972812,0.4960659514813005,0.6786958017553683,0.0346680999731255,0.0174300303297884,0.852915224665368,0.5529626504724123,57,122,baixo_baixo,False,-0.07987282889956182,-0.0777520296873789,-0.019277290808947245,True
09356616000174,0.5077765406612254,0.4804307929201823,0.6952756385562515,0.8999810533016409,0.0808678500986193,0.0298049528818759,0.933479956415015,0.4104839794803763,19,39,critico,False,0.3993698137473455,0.3786584280144954,0.6104611418926494,0.8535975440682261,0.0500685871056241,0.0173123314885767,0.915307952502854,0.4127160361156834,30,54,hhi_alto,False,-0.10840672691387987,-0.10177236490568692,-0.018172003912161006,False
09403680000169,0.1035832341779161,0.0608967215197216,0.1728276607214431,0.575824031484591,0.055885850178359,0.0109280335201857,0.4583968901403474,0.4095272879056663,22,29,baixo_baixo,False,0.0640164078531913,0.0406168180495211,0.1281798828940901,0.4224277443249744,0.0315500685871056,0.0073388203017832,0.4375373078774846,0.4060703352497573,41,54,baixo_baixo,False,-0.03956682632472479,-0.0202799034702005,-0.020859582262862775,True
09509569000151,0.7796490916161696,0.7658771598421802,0.8805252705624549,0.9813486421620106,0.0588235294117647,0.0,0.982086277104517,0.4103287966814686,17,17,critico,False,0.7626303355423005,0.751327018187172,0.8708086647919417,0.9705194494084334,0.0472589792060491,0.0018903591682419,0.981577645311562,0.882254726062638,22,23,critico,False,-0.017018756073869046,-0.01455014165500823,-0.0005086317929550166,True
09522642000125,0.4099233718918542,0.4041944725898334,0.6348771299820986,0.750955577825933,0.0196084964598084,0.0100901323477677,0.9187227409101186,0.9749592055897424,104,245,hhi_alto,False,0.3569809602065844,0.3517531631350932,0.5917017923524291,0.6998862305674606,0.0220414341121937,0.0140905514626993,0.9249388187306868,0.9790656918623508,124,341,oculta,True,-0.05294241168526981,-0.05244130945474018,0.006216077820568211,False
09579148000105,0.1673378328598303,0.1364984933361203,0.32383921169031,0.7080124340875503,0.044378698224852,0.0089853166776243,0.778696265301793,0.5278954726326068,28,52,baixo_baixo,False,0.1346810878642974,0.1076398718600567,0.2759397770178552,0.6386941607418376,0.0400390625,0.0100402832031249,0.7893332515454919,0.598008120265146,33,64,baixo_baixo,False,-0.03265674499553292,-0.028858621476063592,0.01063698624369891,True
09664082000143,0.1780573385084156,0.1033352783728171,0.3091478324084255,0.7678843918484037,0.0833333333333333,1.5139404881252137e-17,0.941555365145794,0.4095272879056663,12,12,oculta,True,0.1238586776961816,0.0654492562092603,0.2287040981977656,0.5886314582083176,0.0625,0.0,0.9359186107108572,0.4587555623493417,16,16,oculta,True,-0.054198660812234,-0.0378860221635568,-0.005636754434936719,True
10237604000100,0.6996751255390449,0.624593906923806,0.8248959243459937,0.9923934830652208,0.2,3.4694469519536136e-17,0.9486537367005592,0.7988388263207717,5,5,critico,False,0.6103871204337559,0.5454516405060484,0.7687209136571352,0.964222148130724,0.1428571428571428,0.0,0.9302289095437856,0.7766447210624248,7,7,critico,False,-0.089288005105289,-0.07914226641775757,-0.018424827156773627,True
10324957000147,0.3249233748909341,0.3161561459934137,0.5635964178816861,0.6709858695447655,0.032427202646609,0.0198613221615,0.822242735252392,0.6637121842487841,78,179,baixo_baixo,False,0.2240737932391491,0.215256449980503,0.4515321027076245,0.6456631189896316,0.0291628193290243,0.0181305786395814,0.7968225447123053,0.6594468567986603,89,228,baixo_baixo,False,-0.10084958165178498,-0.10089969601291068,-0.025420190540086707,True
10377912000130,0.3591382934639853,0.3525314717471192,0.5853282333509544,0.7835499579938141,0.0190963437716684,0.0089839349445722,0.9560853940306544,0.9861909000110872,98,231,oculta,True,0.2928587867330326,0.2867627417910759,0.525296413740302,0.7210664782785072,0.0227352050713874,0.0143105085633821,0.9576745817944872,0.9900597092799284,117,351,oculta,True,-0.06627950673095268,-0.06576872995604327,0.0015891877638327667,True
