orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength
10971858000157,644142.2626,127,68,0.10696649841623862,0.2348445192672256,0.5650998252012536,9.34872146705879,0.6644189480742391,0.02337404674809349,42.78249336870028,0.08359245166814513,0.9878647535531386,0.9012199569901953
11065186000183,2663373.75,3,3,0.989253159190551,0.9946031795199604,1.0,1.0108635900826868,0.03341109005072921,0.3333333333333333,3.0,0.6559198258572176,0.4104787699192603,0.9754211843012753
11084263000142,105340.01999999999,2,2,0.5009784953645461,0.5221189439683038,1.0,1.9960936632067048,0.9985878687915788,0.5,2.0,0.0009784953645460837,0.4083121827411168,0.6356477504157609
11111771000172,2995611.2299999995,93,48,0.6651220761757239,0.8131896340901352,0.9020836792630131,1.5034833992426406,0.2623844760660039,0.030870620881026704,32.3932584269663,0.6342514552946973,0.4361946422885645,0.9166345296599162
11112312000103,946479.2,5,5,0.2447358510932376,0.31449101047334166,0.9302678812170411,4.086038050955713,0.9259710417327046,0.20000000000000004,4.999999999999999,0.04473585109323755,0.4083121827411168,0.834489108162692
11124654000143,84118.8,7,7,0.19294512052538612,0.28531077476140887,0.7903108460891025,5.18282088335283,0.9024847759220439,0.14285714285714285,7.0,0.05008797766824327,0.40831218274111675,0.4078130269242854
11135974000107,3202006.76,8,7,0.4536454274295345,0.6354742018096177,0.9569683700480383,2.2043647737534657,0.5660254600902103,0.15625,6.4,0.2973954274295345,0.40831218274111675,0.9350508035647636
11136549000124,8625591.76,6,5,0.26734358542728,0.3028144795946151,0.9420329626172802,3.7405049326384887,0.8761957393425354,0.22222222222222227,4.499999999999999,0.04512136320505772,0.5975262146406434,0.9725440010838214
11148262000114,85647.996,31,17,0.11118631922021711,0.19205359107293066,0.58529338152874,8.993912263786578,0.8585118604236381,0.09469302809573361,10.56043956043956,0.0164932911244835,0.9935384581921072,0.9137385185874679
11149280000110,106526.54000000001,18,10,0.3425437276115817,0.45267874090344057,0.9120947699981619,2.9193353122317958,0.5965018605765949,0.12962962962962965,7.714285714285713,0.21291409798195204,0.633240562139116,0.5709584940553776
11151349000140,168063.6,10,10,0.30753137096594785,0.4998107859167601,0.8426857451583805,3.251700783757529,0.682744063040807,0.10000000000000003,9.999999999999996,0.20753137096594781,0.47746722919965895,0.6453593387802923
11151460000137,47203.51,4,4,0.5045346492734459,0.659842880328179,1.0,1.9820244287286273,0.6403669361146573,0.25,4.0,0.25453464927344593,0.43536035602895296,0.4718140350489531
11152150000137,224000.0,2,2,0.684311224489796,0.8035714285714286,1.0,1.461323392357875,0.7147274731317893,0.5,2.0,0.18431122448979598,0.40831218274111675,0.7749175693437274
11162144000160,6700.0,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.40831218274111675,0.28672271573604063
11166368000140,696417.44,40,26,0.06503754353311443,0.09236259218321702,0.3519086483532061,15.375734470826705,0.8821540873715191,0.052500000000000005,19.047619047619047,0.012537543533114426,0.6074279362194884,0.6189918611286621
11168270000122,56170.64000000001,7,7,0.4358536641662152,0.6293323344722439,0.9288396927647612,2.294348039755482,0.6171081135758807,0.14285714285714285,7.0,0.29299652130907233,0.7874875265756556,0.6527975836050333
11170888000127,263625.0,6,6,0.21438905402370254,0.29445234708392604,0.8634423897581791,4.6644172416071275,0.91888618816615,0.16666666666666669,5.999999999999999,0.04772238735703585,0.40831218274111675,0.6272535309153664
11171868000170,12313118.779999997,46,41,0.10053642909136137,0.23590518469764976,0.5483113271810733,9.946643311662292,0.7573015445081657,0.02930056710775047,34.12903225806452,0.0712358619836109,0.6316338571436036,0.9204902289877308
11179871000130,79357.0,3,3,0.6726198139801259,0.8011895610973198,1.0,1.486723969790083,0.5231359896987148,0.3333333333333333,3.0,0.3392864806467926,0.4197912157736846,0.6198450278888137
11186410000195,51000.2,2,2,0.9999921569242596,0.9999960784467512,1.0,1.0000078431372548,7.608925294887194e-05,0.5,2.0,0.4999921569242596,0.8601663752308965,0.7814848835593299
11188015000141,1316271.737,74,34,0.2332050915180945,0.46230065031017226,0.6355952919773131,4.28807104291893,0.6455721629010434,0.051862673484295116,19.28169014084507,0.18134241803379936,0.9560759605359158,0.9282468739943286
11190946000184,780205.0,3,2,0.670951386546434,0.7923622637640108,1.0,1.4904209456176356,0.7369430285889113,0.5555555555555556,1.7999999999999998,0.11539583099087847,0.40831218274111675,0.9027894310414383
11193159000196,1616005.0,4,2,0.5036017029614475,0.5424364404813103,1.0,1.9856962240585465,0.9947975846137471,0.5,2.0,0.0036017029614474616,0.8601681472081218,0.9904500404637324
11195905000180,364438.72,3,3,0.3532219248469063,0.4484704589018423,1.0,2.831081339113988,0.9740574554859956,0.3333333333333333,3.0,0.019888591513572973,0.40831218274111675,0.7704669713821624
11206573000192,118490.25,4,4,0.25084805585724,0.27001588738313914,1.0,3.9864769793914983,0.998780087716315,0.25,4.0,0.0008480558572400154,0.903128823886557,0.7299728992030733
11208059000196,476009.25,7,6,0.2892016422221518,0.4425064218815075,0.9126487563004291,3.4577950260456842,0.8124294303316558,0.18367346938775508,5.444444444444445,0.1055281728343967,0.459572157376522,0.7557818083527037
11214458000160,3245379.6719000004,278,74,0.07057662479567434,0.14328717531152663,0.46040535686391043,14.168997212534459,0.7233433722136801,0.03304694373997205,30.259984338292874,0.037529681055702285,0.9297990406061417,0.9300029851943157
11218352000134,20400.0,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8601681472081218,0.8404187817258884
