orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,integracao_siconfi_principal,cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,despesa_empenhada_per_capita,exposicao_strength,exposicao_degree,procurement_intensity_parcial,log_despesa_empenhada,log_populacao_siconfi,log_despesa_per_capita,instrumentos_por_fornecedor
01650166000116,1,18,5212204,Jussara,GO,579048.92,18,15,0.2138000615108942,0.074074074074074,0.4144727530102292,0.6717912538374133,4.677267129546848,0.1576429230473867,0.0079365079365079,0.1397259874368202,0.1497064151108788,0.4807390411812353,0.6646036364013711,True,5212204,134970253.63,133933174.01,133547382.43,19582.0,0.9923162356733582,0.9894578904482126,6892.567338882647,0.6646036364013711,0.4807390411812353,0.004290196576109079,18.72056496864203,9.882366055914016,8.838198912728014,1.2
01743462000161,1,11,4210605,Massaranduba,SC,13438.5,11,9,0.2100500208943957,0.1239669421487603,0.2547903411839119,0.8675149756297206,4.760770771371443,0.1113062735061952,0.0144628099173553,0.0860830787456354,0.0968434635888398,0.9895481794548328,0.8200607591989957,True,4210605,124444403.28,110119199.41,109432576.68,18922.0,0.8848867165382417,0.8793692106327725,6576.70453863228,0.8200607591989957,0.9895481794548328,0.00010798798214945323,18.639369614131425,9.84808054526439,8.791289068867036,1.2222222222222223
01746653000187,1,795,4208807,Jaguaruna,SC,1974258.3714,795,175,0.0546683460314397,0.020253945650884,0.1829155217125498,0.3489672481476909,18.292120991275272,0.0492354054913905,0.0146232212006017,0.0344144003805557,0.0346121842907888,0.958175253093916,0.9174496340426884,True,4208807,139499891.73,134391375.01,131446853.98,19538.0,0.9633797800367655,0.9422720860200628,7139.926897840106,0.9174496340426884,0.958175253093916,0.01415240074322888,18.75357438309636,9.880116566212887,8.873457816883473,4.542857142857143
01815216000178,1,148,5218805,Rio Verde,GO,46022370.87,148,129,0.1342201712306583,0.0092220598977355,0.3361843318264494,0.5439633957736607,7.450444972846093,0.1274562663183978,0.0014816072406866,0.1249981113329227,0.1259746590777112,0.4413134603681855,0.9286793666269976,True,5218805,2409832671.89,2291315121.4,2238259790.56,214607.0,0.9508191784963028,0.9288029897962012,11229.04971361605,0.9286793666269976,0.4413134603681855,0.019097745418940337,21.60282315128751,12.276563727472475,9.326259423815037,1.1472868217054264
01823752000115,1,19,4208203,Itajaí,SC,169659.65000000002,19,9,0.2052672825314581,0.1412742382271468,0.3261055884531177,0.8343702229728753,4.871696978044934,0.1059256928478903,0.0339335180055401,0.0639930443043113,0.0719921748423502,0.870703275889076,0.8161847981796571,True,4208203,2879626419.94,2710544158.75,2700099900.64,291169.0,0.9412832650724454,0.9376563160912585,9889.879829033998,0.8161847981796571,0.870703275889076,5.891724316223458e-05,21.780926407381898,12.581659133593865,9.199267273788033,2.111111111111111
01824828000127,1,126,4209409,Laguna,SC,232749.24000000005,126,45,0.4208958445744556,0.0404383975812547,0.6367367730180343,0.8186374314261992,2.37588470613447,0.4077343864966024,0.018630179344465,0.3804574469932009,0.3891042071521373,0.6131953410063103,0.7606257951816885,True,4209409,222290089.45,210941157.72,206265737.35,41269.0,0.9489453994189304,0.9279124312755096,5386.3696588238145,0.7606257951816885,0.6131953410063103,0.0010470518077341125,19.21949379606928,10.627866891777025,8.591626904292255,2.8
01834835000100,1,24,2704302,Maceió,AL,6830000.0,24,24,0.0582146631539007,0.0416666666666666,0.0878477306002928,0.3206442166910688,17.17780273599322,0.0172674745953746,0.0,0.016547996487234,0.0172674745953746,0.6478298910454363,0.8861362159569557,True,2704302,5315509518.88,5117855869.47,5085156468.9,960667.0,0.9628156720051089,0.9566639756430091,5533.1446993391055,0.8861362159569557,0.6478298910454363,0.0012849191551140538,22.393894708469244,13.775383113854698,8.618511594614546,1.0
01842685000186,1,5,4203907,Capinzal,SC,43549.99,5,5,0.3669854646107463,0.2,0.5510908268865274,0.9425947055326536,2.724903562762844,0.2087318307634328,3.4694469519536136e-17,0.1669854646107463,0.2087318307634328,0.5157656339420618,0.3945138416268523,True,4203907,169606579.69,162885563.4,162730035.53,23184.0,0.9603729035613807,0.9594559116010201,7315.673727139407,0.3945138416268523,0.5157656339420618,0.0002567706399103083,18.948992075911537,10.051217664560463,8.897774411351074,1.0
01850671000104,1,188,4203600,Campos Novos,SC,496470.25,188,61,0.1585469434940581,0.0430624717066545,0.3215902664862597,0.6663128556041373,6.307280215953688,0.1445227258856257,0.0271135129017655,0.1154844717874035,0.1174092129838602,0.9158680520962352,0.8060646773082181,True,4203600,321410573.31,305440464.69,302772642.41,36976.0,0.9503124354138877,0.9420120791047415,8692.410571992645,0.8060646773082181,0.9158680520962352,0.0015446606030634692,19.58822990839303,10.518024332514162,9.070205575878868,3.081967213114754
01877528000106,1,69,4202107,Barra Velha,SC,13863172.3536,69,52,0.1691756727692427,0.0237345095568157,0.2856787695474013,0.7393603540778532,5.911015358360711,0.1528849996862867,0.0045920489598906,0.1454411632124269,0.1482929507263961,0.6931678731933163,0.942633533450937,True,4202107,338663895.79,313109110.99,309350941.75,45633.0,0.9245423408940937,0.9134452936838106,7421.469020007451,0.942633533450937,0.6931678731933163,0.04093489895420186,19.64051871567868,10.728386417979852,8.912132297698827,1.3269230769230769
01896727000161,1,46,4210803,Meleiro,SC,88328.01,46,31,0.2741536516897199,0.0472589792060491,0.4755003537382989,0.7620730954993779,3.647589568246111,0.2499587734127105,0.0155009451795841,0.2268946724836707,0.2344578282331264,0.5929392725505465,0.6001723997307719,True,4210803,52087179.73,51086619.75,50866929.75,6940.0,0.9807906670089163,0.9765729304921997,7505.357309798271,0.6001723997307719,0.5929392725505465,0.001695772557812855,17.76842940600184,8.84505705350085,8.923372352500987,1.4838709677419355
01906118000146,1,10,3205010,Sooretama,ES,670362.69,10,10,0.5859091727998346,0.1,0.7605486516560162,0.8774639441822156,1.7067491796064305,0.5398990808887051,3.0839528461809905e-17,0.4859091727998345,0.5398990808887051,0.3989296410860706,0.7756283845061551,True,3205010,200832446.08,195469000.76,194171415.92,27255.0,0.9732939302155214,0.9668328983188968,7368.645976151165,0.7756283845061551,0.3989296410860706,0.0033379202568342282,19.117981516792295,10.21299226949838,8.904989247293914,1.0
01933030000113,1,6,1100304,Vilhena,RO,434715.92,6,5,0.7532521916163409,0.2222222222222222,0.8642239741300479,0.9960801987652074,1.327576621920188,0.691565239520426,0.0277777777777778,0.5310299693941187,0.6637874617426482,0.4230025788374212,0.8218064589528167,True,1100304,707024413.09,659545571.4,657844603.29,95599.0,0.9328469557614041,0.9304411433474225,7395.730217784705,0.8218064589528167,0.4230025788374212,0.0006148527716321774,20.376575753802165,11.467917638733738,8.908658115068427,1.2
01935036000120,1,72,4207304,Imbituba,SC,50402.63,72,37,0.1272404701384932,0.0455246913580247,0.2404041217690426,0.6092150350090859,7.859134746292302,0.1029971498645624,0.019011488340192,0.0817157787804685,0.0839856615243704,0.9900735895866976,0.7958963025578017,True,4207304,350268532.1,310891783.27,306098043.67,54258.0,0.8875812548905816,0.8738953563279571,6455.6108242102555,0.7958963025578017,0.9900735895866976,0.00014389711144708337,19.674210652845176,10.901505725968535,8.77270492687664,1.945945945945946
01941360000150,1,397,4203303,Campo Alegre,SC,1381958.9663999998,397,139,0.0796090877053742,0.0201701679472618,0.2308245090886947,0.4465150786694153,12.56137997336317,0.0729395883409204,0.0130699517729666,0.0594389197581123,0.0598696365679537,0.993505220671628,0.9428228880026148,True,4203303,125014962.11,120247415.82,109472822.27,12318.0,0.9618641944169445,0.8756777622639715,10148.965912485794,0.9428228880026148,0.993505220671628,0.011054348560166913,18.643943984983476,9.418816886246988,9.225127098736486,2.856115107913669
01977854000195,1,18,5220702,Sítio d'Abadia,GO,335345.55,18,16,0.2665972648875124,0.0679012345679012,0.3220558614837739,0.9142688787729552,3.7509762165862366,0.2177037492133465,0.0057613168724279,0.1986960303196111,0.2119424323409185,0.5824411194616577,0.6867022267609616,True,5220702,34735884.2,34735884.2,34664712.21,2939.0,1.0,0.9979510528768978,11818.946648519906,0.6867022267609616,0.5824411194616577,0.00965415326897019,17.363283837377473,7.985824666418917,9.377459170958556,1.125
02061040000179,1,13,4203600,Campos Novos,SC,8829.67,13,10,0.3172775189270758,0.1124260355029586,0.5039825950460209,0.8852448619257571,3.15181486347239,0.2414194654745286,0.0138067061143984,0.2048514834241172,0.2276127593601302,0.9925222139814672,0.7729204501884583,True,4203600,321410573.31,305440464.69,302772642.41,36976.0,0.9503124354138877,0.9420120791047415,8692.410571992645,0.7729204501884583,0.9925222139814672,2.747162269451477e-05,19.58822990839303,10.518024332514162,9.070205575878868,1.3
