orgao_cnpj,portfolio_hhi,portfolio_hhi_norm,n_fornecedores,n_instrumentos,exposicao_strength_global,exposicao_degree_global,exposicao_strength_loo,exposicao_degree_loo,contribuicao_propria_strength_media_ponderada,delta_strength_loo,delta_degree_loo,discordancia_strength_raw,discordancia_strength_loo,discordancia_degree_loo
41102337000197,0.1509479561891764,0.0094392822207057,7,7,0.7728172958843899,0.9974292580149402,0.7727180381832212,0.9973667901234186,0.0008999108987290022,-9.925770116869792e-05,-6.246789152164478e-05,False,True,True
41256744000159,0.3596643399432976,0.2315972079319571,6,6,0.5565984230504286,0.569872838608422,0.2051499718733756,0.28467642910702373,0.7703822485711517,-0.35144845117705303,-0.28519640950139824,False,False,False
41464724000173,0.3243846773613297,0.2117821235882179,7,7,0.9139691892709972,0.9798219431028072,0.9138575928439806,0.9774938180577725,0.0025474393347409514,-0.00011159642701663586,-0.002328125045034768,False,True,True
41593983000102,0.6454018385813256,0.626738777454027,20,20,0.9461471146668065,0.4227781656087316,0.03291841138120667,0.021053302166557573,0.9795328420519551,-0.9132287032855998,-0.401724863442174,False,False,False
41683884000103,0.1481850315307468,0.1033526647692072,20,22,0.8739279059751017,0.8495713974543615,0.7205207619797992,0.669532179508077,0.41137176574569656,-0.15340714399530253,-0.18003921794628452,False,True,True
41714199000105,0.2233397181437381,0.1635966195394103,14,15,0.6583160583648167,0.6143838680584744,0.2733499479470364,0.3396183034763557,0.688292306427434,-0.3849661104177803,-0.27476556458211876,False,False,False
41761645000124,0.5060076642054999,0.3825095802568748,5,5,0.8539866237099211,0.9638934012330622,0.8465574205705236,0.9556776892137793,0.07672390741817856,-0.007429203139397433,-0.00821571201928295,False,False,False
41779117000100,0.3815292296138355,0.3622020180392679,33,33,0.8678487877037261,0.887374299637435,0.7112862088934169,0.7970024320551343,0.5422378662811819,-0.15656257881030922,-0.09037186758230065,False,True,True
41851556000179,0.4772353250441606,0.4336716021311739,13,13,0.8249425284320775,0.9156044281012624,0.7697959205733147,0.8523402202143111,0.33559566404572583,-0.0551466078587628,-0.0632642078869513,False,False,False
41863890000142,0.1595478233742213,0.1070195623351102,17,19,0.5694968909843537,0.6136173342233282,0.30175719265600764,0.340766423227333,0.7116762212635322,-0.2677396983283461,-0.2728509109959952,False,False,False
41923828000107,0.1404225844923429,0.0974437137169601,21,22,0.8828381057894878,0.5987793932583747,0.2536055488505119,0.30615534528760147,0.8450950802699541,-0.629232556938976,-0.29262404797077324,False,False,False
