orgao_cnpj,portfolio_hhi,count_hhi,portfolio_neff,count_neff,portfolio_cr1,portfolio_cr4,relacao_hhi,razao_neff_valor_frequencia
05419083000171,0.1802980224026823,0.1,5.546372537390197,9.999999999999996,0.2813741563464879,0.7437000326394023,HHI monetário > HHI frequência,0.55463725373902
05532421000187,0.1479183246412831,0.0520833333333333,6.760487603041075,19.2,0.2374937691010463,0.6838367625551187,HHI monetário > HHI frequência,0.352108729325056
05613121000122,0.212804290412101,0.1851851851851851,4.699153377328408,5.4,0.3011016257849795,0.8378906143831399,HHI monetário > HHI frequência,0.8702135883941496
06073250000138,0.3271584470269085,0.1239669421487603,3.056622896604442,8.066666666666666,0.5345156199525181,0.8320144685477763,HHI monetário > HHI frequência,0.37892019379393915
06089125000116,0.0519387476949377,0.0280612244897959,19.25344842493124,35.63636363636364,0.1075732355056596,0.3545594480223096,HHI monetário > HHI frequência,0.5402753384547031
06129491000151,0.1713424282388326,0.0714285714285714,5.836266068355871,14.0,0.2939745051722733,0.7251669789036409,HHI monetário > HHI frequência,0.4168761477397051
06216559000130,0.3799429210123508,0.183673469387755,2.6319742906000685,5.444444444444445,0.4592431574004072,0.9570034828408486,HHI monetário > HHI frequência,0.4834238492938901
06231312000192,0.0860760944580016,0.0521447566192623,11.617627475976173,19.17738359201774,0.2046480772542973,0.4742636485642397,HHI monetário > HHI frequência,0.6057983572280325
07104377000130,0.2558230033871064,0.074074074074074,3.908952622555288,13.5,0.4179990078049403,0.862562183682778,HHI monetário > HHI frequência,0.2895520461152065
07276220000191,0.7075186031289357,0.4375,1.413390397902744,2.2857142857142856,0.8288266223953359,1.0,HHI monetário > HHI frequência,0.6183582990824505
07742778000115,0.3139983095485398,0.0555555555555555,3.184730521122164,18.0,0.4984583701349093,0.9343012697754228,HHI monetário > HHI frequência,0.17692947339567577
07750478000188,0.4724366497758493,0.2,2.116685910109761,4.999999999999999,0.5093705441971723,0.9946566964037372,HHI monetário > HHI frequência,0.42333718202195225
07777639000127,0.3039892693160554,0.183673469387755,3.289589801146261,5.444444444444445,0.4588960272715353,0.934443424675495,HHI monetário > HHI frequência,0.6042103716391092
07868234000102,0.2526071570995468,0.1428571428571428,3.958716021675991,7.0,0.3569962934361664,0.9037280285143068,HHI monetário > HHI frequência,0.5655308602394273
08083086000175,0.2658594265805699,0.2189349112426035,3.761386281697051,4.567567567567567,0.3576974215688142,0.954393352691624,HHI monetário > HHI frequência,0.8234987717324906
08184785000101,0.3867824149213559,0.2098765432098765,2.585432949952828,4.764705882352941,0.5575493731287787,0.9845693237846986,HHI monetário > HHI frequência,0.5426217302370133
08184821000137,0.3150295414420884,0.0111242603550295,3.1743054807570457,89.89361702127661,0.5550959080524165,0.6482134745634246,HHI monetário > HHI frequência,0.03531180061433873
08259606000158,0.4213763658983044,0.0525711002585464,2.3731753390301478,19.02185792349726,0.6305375423919514,0.8524729600060588,HHI monetário > HHI frequência,0.12476043867926377
08281643000162,0.4318799753036099,0.0330466274332277,2.315458129997817,30.26027397260272,0.6380988266275648,0.838063473182907,HHI monetário > HHI frequência,0.07651808215927602
08289417000128,0.1062468182065188,0.0433979686057248,9.412046561773122,23.042553191489368,0.2541496036905125,0.5353140496091414,HHI monetário > HHI frequência,0.40846370120345027
08345495000100,0.338823545006424,0.1570247933884297,2.9513887530485525,6.36842105263158,0.4864237711688137,0.9545298665033214,HHI monetário > HHI frequência,0.4634412091563842
08418330000103,0.9955978314842208,0.28,1.0044216332906395,3.571428571428571,0.9977954164061584,1.0,HHI monetário > HHI frequência,0.2812380573213791
08438054000145,0.2015286106337952,0.078125,4.962074600003746,12.8,0.4061230919735885,0.6607795491245516,HHI monetário > HHI frequência,0.38766207812529263
08595042000124,0.2016684640284328,0.0330871037242228,4.958633491942559,30.223255813953493,0.3839647075055299,0.7455582349164876,HHI monetário > HHI frequência,0.16406682067830872
08595187000125,0.1613617030365475,0.1,6.197257349059495,9.999999999999996,0.2696752093054707,0.7227491652365303,HHI monetário > HHI frequência,0.6197257349059497
08692266000154,0.0613471855334072,0.0393378426486293,16.3006663028647,25.420814479638015,0.136637663494633,0.4041411950536036,HHI monetário > HHI frequência,0.641233046089907
08857731000160,0.3431689720843457,0.1239669421487603,2.9140163632107603,8.066666666666666,0.4795983947690341,0.9717843603162754,HHI monetário > HHI frequência,0.3612416979186893
08858200000191,0.0630568803628081,0.0362348241315814,15.85869764324426,27.597760551248918,0.1358857176112892,0.4170821448233621,HHI monetário > HHI frequência,0.5746371200588806
08931506000126,0.5324200613682255,0.0256410256410256,1.878216229174717,39.000000000000014,0.7263590680676107,0.8203780991735536,HHI monetário > HHI frequência,0.0481593904916594
08971900000198,0.2514760899295422,0.1005917159763313,3.976521188476315,9.94117647058824,0.4717427245800966,0.7035883894334629,HHI monetário > HHI frequência,0.4000050899650729
08999257000100,0.0869174203536576,0.0426758938869665,11.505173484568544,23.43243243243244,0.1585707514246841,0.4680525292412181,HHI monetário > HHI frequência,0.4909935627785883
09240588000125,0.4639113080784708,0.1875,2.1555844459623508,5.333333333333333,0.6545186683251105,0.9375486709672408,HHI monetário > HHI frequência,0.40417208361794077
09522642000125,0.3579535880808501,0.0416666666666666,2.793658265479189,24.0,0.5872172654615674,0.7309087497379708,HHI monetário > HHI frequência,0.11640242772829955
