orgao_cnpj,portfolio_hhi,exposicao_strength,hhi_alto_q4,exposicao_alta_q4,quadrante
11732185000145,0.4573338995149725,0.9307612429421837,True,True,HHI alto / exposição alta
11750074000161,0.1798280777057393,0.8082450890013133,False,False,HHI baixo / exposição baixa
11839890000146,0.2052142840983325,0.5401427231483299,False,False,HHI baixo / exposição baixa
11840546000177,0.1368483358889985,0.8614694316586844,False,False,HHI baixo / exposição baixa
11850969000178,0.3350552287426558,0.8855966749919733,False,False,HHI baixo / exposição baixa
11873495000180,0.0927258440966563,0.8435166682612739,False,False,HHI baixo / exposição baixa
11888327000168,0.0510717661138787,0.8527257968958141,False,False,HHI baixo / exposição baixa
11924138000101,0.6856784540191366,0.8807508203301369,True,False,HHI alto / exposição baixa
11960753000165,0.0875665729783429,0.9049697507497496,False,True,HHI baixo / exposição alta
12094507000130,0.6540092327645155,0.8888846091547954,True,False,HHI alto / exposição baixa
12139961000160,0.0973363792644915,0.8524981464069277,False,False,HHI baixo / exposição baixa
12273240000149,0.2104859412234336,0.7188176644096933,False,False,HHI baixo / exposição baixa
12298037000127,0.6902825742296533,0.9326627847617276,True,True,HHI alto / exposição alta
12321353000172,0.2037930796367015,0.9297840185612368,False,True,HHI baixo / exposição alta
12334083000134,0.4095757885357657,0.8845326818149108,True,False,HHI alto / exposição baixa
12488175000179,0.2576240271193461,0.7329843142294522,False,False,HHI baixo / exposição baixa
12710978000126,0.8114977311037767,0.9530564431981584,True,True,HHI alto / exposição alta
13183513000127,0.3616990377566926,0.850969900249962,False,False,HHI baixo / exposição baixa
13417917000138,0.131530783191322,0.8985889125295978,False,False,HHI baixo / exposição baixa
13497205000176,0.0829886583314778,0.5462627147710061,False,False,HHI baixo / exposição baixa
13844779000173,0.2982558485082818,0.7330566090423065,False,False,HHI baixo / exposição baixa
13886006000150,0.4570165888991794,0.8823823303140556,True,False,HHI alto / exposição baixa
13954199000139,0.0807264365019729,0.5781042342407813,False,False,HHI baixo / exposição baixa
14007211000160,0.4220149131457742,0.90635094899183,True,True,HHI alto / exposição alta
14464143000169,0.3574598298121066,0.7883774362355778,False,False,HHI baixo / exposição baixa
14492062000172,0.4601104961317251,0.6718672387134426,True,False,HHI alto / exposição baixa
14499742000118,0.2072268470343392,0.7299107456602713,False,False,HHI baixo / exposição baixa
14608771000170,0.0604103453438841,0.8768731974597651,False,False,HHI baixo / exposição baixa
14645035000192,0.6541966143794241,0.9430995394088968,True,True,HHI alto / exposição alta
14682109000160,0.4207289954339527,0.974343570511358,True,True,HHI alto / exposição alta
14792165000158,0.3119733773679624,0.9805269717281316,False,True,HHI baixo / exposição alta
14810479000136,0.2899138675288668,0.7419807473970689,False,False,HHI baixo / exposição baixa
14814139000183,0.6246677902278505,0.8953948821639851,True,False,HHI alto / exposição baixa
16692121000181,0.480832443574528,0.9925972035329416,True,True,HHI alto / exposição alta
17710115000172,0.127041665867616,0.9420406954376708,False,True,HHI baixo / exposição alta
17756464000125,0.1270418646801504,0.6886464972981458,False,False,HHI baixo / exposição baixa
17799033000146,0.0450854625984814,0.8289086128315142,False,False,HHI baixo / exposição baixa
17932766000107,0.0595349134167975,0.8553399421318968,False,False,HHI baixo / exposição baixa
19498254000100,0.6628954575754437,0.7186039118534245,True,False,HHI alto / exposição baixa
19500817000157,0.4642918522855427,0.957618830905559,True,True,HHI alto / exposição alta
19893791000154,0.4964741959784523,0.7648075624120731,True,False,HHI alto / exposição baixa
20260121000180,0.4440288713141881,0.85566307038722,True,False,HHI alto / exposição baixa
20266755000140,0.2682913812813162,0.7559762610863621,False,False,HHI baixo / exposição baixa
21260443000191,0.2334210695139254,0.8796355353465614,False,False,HHI baixo / exposição baixa
22040711000122,0.3921119015145533,0.7627000540421728,False,False,HHI baixo / exposição baixa
