orgao_cnpj,portfolio_hhi_abr,portfolio_hhi_norm_abr,portfolio_cr1_abr,portfolio_cr4_abr,count_hhi_abr,count_hhi_norm_abr,n_fornecedores_abr,n_instrumentos_abr,exposicao_strength_global_abr,exposicao_degree_global_abr,portfolio_hhi_mai,portfolio_hhi_norm_mai,portfolio_cr1_mai,portfolio_cr4_mai,count_hhi_mai,count_hhi_norm_mai,n_fornecedores_mai,n_instrumentos_mai,exposicao_strength_global_mai,exposicao_degree_global_mai,delta_portfolio_hhi,delta_portfolio_hhi_norm,delta_portfolio_cr1,delta_portfolio_cr4,delta_count_hhi,delta_count_hhi_norm,delta_n_fornecedores,delta_n_instrumentos,delta_exposicao_strength_global,delta_exposicao_degree_global
13417917000138,0.0887680375615024,0.0508000391265651,0.1691105110790519,0.5171444644760679,0.0870052876141644,0.0489638412647545,25,79,0.9228426294975104,0.9887531234873752,0.0938997321840681,0.0561455543584043,0.1855460341588299,0.53325178594123,0.083829096809086,0.0456553091761312,25,86,0.9134982941656032,0.9932571655742162,0.0051316946225656995,0.005345515231839203,0.016435523079777997,0.01610732146516214,-0.003176190805078402,-0.003308532088623299,0,7,-0.00934433533190715,0.004504042086840965
13449811000116,0.2092209410402011,0.121356601155779,0.349751369170625,0.804263659963664,0.1,3.0839528461809905e-17,10,10,0.5746290791950173,0.7724115538626348,0.1846585809115609,0.1105366337217028,0.3204293061957213,0.7619487192869151,0.0833333333333333,1.5139404881252137e-17,12,12,0.565565020993297,0.6639146186393814,-0.024562360128640215,-0.010819967434076191,-0.029322062974903695,-0.0423149406767489,-0.016666666666666705,-1.570012358055777e-17,2,2,-0.009064058201720293,-0.10849693522325343
13469368000145,0.1547412064284568,0.0702153270713025,0.2108339674561854,0.723197215928708,0.125,0.0375,11,16,0.6083341562139766,0.6750095329134137,0.1547412064284568,0.0702153270713025,0.2108339674561854,0.723197215928708,0.125,0.0375,11,16,0.6078091721705323,0.6984389079462564,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0005249840434442543,0.023429375032842703
13497205000176,0.0860575182084683,0.06320895616368,0.1865949375381915,0.4999498986625512,0.0336110313128411,0.0094513070956621,41,59,0.7598140460379375,0.989779934986246,0.0847425310365474,0.0634574736187927,0.1870192552093886,0.4868688608044472,0.0327467141902428,0.0102524517295507,44,67,0.7965996257459157,0.9915925403883984,-0.0013149871719208978,0.0002485174551127012,0.0004243176711971053,-0.013081037858103994,-0.0008643171225983029,0.0008011446338885998,3,8,0.036785579707978244,0.0018126054021524451
13509695000183,0.3214731911524416,0.2366573400464968,0.3954100929047928,0.9467555855820384,0.1466666666666666,0.04,9,15,0.7628837821022015,0.9890348770188137,0.31839337047188,0.2426593005243111,0.3934969879331715,0.942174916423137,0.1328125,0.0364583333333333,10,16,0.8006725823763737,0.991252494185128,-0.003079820680561618,0.006001960477814289,-0.0019131049716212822,-0.004580669158901429,-0.013854166666666612,-0.0035416666666667,1,1,0.037788800274172196,0.0022176171663143007
13571334000167,0.2758584702782081,0.0948230878477601,0.3734848383433809,0.9992314946738636,0.2,3.4694469519536136e-17,5,5,0.9748745054643289,0.9372631314460702,0.2194877451521409,0.0633852941825691,0.3116509946345213,0.8733552167091789,0.1666666666666666,3.3306690738754695e-17,6,6,0.9576579611737052,0.848246838251865,-0.056370725126067195,-0.031437793665191005,-0.06183384370885964,-0.1258762779646847,-0.03333333333333341,-1.3877787807814407e-18,1,1,-0.017216544290623692,-0.08901629319420523
13577818000113,0.6442688793932463,0.5731226552718955,0.7740737503191805,0.9956297929404712,0.1666666666666666,3.3306690738754695e-17,6,6,0.943271821722701,0.4102373227505835,0.6442688793932463,0.5731226552718955,0.7740737503191805,0.9956297929404712,0.1666666666666666,3.3306690738754695e-17,6,6,0.9387329652291704,0.4055713183542071,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.004538856493530585,-0.0046660043963763775
13617528000156,0.2826068856132733,0.139128262735928,0.3936321300217803,0.9202390623432738,0.1666666666666666,3.3306690738754695e-17,6,6,0.7533014021357419,0.578456486186719,0.2060599641758085,0.0926399590580669,0.2890092596399219,0.8456410937064116,0.125,0.0,8,8,0.8386090296389678,0.7336274182612097,-0.0765469214374648,-0.04648830367786108,-0.10462287038185841,-0.07459796863686219,-0.0416666666666666,-3.3306690738754695e-17,2,2,0.08530762750322585,0.15517093207449073
13633606000106,0.2589042445189369,0.1662672750838041,0.4309909424559749,0.8300665566741867,0.12,0.01,9,10,0.5824676293509774,0.6678626585036641,0.1543027764015985,0.0938958318588555,0.2587520871994533,0.7024041033768496,0.0726643598615916,0.0064260998517053,15,17,0.5181214676760707,0.5888764522798996,-0.10460146811733839,-0.0723714432249486,-0.1722388552565216,-0.12766245329733716,-0.047335640138408394,-0.0035739001482947,6,7,-0.0643461616749067,-0.07898620622376451
13659627000109,0.250864022280679,0.0635800278508488,0.332205349139838,0.8952850101901888,0.2,3.4694469519536136e-17,5,5,0.8087287719471657,0.4060703352497573,0.250864022280679,0.0635800278508488,0.332205349139838,0.8952850101901888,0.2,3.4694469519536136e-17,5,5,0.8013650140380169,0.4014183565818778,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.007363757909148894,-0.004651978667879475
13667230000150,0.6926041463962898,0.6618645610359187,0.8238617472151906,0.9739271678104046,0.1171875,0.0289062499999999,11,16,0.9160142612071214,0.4396681750147437,0.3644553108009503,0.3355669158373571,0.5550053100529241,0.9232876664102716,0.0540123456790123,0.0110129068462401,23,36,0.8846225066452672,0.4447595773582847,-0.32814883559533947,-0.32629764519856164,-0.2688564371622665,-0.05063950140013296,-0.06317515432098769,-0.017893343153759803,12,20,-0.03139175456185417,0.005091402343540996
13769209000166,0.1774323349383984,0.0403377240947982,0.2677618124797086,0.7691458063479633,0.1428571428571428,0.0,7,7,0.6015640361222551,0.425798583455393,0.137785348923094,0.0419837210256599,0.2121548836728253,0.6556911873513258,0.1,3.0839528461809905e-17,10,10,0.608409031250986,0.5029263643315606,-0.03964698601530442,0.001645996930861697,-0.05560692880688328,-0.11345461899663745,-0.04285714285714279,3.0839528461809905e-17,3,3,0.006844995128730935,0.07712778087616756
13792329000184,0.1986428816029879,0.1515042275796342,0.3155288667996417,0.7900697148980328,0.1022222222222222,0.0494117647058823,18,30,0.9681179536050152,0.5129182305705178,0.3849300267746175,0.3569723007189183,0.5935616367361555,0.8920880955805819,0.0791836734693877,0.0373283858998144,23,35,0.9847692020860104,0.7847338308567612,0.18628714517162961,0.20546807313928409,0.27803276993651377,0.10201838068254909,-0.023038548752834495,-0.012083378806067899,5,5,0.016651248480995196,0.2718156002862434
13806951000102,0.4604155527290294,0.3929674968201582,0.6604926400422096,0.8997881423931532,0.1388888888888888,0.0312499999999999,9,12,0.8804677991232646,0.9939411369524948,0.2772009017576289,0.2049209919333918,0.457901947259146,0.8465777021361581,0.1122448979591836,0.023469387755102,11,14,0.863356906506905,0.9921956239391364,-0.1832146509714005,-0.18804650488676639,-0.20259069278306363,-0.05321044025699506,-0.026643990929705208,-0.0077806122448979,2,2,-0.017110892616359563,-0.0017455130133583463
13817576000198,0.2354044597520966,0.1261765254309675,0.3026196372535717,0.9451749495941394,0.125,0.0,8,8,0.8380396648734836,0.5348261746874811,0.3038609971446031,0.2168436217876784,0.4934032053709398,0.8895794478715132,0.1111111111111111,0.0,9,9,0.8845957362590848,0.466767555278142,0.06845653739250648,0.09066709635671091,0.19078356811736807,-0.05559550172262617,-0.013888888888888895,0.0,1,1,0.04655607138560125,-0.06805861940933905
13823697000142,0.5449560939059327,0.5222038986012294,0.7323024174862975,0.8757173350662191,0.0495867768595041,0.0020661157024793,21,22,0.8995341858315865,0.4868863429387612,0.3717306469413833,0.3520972296583016,0.5930624627570064,0.8089682702658743,0.033469387755102,0.0032653061224489,33,35,0.8759495489880563,0.4734508373596626,-0.1732254469645494,-0.1701066689429278,-0.13923995472929118,-0.06674906480034482,-0.0161173891044021,0.0011991904199696,12,13,-0.023584636843530182,-0.013435505579098617
13843029000187,0.5060823618190224,0.407298834182827,0.6947277950456815,0.9442097579353868,0.1875,0.025,6,8,0.4995441304548975,0.7634633661581153,0.7916959183360871,0.7619381923840995,0.8874262436638826,0.9835772895403154,0.140495867768595,0.0177095631641086,8,11,0.9100216710250214,0.921453900745448,0.28561355651706466,0.35463935820127257,0.19269844861820107,0.039367531604928674,-0.04700413223140501,-0.007290436835891402,2,3,0.4104775405701239,0.1579905345873327
13843252000124,0.2115464605779766,0.167743486165642,0.4237589927680792,0.6702067490013078,0.0710059171597633,0.0193951347797501,19,26,0.85738484103539,0.9961146419616052,0.1578817722869595,0.1196036710272758,0.356339062746795,0.5903881372781009,0.0591672753834916,0.0164021515372867,23,37,0.8451292972280449,0.9965614967351168,-0.053664688291017115,-0.048139815138366196,-0.06741993002128421,-0.07981861172320692,-0.011838641776271704,-0.0029929832424633977,4,11,-0.01225554380734517,0.00044685477351169567
13844779000173,0.1867806737127648,0.1542519006612754,0.3269641928071328,0.760598026562503,0.0397805212620027,0.0013717421124828,26,27,0.8898867951983364,0.4119376787107212,0.185919569287421,0.1546087834907834,0.3262048986907563,0.7588317242602899,0.0382653061224489,0.0012755102040816,27,28,0.8825188151285152,0.4073197244813222,-0.0008611044253437894,0.00035688282950802064,-0.0007592941163764855,-0.0017663023022130853,-0.0015152151395537994,-9.623190840119997e-05,1,1,-0.007367980069821201,-0.0046179542293989795
13864377000130,0.4961503447885886,0.4457653792674475,0.6486479548789006,0.992587415341428,0.1326530612244898,0.0459183673469387,11,14,0.9993580918110188,0.5298540659771004,0.3188416405110272,0.3106349132882685,0.5109773778504338,0.8567061356909108,0.0180146368924751,0.0061834879393724,84,146,0.9964095485490656,0.5412798552097979,-0.1773087042775614,-0.13513046597917905,-0.13767057702846675,-0.13588127965051722,-0.11463842433201471,-0.0397348794075663,73,132,-0.0029485432619531515,0.011425789232697547
