orgao_cnpj,valor_total_raiz,n_instrumentos_raiz,n_fornecedores_raiz,portfolio_hhi_raiz,count_hhi_raiz,portfolio_cr1_raiz,portfolio_cr4_raiz,portfolio_neff_raiz,portfolio_hhi_norm_raiz,count_hhi_norm_raiz,exposicao_degree_global_raiz,exposicao_strength_global_raiz,exposicao_strength_loo_raiz,exposicao_degree_loo_raiz
11892520000172,391474.15,153,87,0.040639659906660776,0.019351531462258098,0.1350382905231418,0.30620923501590075,24.606505130622452,0.02948430711487776,0.007948642293214587,0.6546721174393378,0.525439861685998,0.38220384622126247,0.41001559249869546
11902878000139,6198146.4,6,6,0.881075404120229,0.16666666666666669,0.9380459938797187,0.9874155925068179,1.1349766380080937,0.8572904849442748,3.3306690738754695e-17,0.4035916979025611,0.9707102870999329,0.010056746850843883,0.0051568951775826846
11924138000101,32033517.909999996,1273,325,0.017939049395016348,0.011403066529509807,0.09365190574537181,0.1650142583418806,55.74431386970874,0.014907997078334298,0.008351841426205825,0.5670491269991953,0.8587311693383499,0.24546656816894447,0.2638709670914221
11926843000130,1359809.5899999999,23,22,0.09730165806401363,0.04725897920604913,0.13237147415617212,0.5294858966246885,10.277317158789952,0.054316022733728556,0.001890359168241943,0.4127691153842689,0.6918594136691302,0.00615541503094434,0.013657255825248606
11934211000118,8468702.780000001,83,49,0.10577635654542632,0.04543475105240239,0.21539890552163174,0.5962905419146143,9.453908535510426,0.08714669730678937,0.025547975032660777,0.48278725936142586,0.8932981829787301,0.13503755689181374,0.12297686517871659
11960753000165,487968.3143999999,184,40,0.19420625964418894,0.04276937618147448,0.4098626777558653,0.6235631925694558,5.149164614117638,0.17354488168634766,0.018225001211768694,0.9498453660181159,0.9380665307992502,0.9055039244766921,0.9186667422819805
11996804000109,7188849.49,6,4,0.4645675027262639,0.2777777777777778,0.6261986978948422,1.0,2.152539715179406,0.2860900036350185,0.037037037037037056,0.4473959330601517,0.9715750999111726,0.10479427993110577,0.04377925973451294
12008540000109,240308.6,6,6,0.26698909982901514,0.16666666666666669,0.3786797476245128,0.9138607607051933,3.74547125946497,0.12038691979481818,3.3306690738754695e-17,0.8834231112124563,0.7363548266749218,0.6156922176719668,0.7266365813374057
12053489000149,57896759.95,132,119,0.05562748609061283,0.009067952249770427,0.14275520784129822,0.4037763030295446,17.976724642402107,0.047624329193075646,0.0006702230315481431,0.4422116568967838,0.9339659597289223,0.07990902429887124,0.06938114932215468
12063587000167,852295.35,25,25,0.29174305641196446,0.04,0.5186934318015463,0.7346580619030715,3.42767369444406,0.2622323504291297,0.0,0.7557250019740438,0.751067539474925,0.5610090393292887,0.5462282753733312
12092636000190,20914550.909999996,19,16,0.2552684470975089,0.07479224376731301,0.417004013977176,0.8975614929902409,3.917444601439575,0.20561967690400948,0.01311172668513388,0.4099196815248158,0.9741758708387027,0.017983634919054425,0.017543662384160448
12094507000130,3660877.5788000003,187,78,0.29522195347624436,0.0325717063684978,0.4916853817848841,0.8777044085296197,3.387281969463924,0.28606899183307866,0.020007702555101668,0.6882585821224158,0.9652929711298629,0.48684212500840607,0.4810624145556227
12105376000140,3878337.67,37,29,0.20540164451482565,0.04309715120525933,0.3802469319284414,0.7438522881376649,4.8685101931003345,0.17702313181892657,0.008922049462590021,0.6012167769977323,0.9041151570079424,0.30973165107993716,0.30655898139790944
12115907000185,340264.12,182,71,0.22026206019512232,0.029344282091534828,0.4433277302349716,0.6601592903771341,4.540046520558899,0.20912294676933835,0.01547777183569961,0.9908401842598159,0.8750362704944611,0.8676046403906356,0.9903413313870104
12116187000172,19372162.1,6,5,0.856094368359855,0.22222222222222227,0.9242288964740801,0.9920165854899593,1.1680955242304023,0.8201179604498188,0.027777777777777818,0.4144762767694455,0.9886157598806122,0.035257152462380335,0.014741352411687426
12139961000160,798049.2157000001,761,143,0.06470386955378844,0.028348134500389383,0.1890215754020695,0.40853868569248936,15.455026212438472,0.05811727708585738,0.021505515729265366,0.9953043083469888,0.9450146364954706,0.943945285962668,0.9948797373796128
12157728000100,10953962.440000001,7,7,0.38291847962266334,0.14285714285714285,0.5421815340823827,0.9356422806941812,2.611521911884281,0.28007155955977386,0.0,0.5759574042200944,0.9734720298874624,0.34262411741929016,0.1770555595437514
12219015000124,19502756.71,64,33,0.2886324198070959,0.05029296875,0.40249271201619785,0.8707016019583008,3.46461426844683,0.26640218292606765,0.0206146240234375,0.43732700037504174,0.9683817553306067,0.07582507816108092,0.044072657356826576
12251090000172,396611.76,32,28,0.08960321881411368,0.0390625,0.19162316316591319,0.5118355542457944,11.160313359663448,0.0558848195109327,0.003472222222222224,0.6908878163725033,0.652642511870286,0.45042657090608207,0.4725943561731696
12251189000174,1374315.19,14,13,0.2801843085570153,0.0816326530612245,0.3875595670306169,0.9035694715707829,3.5690792434099063,0.22019966760343324,0.005102040816326534,0.8963504653930914,0.9004713342251482,0.8378199876672984,0.7634977008944368
12259049000142,1741398.5,6,6,0.4107177489364724,0.16666666666666669,0.4920757655413164,0.956913078769736,2.4347620783115334,0.29286129872376687,3.3306690738754695e-17,0.6545866027709036,0.9176482947216295,0.4884534448219573,0.4176863273358119
12273240000149,251993.28000000003,92,48,0.3279372040742318,0.04017013232514178,0.5617677185677332,0.7103011239029866,3.0493642916271253,0.31363799565027933,0.01974822024695331,0.9833109739468436,0.9220199363106388,0.9173508910742281,0.9767697120709832
12282048000119,9475916.38,9,9,0.24389511566796732,0.1111111111111111,0.3572579014252551,0.9172058966607303,4.10012310931792,0.14938200512646324,0.0,0.6389349267253255,0.9631261653267438,0.4194557570506927,0.2685512410177374
12292556000188,100606534.55000001,8,8,0.1708384755551037,0.125,0.20590072575956747,0.7845522936760373,5.853482342023424,0.052386829205832805,0.0,0.4731233652246798,0.9951982185166139,0.16660907239130976,0.06659201078024553
12298037000127,2201203.91,121,51,0.28303344032944844,0.07656580834642444,0.5031246741697819,0.7741672601335693,3.533151414320544,0.2686941091360374,0.05809712451335294,0.48612296505414493,0.7967075614687666,0.06553089842717885,0.12541446172033965
12306202000145,855473.5,12,12,0.29685027581198914,0.08333333333333334,0.45354999307401106,0.9342194702699733,3.368701603071282,0.2329275736130791,1.5139404881252137e-17,0.43741992583039524,0.7883571098943037,0.05375530693631704,0.0408142297039018
12321353000172,7960725.000000001,23,21,0.13464696839393506,0.05103969754253306,0.2699502871911792,0.6345313322593106,7.426828928478447,0.09137931681363182,0.003591682419659718,0.5670297996573634,0.9083987699938144,0.34652913981876204,0.17721388964528062
12334083000134,1364920.6192,516,138,0.12210934864938909,0.02330839492818942,0.3039004570413189,0.5103019312641357,8.189381165821189,0.1157013876906255,0.01617925912474555,0.9893961493417807,0.9483709530349698,0.9446419116170588,0.9839773499696705
12342968000185,926246.8,8,8,0.22734576854461372,0.125,0.3912564124378081,0.8271428306149075,4.398586375289245,0.11696659262241568,0.0,0.39791956997810074,0.757941636870008,0.00022396973919968147,0.00022396973919968147
12366625000150,623110.77,12,12,0.1318415749594849,0.08333333333333334,0.1827925394388545,0.6429996387319705,7.5848608476294475,0.05291808177398353,1.5139404881252137e-17,0.6206421147907749,0.6806584156383834,0.24805970143125905,0.2432276608520527
12403446000146,77279.72999999998,34,23,0.19605507651186152,0.06055363321799308,0.38820011405319355,0.7001577257063399,5.100607532289525,0.15951212544421886,0.017851525636992764,0.9887731312779496,0.8855260556854927,0.8822746365738947,0.9848765616780608
12433830000191,2905404.4800000004,8,8,0.17151135350343322,0.125,0.18393550491117847,0.7357420196447139,5.8305178028927545,0.053155832575352245,0.0,0.39791956997810063,0.880124313190464,0.00022396973919968142,0.00022396973919968142
12448797000173,578548.0,8,7,0.2649881470399882,0.15625,0.39365445909414604,0.8725257022753514,3.7737536986856037,0.14248617154665288,0.015625000000000007,0.5753501284867901,0.7273714168384342,0.23765606702568903,0.15681701176874863
12457020000175,3596598.73,10,10,0.3228488478475376,0.10000000000000003,0.4990825957390026,0.9022715831298757,3.0974247133514345,0.2476098309417084,3.0839528461809905e-17,0.5101476931329566,0.920247287667781,0.15045724045701195,0.14423332970501343
12462982000112,683216.73,14,8,0.18583541174257495,0.16326530612244897,0.32225343779271914,0.7490254666334063,5.3811057355700935,0.0695261848486571,0.04373177842565596,0.39791956997810074,0.6944542929119524,0.00022396973919968147,0.00022396973919968147
12488175000179,3764452.641,640,144,0.2596706469819761,0.0233447265625,0.4762976642266118,0.738501495840707,3.8510321117250137,0.25449351863919273,0.016514969405594406,0.6955861704042346,0.952882918174675,0.49068968069094987,0.49277894050324156
12489912000158,615488.73,12,11,0.21837631984261524,0.09722222222222224,0.4242979396227125,0.6631921595055039,4.579251086934263,0.14021395182687676,0.006944444444444459,0.6728400726123576,0.7183467846133563,0.27796006577209814,0.27737402717185844
12560864000147,283097.2,8,3,0.47048555314667806,0.40625,0.6354608947033034,1.0,2.1254637752675927,0.2057283297200171,0.10937500000000001,0.9473096562888986,0.976153443374528,0.9752095634102089,0.9022691495659896
12570642000105,1282974.2599999998,42,39,0.14480410337965857,0.02834467120181405,0.3030458303972521,0.6519421519805082,6.905881647415217,0.12229894820543907,0.0027747941281775785,0.6722012013566386,0.7761901201497334,0.40999933825759916,0.3474793131551692
12592033000157,2170339.86,14,9,0.28052712003401287,0.1530612244897959,0.38565388556242064,0.9026073916368104,3.5647177352362713,0.19059301003826448,0.04719387755102039,0.6093554835961001,0.8936126446073474,0.38099288049196295,0.3547637328401091
12640342000155,953078.6499999999,13,13,0.1453440011447029,0.07692307692307694,0.22474535548561494,0.6939653511281572,6.880228919832825,0.07412266790676146,1.5034270125132327e-17,0.408199447043612,0.7119349012345831,0.009641339048711462,0.017307067586280818
12652188000131,149795.0,7,7,0.17456296049163647,0.14285714285714285,0.2643612937681498,0.7437497913815547,5.728592120479712,0.03699012057357589,0.0,0.4792969613385689,0.4693415944388049,0.08615290555331055,0.10634369892087639
12652881000104,435034.3,9,9,0.14078162615941658,0.1111111111111111,0.22162459373893048,0.6365196951136957,7.10319966660729,0.033379329429343664,0.0,0.7417954517621658,0.6241407178048948,0.1857630430947044,0.36379183274423055
12710978000126,70923349.64,203,145,0.15307428654339947,0.009051420806134582,0.35249322158213847,0.619527880916934,6.532775834408223,0.14719285797772866,0.0021698334506216276,0.7803433871166714,0.9546072402016178,0.6678930233332286,0.45320437454924534
12769172000103,652265.6000000001,14,14,0.15762241837881996,0.07142857142857142,0.24529884758601406,0.7159660113916786,6.34427520073104,0.09282414286949842,0.0,0.5412882804564361,0.6946890182362079,0.21888185360163792,0.13773763611698
12770455000175,6619899.98,18,18,0.4025791063341105,0.05555555555555555,0.5982588909145421,0.9148521938846573,2.4839838537722696,0.3674367008243523,0.0,0.9194432460160524,0.9604962076408202,0.8999826749731792,0.8790254396476052
12816116000182,214179.03,84,54,0.09030485541282736,0.026360544217687062,0.2117034987038647,0.5302224498822318,11.073601695374123,0.07314079608099391,0.00798998844820946,0.9902991193545012,0.7748035507280835,0.7485843000475627,0.9894388427753003
12877385000159,1005498.22,41,35,0.1627355243846128,0.0362879238548483,0.35600739303148643,0.6102097326437833,6.144939795914366,0.13811009863121906,0.007943451027049724,0.43332730660116103,0.6609099232037785,0.05084357755258209,0.03922671004006351
12984850000150,298272.85,5,5,0.34042434291090107,0.20000000000000004,0.40230949615427625,0.9956415744845701,2.9375102598398173,0.1755304286386263,3.469446951953614e-17,0.6517028006727252,0.7338085793392052,0.3765315963860007,0.28140145096592195
12998458000160,3452182.92,10,10,0.3226462754669766,0.10000000000000003,0.527202654719119,0.865884302561812,3.0993694210561302,0.24738475051886288,3.0839528461809905e-17,0.4219674546940009,0.9020565563948859,0.03290195367297611,0.03993017414851661
13018648000137,1035023.7999999999,9,7,0.2318191516749161,0.18518518518518517,0.38208783218318265,0.8491226965022446,4.313707442956727,0.10378901028740212,0.049382716049382706,0.7719258259012447,0.8155454515435154,0.2958888647209375,0.5302829154596473
13019421000106,203328.21,77,52,0.5499558817706721,0.03356383875864395,0.7377235062463787,0.8545773850072256,1.8183276752679467,0.5411314872955872,0.014614110106852657,0.995090285808749,0.9573965538733045,0.9566329914458154,0.9920725018160116
13019629000125,3190.09,8,7,0.27919675485322176,0.15625,0.42945496835512476,0.8865267124125024,3.5817035213239357,0.15906288066209207,0.015625000000000007,0.9307949808943428,0.53341141303,0.52066399770626,0.7441789665042129
13034603000156,144293.44,5,5,0.2349335244358846,0.20000000000000004,0.29938990989472564,0.9099058141520502,4.256523211836924,0.04366690554485575,3.469446951953614e-17,0.6601854742092658,0.6521177521913382,0.3912785918992016,0.4355001874736122
13072654000172,15004.8,7,4,0.26540041628990524,0.30612244897959184,0.33522606099381536,1.0,3.7678916031076173,0.020533888386540317,0.07482993197278913,0.861160227386736,0.39113545912305214,0.34128958221059225,0.7718438016750163
13102858000109,2066219.83,10,10,0.14282323219599521,0.10000000000000003,0.183910731318458,0.6696450251375237,7.001662016916882,0.047581369106661345,3.0839528461809905e-17,0.7995670140493828,0.894931718803905,0.620634364697304,0.5202336083023648
