orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global
10496741000169,209100.0,2,2,0.980115642155662,0.5,0.9899569583931134,1.0,1.0202877670645112,0.9602312843113241,0.0,0.48011564215566205,0.9602312843113241,0.9893467271947849,0.9872367752548011
10502372000170,3540726.96,13,12,0.22292367185214912,0.08875739644970415,0.42759580648376233,0.6922307276695518,4.485840340290265,0.15228036929325361,0.005917159763313625,0.13416627540244497,0.14636320952994,0.5163581153577926,0.9027288214075965
10518108000124,180661.90000000002,10,10,0.419852520850861,0.10000000000000003,0.4815625209299802,0.9622482659597844,2.3817887242249465,0.35539168983429004,3.0839528461809905e-17,0.31985252085086097,0.35539168983429,0.9164769233493892,0.8094569252590227
10519243000194,309856.0,5,5,0.48983504361576014,0.20000000000000004,0.6202235877310751,0.9900728080140453,2.0415035898991887,0.3622938045197001,3.469446951953614e-17,0.28983504361576007,0.36229380451970006,0.41543131668450906,0.7372385607069627
10519253000120,20200.0,1,1,1.0,1.0,1.0,1.0,1.0,,,0.0,,0.8537099988278045,0.47046067284022974
10523857000140,71990.0,2,2,0.7317368302202611,0.5,0.840394499236005,1.0,1.3666115448896956,0.4634736604405223,0.0,0.23173683022026115,0.4634736604405223,0.8387072069052427,0.6762180628214409
10532003000120,1011711.8776,505,138,0.04980467958365945,0.022833055582786,0.1662508899262922,0.329038238425837,20.07843456397002,0.04286894731784675,0.01570045014908371,0.02697162400087345,0.027168497168763045,0.9955335116924341,0.9404317553123378
10540697000147,3189255.5599999996,476,125,0.31810153070225483,0.031936303933338045,0.555145226430208,0.690111650067955,3.143650386693696,0.31260234949824073,0.024129338642477866,0.28616522676891676,0.2884730108557629,0.6163493661230965,0.9359464561041336
10543660000172,47460.0,3,3,0.4861942427530962,0.3333333333333333,0.5461441213653603,1.0,2.05679111775873,0.2292913641296443,0.0,0.15286090941976288,0.2292913641296443,0.7107747219518137,0.5537793228562863
10547985000123,2103504.0,6,6,0.72920545033296,0.16666666666666669,0.8490594740965551,0.9823608607352304,1.371355630355469,0.675046540399552,3.3306690738754695e-17,0.5625387836662934,0.675046540399552,0.40141835658187786,0.9210032553535811
10551277000166,7225166.482100001,30,24,0.34937869763396545,0.06222222222222222,0.43930899694334113,0.9245523762738875,2.862223732506075,0.3210908149223987,0.021449275362318842,0.2871564754117432,0.2996415395600799,0.7059776522783653,0.9465043644638781
10552903000139,5260934.107600001,218,89,0.16627690605175977,0.026891675784866596,0.3788054096935141,0.5721864669719743,6.014064272333245,0.15680277998416614,0.015833626646058262,0.13938523026689317,0.1409691533381079,0.6749591198149454,0.9188526122024856
10554621000170,1302483.29,5,3,0.4706119778464937,0.44000000000000006,0.5663667976884371,0.9999999999999999,2.124892792945836,0.20591796676974058,0.1600000000000001,0.030611977846493665,0.0459179667697405,0.7211158497560273,0.9424664350053251
10556980000167,360352.0,4,4,0.3381491164652386,0.25,0.4412352366574904,0.9999999999999999,2.957275211756465,0.1175321552869848,0.0,0.0881491164652386,0.1175321552869848,0.6190713493325757,0.7435312732053414
10559279000100,9884935.959999999,24,23,0.29855643217698175,0.045138888888888895,0.44390777014199284,0.8960565597837217,3.349450530033158,0.2666726336395718,0.0017361111111111188,0.25341754328809285,0.26493652252846067,0.4651852121569266,0.9513707224594768
10559316000171,120000.0,2,2,0.5050000000000001,0.5,0.55,1.0,1.9801980198019797,0.010000000000000231,0.0,0.0050000000000001155,0.010000000000000231,0.6469376391982182,0.6589145469464308
10559943000102,36000.0,1,1,1.0,1.0,1.0,1.0,1.0,,,0.0,,0.40141835658187786,0.5090845152971516
10563353000153,650.0,2,2,0.5029585798816568,0.5,0.5384615384615384,1.0,1.988235294117647,0.00591715976331364,0.0,0.00295857988165682,0.00591715976331364,0.6101683453107671,0.2624433063127238
10564533000150,3016066.87,149,57,0.06512314484660965,0.0304040358542408,0.13347913602459352,0.42241836634079666,15.355523790434095,0.048428915290299114,0.013089822208780815,0.03471910899236885,0.0353390930815183,0.5599736530304326,0.7772163271845504
10565436000181,1048133.8617000001,454,99,0.05689949952929604,0.02752818801063479,0.1634633230168829,0.3819315505661809,17.574847024535366,0.04727602503469701,0.017605006255641268,0.029371311518661247,0.02967101877905574,0.9855473414962157,0.9344470011878357
10566414000136,26800.0,1,1,1.0,1.0,1.0,1.0,1.0,,,0.0,,0.8537099988278045,0.7443441566053217
10568451000183,1620126.0246000001,377,130,0.05116193380584191,0.01915865164744704,0.11810451600346449,0.4057139321382641,19.545781904862544,0.04380659995937557,0.011555230342388489,0.03200328215839487,0.032251369616987074,0.9112525499077228,0.8844884867115826
10573381000151,25874.2,7,6,0.19582251716214108,0.18367346938775508,0.26899382396363947,0.838634624452157,5.106665027556559,0.034987020594569304,0.02040816326530611,0.012149047774385996,0.014578857329263194,0.731947831285656,0.35743716012533056
10574092000177,2616463.0,5,5,0.22149232001316818,0.20000000000000004,0.2866465147796854,0.8601165007875136,4.51482922721902,0.026865400016460213,3.469446951953614e-17,0.021492320013168142,0.026865400016460178,0.40141835658187786,0.9038189345320726
10588040000150,77708.28,1,1,1.0,1.0,1.0,1.0,1.0,,,0.0,,0.40141835658187786,0.6584808346032118
