orgao_cnpj,valor_total_publicado_jan_assinado_2025,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_hhi_10000,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_hhi_10000,count_cr1,count_cr4,count_neff,count_entropy_norm,hhi_gap_value_minus_count,n_municipios_unidade,n_ufs_unidade,shared_procurement_share,category_mix_hhi,n_categorias,categoria_cr1,exposicao_degree,exposicao_strength
13844779000173,343727.29000000004,6,6,0.2982558485082818,2982.558485082818,0.47160829156160394,0.9382573027588237,3.3528261222754616,0.7894734988357691,0.16666666666666669,1666.6666666666667,0.16666666666666666,0.6666666666666666,5.999999999999999,0.9999999999999999,0.1315891818416151,1,1,0.0,0.5022245769082462,2,0.5333509888027802,0.4198444051298629,0.7330566090423065
13886006000150,200681.485,13,10,0.4570165888991794,4570.165888991794,0.5680145330796212,0.9708831285556813,2.188104380212347,0.4279599048462038,0.1124260355029586,1124.260355029586,0.15384615384615385,0.5384615384615385,8.894736842105262,0.975006431231153,0.3445905533962208,1,1,1.0,1.0,1,1.0,0.9022165937309494,0.8823823303140556
13886253000156,240000.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.3954248366013072,0.8586056644880175
13917262000167,1902120.0,2,2,0.9973538352897033,9973.538352897034,0.9986751624503186,1.0,1.0026531854760734,0.014575475559450126,0.5,5000.0,0.5,1.0,2.0,1.0,0.49735383528970334,1,1,0.0,0.9973538352897033,2,0.9986751624503186,0.9317503868061079,0.993742544438548
13918415000190,7449410.0,3,2,0.8864831874819397,8864.831874819396,0.939592531489071,1.0,1.128052978467088,0.32906029787128976,0.5555555555555556,5555.555555555556,0.6666666666666666,1.0,1.7999999999999998,0.9182958340544894,0.3309276319263841,1,1,0.0,0.9414170626150205,2,0.9697962657445355,0.3954248366013072,0.985412889317178
13953949000158,7070.0,4,2,0.7799255375123286,7799.255375123286,0.8741159830268741,1.0,1.282173684413036,0.546041048938235,0.625,6250.0,0.75,1.0,1.6,0.8112781244591328,0.15492553751232863,1,1,1.0,1.0,1,1.0,0.7801120448179271,0.3425237201591308
13954199000139,103764.946,46,30,0.08072643650197293,807.2643650197293,0.17346898633764046,0.45117346276072845,12.38751570528646,0.8281314042644754,0.042533081285444224,425.33081285444223,0.08695652173913043,0.2608695652173913,23.511111111111116,0.9661827929580927,0.03819335521652871,1,1,0.7142196749179631,0.6916076103037674,2,0.8095218976936586,0.6264153134849803,0.5781042342407813
13959466000160,3569104.5100000002,4,2,0.9960293255694026,9960.293255694027,0.998010705492062,1.0,1.0039865035382642,0.020718077630735375,0.625,6250.0,0.75,1.0,1.6,0.8112781244591328,0.3710293255694026,1,1,0.0,1.0,1,1.0,0.9313935488100071,0.9934961863960015
13966711000167,238494.64,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.9324618736383442,0.9947712418300654
14007211000160,51531.04,6,6,0.4220149131457742,4220.149131457742,0.510682493502945,0.9841757511589131,2.369584507205734,0.574007200679461,0.16666666666666669,1666.6666666666667,0.16666666666666666,0.6666666666666666,5.999999999999999,0.9999999999999999,0.25534824647910753,1,1,1.0,1.0,1,1.0,0.9909935320088752,0.90635094899183
