fornecedor_id_limpo,degree,strength,reach,system_share,pct_degree,pct_strength
50865737000145,1,987300.0,0.0014347202295552368,0.0013494182999857032,0.3954248366013072,0.9437908496732026
50874843000195,1,553200.0,0.0014347202295552368,0.0007561006822162373,0.3954248366013072,0.9198257080610022
50914934000107,1,1160099.0,0.0014347202295552368,0.001585595888174936,0.3954248366013072,0.9568627450980393
50958011000157,1,109.45,0.0014347202295552368,1.4959367257513948e-07,0.3954248366013072,0.02091503267973856
50991190000124,1,4705.0,0.0014347202295552368,6.43068277264533e-06,0.3954248366013072,0.2971677559912854
51018898000166,1,96000.0,0.0014347202295552368,0.0001312105305364403,0.3954248366013072,0.7514161220043573
51037201000102,1,5587.5,0.0014347202295552368,7.636862910128752e-06,0.3954248366013072,0.31851851851851853
51037390000105,1,55440.0,0.0014347202295552368,7.577408138479427e-05,0.3954248366013072,0.6714596949891067
51042426000149,1,24000.0,0.0014347202295552368,3.280263263411008e-05,0.3954248366013072,0.5270152505446624
51051811000403,1,692.63,0.0014347202295552368,9.466703100568192e-07,0.3954248366013072,0.09542483660130718
51092241000149,1,3999.99,0.0014347202295552368,5.467091771254748e-06,0.3954248366013072,0.2740740740740741
51146128000107,1,2635.9,0.0014347202295552368,3.6026858066771145e-06,0.3954248366013072,0.22483660130718955
51155668000149,3,2150000.0,0.00430416068866571,0.002938569173472361,0.8945533769063181,0.9721132897603486
51231745000100,2,26150.24,0.0028694404591104736,3.574152983390878e-05,0.835511982570806,0.5403050108932462
51285170000109,1,25500.0,0.0014347202295552368,3.485279717374195e-05,0.3954248366013072,0.5392156862745098
51309772000140,1,150.0,0.0014347202295552368,2.0501645396318797e-07,0.3954248366013072,0.029411764705882353
51359879000101,1,504000.0,0.0014347202295552368,0.0006888552853163116,0.3954248366013072,0.9139433551198257
51411255000188,1,36000.0,0.0014347202295552368,4.9203948951165114e-05,0.3954248366013072,0.5962962962962963
51411904000140,1,5692.7,0.0014347202295552368,7.780647783174933e-06,0.3954248366013072,0.3206971677559913
51414411000164,1,269.88,0.0014347202295552368,3.688656039705678e-07,0.3954248366013072,0.047058823529411764
51462471000152,1,2446.26,0.0014347202295552368,3.3434903378132552e-06,0.3954248366013072,0.21568627450980393
51540167000186,1,6620.0,0.0014347202295552368,9.048059501575363e-06,0.3954248366013072,0.34335511982570804
51556446000138,1,252000.0,0.0014347202295552368,0.0003444276426581558,0.3954248366013072,0.8625272331154684
51573702000286,1,20500.0,0.0014347202295552368,2.8018915374969022e-05,0.3954248366013072,0.5080610021786492
51600250000101,1,2405.2,0.0014347202295552368,3.287370500481731e-06,0.3954248366013072,0.21176470588235294
51640302000165,1,3282.0,0.0014347202295552368,4.4857600127145524e-06,0.3954248366013072,0.24705882352941178
51659557000170,1,187065.0,0.0014347202295552368,0.00025567601973749173,0.3954248366013072,0.8296296296296296
51711738000106,1,5643.0,0.0014347202295552368,7.712718998095131e-06,0.3954248366013072,0.3198257080610022
51717093000100,1,30548.43,0.0014347202295552368,4.1752871951617805e-05,0.3954248366013072,0.5655773420479303
51726449000172,1,46060.0,0.0014347202295552368,6.295371913029625e-05,0.3954248366013072,0.6370370370370371
51778753000163,1,13761.0,0.0014347202295552368,1.8808209486582866e-05,0.3954248366013072,0.44575163398692813
51793830000154,1,504000.0,0.0014347202295552368,0.0006888552853163116,0.3954248366013072,0.9139433551198257
51826451000113,1,350.0,0.0014347202295552368,4.783717259141052e-07,0.3954248366013072,0.055119825708061
51835795000199,1,118587.55,0.0014347202295552368,0.00016208265990121502,0.3954248366013072,0.7812636165577342
51853770000118,1,374.5,0.0014347202295552368,5.118577467280926e-07,0.3954248366013072,0.05969498910675381
51858303000180,1,214.8,0.0014347202295552368,2.935835620752852e-07,0.3954248366013072,0.0383442265795207
51864006000148,1,19560.0,0.0014347202295552368,2.673414559679971e-05,0.3954248366013072,0.5019607843137255
51892897000146,19,105511.05,0.027259684361549498,0.00014421000883288416,0.9758169934640523,0.7681917211328976
52017064000107,4,8481.27,0.005738880918220947,1.1591999336695782e-05,0.9183006535947712,0.3764705882352941
52071331000116,1,35000.0,0.0014347202295552368,4.7837172591410527e-05,0.3954248366013072,0.589760348583878
52077628000199,1,345.68,0.0014347202295552368,4.724672520399655e-07,0.3954248366013072,0.054466230936819175
52143360000146,1,48000.0,0.0014347202295552368,6.560526526822016e-05,0.3954248366013072,0.6470588235294118
52241335000103,3,90000.0,0.00430416068866571,0.0001230098723779128,0.8945533769063181,0.7446623093681917
52280387000180,4,7360.85,0.005738880918220947,1.0060635767699549e-05,0.9183006535947712,0.3568627450980392
52307066000122,1,2565.0,0.0014347202295552368,3.5057813627705144e-06,0.3954248366013072,0.220479302832244
52319984000171,1,1000.0,0.0014347202295552368,1.3667763597545864e-06,0.3954248366013072,0.12483660130718954
52369074000101,1,3940.0,0.0014347202295552368,5.385098857433071e-06,0.3954248366013072,0.2718954248366013
52390777000103,1,40520.0,0.0014347202295552368,5.538177809725585e-05,0.3954248366013072,0.6187363834422658
52568024000145,1,444000.0,0.0014347202295552368,0.0006068487037310364,0.3954248366013072,0.9058823529411765
52570799000155,3,1057.8,0.00430416068866571,1.4457760333484016e-06,0.8945533769063181,0.12941176470588237
52581008000192,1,123650.0,0.0014347202295552368,0.00016900189688365461,0.3954248366013072,0.787363834422658
52622286000140,1,7455360.0,0.0014347202295552368,0.010189809801459953,0.3954248366013072,0.9919389978213508
52676902000146,1,5050.0,0.0014347202295552368,6.902220616760662e-06,0.3954248366013072,0.3058823529411765
52696393000113,1,116850.0,0.0014347202295552368,0.00015970781763732344,0.3954248366013072,0.7790849673202614
52704921000139,1,7850.0,0.0014347202295552368,1.0729194424073504e-05,0.3954248366013072,0.3673202614379085
52742277000193,1,50828.6,0.0014347202295552368,6.947132887942197e-05,0.3954248366013072,0.6579520697167756
52755750000177,1,111.0,0.0014347202295552368,1.517121759327591e-07,0.3954248366013072,0.022222222222222223
52813999000191,1,111948.0,0.0014347202295552368,0.00015300787992180646,0.3954248366013072,0.7747276688453159
52815475000130,9,4176.9,0.01291248206599713,5.708888177058932e-06,0.9529411764705882,0.28017429193899784
