modelo,termo,coef,erro_padrao_HC3,t,p,ci95_inf,ci95_sup
M5_Gap_valor_frequencia,log_populacao_siconfi,0.017396414943841844,0.03632858834349536,0.478862948908299,0.6320361308357603,-0.053806309818590685,0.08859913970627437
M5_Gap_valor_frequencia,log_n_instrumentos,-0.05733437370730766,0.03137799618463922,-1.82721590537305,0.0676673133359815,-0.11883411613623576,0.00416536872162044
M5_Gap_valor_frequencia,log_n_fornecedores,0.003227325394000052,0.040060886599073295,0.08056050846549931,0.9357914737592403,-0.07529056952892689,0.081745220316927
M6_Exposicao_strength,Intercept,0.370969276074361,0.501649851146171,0.7394984274923422,0.45960439425211885,-0.6122463650220134,1.3541849171707352
M6_Exposicao_strength,C(uf)[T.BA],0.1981410704301413,0.4196251353999589,0.4721858957311657,0.6367941061363793,-0.6243090819615218,1.0205912228218044
M6_Exposicao_strength,C(uf)[T.CE],0.17977686355050299,0.42543381206499536,0.42257305003072415,0.6726067928074189,-0.6540580859024698,1.013611813003476
M6_Exposicao_strength,C(uf)[T.ES],0.323823145234876,0.4195446412155682,0.7718443126734894,0.44020664283138733,-0.4984692414544165,1.1461155319241685
M6_Exposicao_strength,C(uf)[T.GO],0.14293957909506794,0.4188862969948315,0.3412371808783032,0.7329250349384524,-0.6780624766321505,0.9639416348222863
M6_Exposicao_strength,C(uf)[T.MA],0.07839135680340438,0.4232136279786514,0.18522881027677765,0.8530495727366182,-0.7510921118012853,0.907874825408094
M6_Exposicao_strength,C(uf)[T.MG],0.1249500283944142,0.4201690829622264,0.2973803486765525,0.7661761449225696,-0.6985662416287716,0.9484662984175999
M6_Exposicao_strength,C(uf)[T.MS],0.1737069329466513,0.42126783360498987,0.41234321514690114,0.6800878778457558,-0.6519628487643412,0.9993767146576438
M6_Exposicao_strength,C(uf)[T.MT],0.3357525329271547,0.8588872815368552,0.390915711694291,0.6958595399906842,-1.3476356056645953,2.0191406715189046
M6_Exposicao_strength,C(uf)[T.PA],0.23679102019008708,0.42988718188022806,0.5508213088708935,0.5817561751928553,-0.6057723737105796,1.0793544140907538
M6_Exposicao_strength,C(uf)[T.PB],0.27365778835284954,0.4225889261538273,0.6475744427179687,0.5172602317397643,-0.5546012871741084,1.1019168638798076
M6_Exposicao_strength,C(uf)[T.PE],0.24415276882586864,0.4196256096278851,0.5818347670495565,0.5606779832979573,-0.5782983130354502,1.0666038506871875
M6_Exposicao_strength,C(uf)[T.PI],0.24693878400729263,0.5540254769195301,0.4457173799665525,0.6558014085836553,-0.8389311972726133,1.3328087652871985
M6_Exposicao_strength,C(uf)[T.PR],0.20445855108548813,0.42012315616133505,0.48666337022130784,0.6264969074073142,-0.6189677040620255,1.0278848062330017
M6_Exposicao_strength,C(uf)[T.RJ],0.2759534091734337,0.422333339543795,0.6534019063508434,0.5134972101468758,-0.5518047258029303,1.1037115441497978
M6_Exposicao_strength,C(uf)[T.RS],0.07327598496363086,0.42477594103441235,0.17250502649747423,0.863040510025127,-0.759269560962927,0.9058215308901887
M6_Exposicao_strength,C(uf)[T.SC],0.17899291728265532,0.4190072225564345,0.4271833697533637,0.6692457731959431,-0.6422461481901153,1.0002319827554258
M6_Exposicao_strength,C(uf)[T.SE],0.2583451440892446,0.4195425825112161,0.6157781232667555,0.5380409678726368,-0.563943207613663,1.0806334957921522
M6_Exposicao_strength,C(uf)[T.SP],0.0229843082541851,0.4195807515078465,0.05477922467030824,0.9563143518573939,-0.7993788533074441,0.8453474698158142
M6_Exposicao_strength,C(uf)[T.TO],0.25922146107585003,0.42095631265020067,0.6157918370290686,0.5380319156261864,-0.5658377507833261,1.084280672935026
M6_Exposicao_strength,log_despesa_empenhada,-0.004055581875982357,0.027201451746434378,-0.1490943172367251,0.8814792099613776,-0.057369447626197896,0.04925828387423318
M6_Exposicao_strength,log_populacao_siconfi,0.01825790509004972,0.02492897889607683,0.7323968288537898,0.4639263937741077,-0.030601995717619946,0.06711780589771939
M6_Exposicao_strength,log_n_instrumentos,0.06938178310163139,0.024159111565730005,2.871868152637297,0.004080531751914271,0.0220307945343155,0.11673277166894727
M6_Exposicao_strength,log_n_fornecedores,-0.02947321727102235,0.03073767998881967,-0.9588627795507909,0.3376278775315813,-0.08971796301742643,0.03077152847538173
