modelo,covariancia,termo,coef,erro_padrao,estatistica,p,ci95_inf,ci95_sup
P3_HHI_norm_UF_FE,HC3,C(uf)[T.PE],0.1510408536174225,0.09758485084984278,1.547789972542299,0.1216728715162371,-0.04022193948498223,0.34230364671982727
P3_HHI_norm_UF_FE,HC3,C(uf)[T.PI],0.4052526499915754,0.6065595176211384,0.6681168759513213,0.5040589902358096,-0.783582159025844,1.5940874590089948
P3_HHI_norm_UF_FE,HC3,C(uf)[T.PR],0.295455203005644,0.11661052438540409,2.533692430960593,0.011286775005882965,0.06690277499192224,0.5240076310193658
P3_HHI_norm_UF_FE,HC3,C(uf)[T.RJ],0.3219519125034146,0.14474294571770868,2.2243012321395996,0.02612818387129795,0.03826095188046952,0.6056428731263597
P3_HHI_norm_UF_FE,HC3,C(uf)[T.RS],0.27675151008962995,0.12079139835023597,2.2911524650719413,0.021954597125611333,0.04000471968093655,0.5134983004983233
P3_HHI_norm_UF_FE,HC3,C(uf)[T.SC],0.23914910570540715,0.09128581321459127,2.619783921333147,0.008798549700406583,0.060232199505357714,0.41806601190545656
P3_HHI_norm_UF_FE,HC3,C(uf)[T.SE],0.21853772913705724,0.11005282141442647,1.9857530804604144,0.047060747907363795,0.0028381627677629417,0.43423729550635154
P3_HHI_norm_UF_FE,HC3,C(uf)[T.SP],0.1730336987577963,0.09156199835171967,1.8897981899992735,0.058784955738363336,-0.006424520364090053,0.3524919178796827
P3_HHI_norm_UF_FE,HC3,C(uf)[T.TO],0.14079091190507276,0.1370024147518454,1.0276527764863816,0.30411318890834227,-0.12772888680356326,0.4093107106137088
P3_HHI_norm_UF_FE,HC3,log_populacao_siconfi,0.019688910871855148,0.007212330565608173,2.729895793426504,0.006335434813836598,0.005553002718665732,0.03382481902504456
P3_HHI_norm_UF_FE,HC3,log_despesa_pc,0.0015739441919208645,0.038836942753027785,0.040526984884724414,0.9676729938825378,-0.07454506487365745,0.07769295325749917
P3_HHI_norm_UF_FE,HC3,log_n_fornecedores,-0.06970734210030849,0.013554879299440147,-5.142601461835783,2.7096002085787725e-07,-0.0962744173419987,-0.043140266858618284
P3_HHI_norm_UF_FE,HC3,log_instrumentos_por_fornecedor,0.013979171733586362,0.026246313426710504,0.5326146764429002,0.5943003405269969,-0.03746265730971628,0.065421000776889
P4_CountHHI_norm,cluster_municipio,Intercept,0.019928750167261856,0.04224698436914847,0.47172006392520505,0.6371266139868657,-0.06287381765169577,0.10273131798621947
P4_CountHHI_norm,cluster_municipio,C(uf)[T.BA],0.006940034898495996,0.005737622460255364,1.2095663223869764,0.22644534746029,-0.004305498480492614,0.018185568277484604
P4_CountHHI_norm,cluster_municipio,C(uf)[T.CE],0.006497738558275512,0.006397471351046988,1.0156729435313712,0.3097851564031321,-0.006041074881903386,0.019036551998454408
P4_CountHHI_norm,cluster_municipio,C(uf)[T.ES],0.017389631433588838,0.007697725845299208,2.259060894485897,0.023879597240508525,0.0023023660139392457,0.03247689685323843
P4_CountHHI_norm,cluster_municipio,C(uf)[T.GO],0.01036742208967113,0.005319381872537173,1.9489900026158873,0.051296618639993366,-5.837480051696341e-05,0.020793218979859224
P4_CountHHI_norm,cluster_municipio,C(uf)[T.MA],0.045347502519471,0.03936401281489486,1.152004058445791,0.24931940561366572,-0.03180454488469608,0.12249954992363807
P4_CountHHI_norm,cluster_municipio,C(uf)[T.MG],0.022242954268780535,0.010381802682264279,2.1424944154235583,0.03215371758417363,0.001894994916941218,0.042590913620619855
P4_CountHHI_norm,cluster_municipio,C(uf)[T.MS],0.0031204116745749003,0.006478974220163843,0.48162125184316446,0.6300750264475811,-0.009578144453709716,0.015818967802859515
P4_CountHHI_norm,cluster_municipio,C(uf)[T.MT],-0.005509409774945462,0.0050890664315679434,-1.0825973386336816,0.27898718911354303,-0.015483796695750403,0.004464977145859479
P4_CountHHI_norm,cluster_municipio,C(uf)[T.PA],0.008187298265081308,0.006182196716089278,1.3243348021866916,0.1853918771251457,-0.00392958464379547,0.02030418117395809
P4_CountHHI_norm,cluster_municipio,C(uf)[T.PB],-0.002308360458836617,0.005512961178497212,-0.4187151666948355,0.6754243100267926,-0.013113565816858646,0.008496844899185412
P4_CountHHI_norm,cluster_municipio,C(uf)[T.PE],0.0036080944635097185,0.006195556158207474,0.5823681315082501,0.5603187426225866,-0.00853497247077227,0.01575116139779171
P4_CountHHI_norm,cluster_municipio,C(uf)[T.PI],-0.0008036040739005621,0.005069500518632198,-0.15851740638886105,0.8740491057540474,-0.010739642510026796,0.009132434362225671
P4_CountHHI_norm,cluster_municipio,C(uf)[T.PR],0.006574648780819715,0.0072504051850258025,0.9067974289765597,0.364513929749138,-0.007635884255153325,0.020785181816792755
P4_CountHHI_norm,cluster_municipio,C(uf)[T.RJ],0.0022605588903871062,0.006212790712261893,0.3638556318862548,0.7159658175355283,-0.009916287149131155,0.014437404929905365
P4_CountHHI_norm,cluster_municipio,C(uf)[T.RS],0.005864634724180238,0.005472088481481592,1.0717360919924968,0.2838385849691989,-0.004860461619740158,0.016589731068100633
P4_CountHHI_norm,cluster_municipio,C(uf)[T.SC],0.003320269578149226,0.0057814780988365636,0.5742942412628668,0.5657687054491864,-0.008011219272977542,0.014651758429275992
P4_CountHHI_norm,cluster_municipio,C(uf)[T.SE],0.006355528703595046,0.005198788575331361,1.2225018600972741,0.22151790090146983,-0.0038339096672927193,0.01654496707448281
P4_CountHHI_norm,cluster_municipio,C(uf)[T.SP],0.012885081653595266,0.006667295700482589,1.932579899322993,0.05328797058297124,-0.00018257779362935989,0.025952741100819892
P4_CountHHI_norm,cluster_municipio,C(uf)[T.TO],0.02793613262500741,0.023171717393122526,1.205613384241385,0.22796659607629177,-0.017479598925453088,0.0733518641754679
P4_CountHHI_norm,cluster_municipio,log_populacao_siconfi,0.001272353404507132,0.0008589639584341004,1.4812651823327307,0.1385359226915003,-0.00041118501804166484,0.0029558918270559285
P4_CountHHI_norm,cluster_municipio,log_despesa_pc,0.0005182742862338078,0.0039015481074624035,0.1328381124514436,0.8943214120677907,-0.007128619488342912,0.008165168060810527
P4_CountHHI_norm,cluster_municipio,log_n_fornecedores,-0.018670632136319826,0.003674946031892632,-5.080518727156457,3.764056242270479e-07,-0.02587339400395777,-0.011467870268681884
P4_CountHHI_norm,cluster_municipio,log_instrumentos_por_fornecedor,0.07017923098107826,0.014110213084015501,4.973647850901665,6.570461880010442e-07,0.04252372152222203,0.09783474043993448
P4_CountHHI_norm,HC3,Intercept,0.019928750167261856,0.04689647581741696,0.42495197815824964,0.6708716822393328,-0.07198665343672898,0.11184415377125269
P4_CountHHI_norm,HC3,C(uf)[T.BA],0.006940034898495996,0.010008246226712585,0.6934316703732412,0.4880386929316982,-0.012675767254269563,0.026555837051261556
P4_CountHHI_norm,HC3,C(uf)[T.CE],0.006497738558275512,0.010966189116782779,0.5925247585171862,0.5534992466195836,-0.014995597158273841,0.027991074274824865
P4_CountHHI_norm,HC3,C(uf)[T.ES],0.017389631433588838,0.011528971265400664,1.5083419876131072,0.13146702224721468,-0.005206737025393638,0.03998599989257132
P4_CountHHI_norm,HC3,C(uf)[T.GO],0.01036742208967113,0.009815166106566695,1.056265576874441,0.29084689812893194,-0.008869949981477818,0.029604794160820076
P4_CountHHI_norm,HC3,C(uf)[T.MA],0.045347502519471,0.07690526639052764,0.5896540594397631,0.5554226008567642,-0.10538404982742183,0.19607905486636384
P4_CountHHI_norm,HC3,C(uf)[T.MG],0.022242954268780535,0.013591426557106944,1.636543020360855,0.10172598969643165,-0.004395752281670301,0.04888166081923137
P4_CountHHI_norm,HC3,C(uf)[T.MS],0.0031204116745749003,0.010781978815500809,0.28940992446477565,0.7722677011826298,-0.01801187848588052,0.024252701835030317
P4_CountHHI_norm,HC3,C(uf)[T.MT],-0.005509409774945462,0.17604786790256047,-0.031294953131694996,0.975034315255808,-0.350556890419029,0.33953807086913806
P4_CountHHI_norm,HC3,C(uf)[T.PA],0.008187298265081308,0.011247881757181952,0.7278969002188868,0.46667670084964696,-0.013858144881360416,0.03023274141152303
