orgao_cnpj,portfolio_hhi_mai,portfolio_hhi_norm_mai,portfolio_cr1_mai,portfolio_cr4_mai,count_hhi_mai,count_hhi_norm_mai,exposicao_strength_global_mai,exposicao_degree_global_mai,n_fornecedores_mai,n_instrumentos_mai,quadrante_mai,exposicao_oculta_mai,portfolio_hhi_jun,portfolio_hhi_norm_jun,portfolio_cr1_jun,portfolio_cr4_jun,count_hhi_jun,count_hhi_norm_jun,exposicao_strength_global_jun,exposicao_degree_global_jun,n_fornecedores_jun,n_instrumentos_jun,quadrante_jun,exposicao_oculta_jun,delta_hhi,delta_hhi_norm,delta_exposicao_strength,quadrante_estavel
28842205000133,0.2527267828262349,0.1459734660871256,0.3383564893812401,0.885160365168933,0.14,0.0171428571428571,0.8418183296605164,0.4116258620209482,8,10,baixo_baixo,False,0.2527267828262349,0.1459734660871256,0.3383564893812401,0.885160365168933,0.14,0.0171428571428571,0.8378416395836628,0.4096729482697005,8,10,baixo_baixo,False,0.0,0.0,-0.0039766900768536395,True
28875494000177,0.215128966062161,0.1366418626683771,0.3450830933702029,0.8406486095135898,0.0909090909090909,0.0,0.8621654330946774,0.724787145778751,11,11,baixo_baixo,False,0.4150063573941311,0.394834162821515,0.6225198012625883,0.8873380289064405,0.0363321799307958,0.0031022551008232,0.9833448894254262,0.48926911647382,30,34,critico,False,0.1998773913319701,0.2581923001531379,0.12117945633074878,False
28983143000180,0.4619308785611933,0.3722526916547255,0.6556171409860203,0.9481941446835364,0.15625,0.015625,0.7998226980483192,0.4633381276746283,7,8,hhi_alto,False,0.3073525653472489,0.230391739274721,0.5221820230857899,0.7799501809912974,0.1111111111111111,0.0123456790123456,0.7576290983311958,0.5158774040089252,10,12,baixo_baixo,False,-0.15457831321394438,-0.1418609523800045,-0.04219359971712333,False
28997560000181,0.239746037476268,0.1854421830102871,0.3968201668499848,0.7865237969932017,0.1041666666666666,0.0401785714285713,0.9133604358633292,0.6610226295447527,15,24,baixo_baixo,False,0.1883340860567177,0.1432415352820909,0.3433524650294169,0.7126508555308995,0.0816326530612245,0.0306122448979591,0.9086025118366532,0.6794019363659838,19,28,baixo_baixo,False,-0.051411951419550295,-0.04220064772819618,-0.004757924026675964,True
29063294000182,0.2021164393870784,0.1522487168487707,0.2999389165260168,0.835642497166125,0.0588235294117647,0.0,0.9547949633449686,0.6066646652125699,17,17,oculta,True,0.2021164393870784,0.1522487168487707,0.2999389165260168,0.835642497166125,0.0588235294117647,0.0,0.952772898396992,0.6212821059195338,17,17,oculta,True,0.0,0.0,-0.0020220649479766317,True
29112760000172,0.245938645257943,0.2260949253963099,0.437668747556212,0.7986295219225683,0.0426446280991735,0.0174510656807307,0.9420499680204786,0.5621500489611375,39,55,oculta,True,0.1856021748678652,0.1675044454204844,0.371113942959231,0.677184634496353,0.0349743818222321,0.0135293680849484,0.9345628274834156,0.5435358570557338,46,67,oculta,True,-0.06033647039007781,-0.058590479975825505,-0.007487140537063008,True
29355454000167,0.2813643120195038,0.2614022095756012,0.4795562125100756,0.7935816471712728,0.0303390838786436,0.0034040584308282,0.897172264106986,0.6770506448075098,37,41,baixo_baixo,False,0.1838821416741981,0.1639768280564956,0.290656321773445,0.7398929286785296,0.0277777777777777,0.0040650406504065,0.9097173373445068,0.574988291747465,42,48,baixo_baixo,False,-0.09748217034530568,-0.09742538151910557,0.012545073237520743,True
29505936000156,0.2275140200466698,0.0987663567211148,0.3814602813278347,0.8237579621085297,0.1428571428571428,0.0,0.748568406718412,0.4014183565818778,7,7,baixo_baixo,False,0.2275140200466698,0.0987663567211148,0.3814602813278347,0.8237579621085297,0.1428571428571428,0.0,0.741086757560592,0.3989296410860706,7,7,baixo_baixo,False,0.0,0.0,-0.007481649157820014,True
29578965000148,0.2524217067456877,0.0655271334321096,0.2825744352082722,0.999999529042608,0.2,3.4694469519536136e-17,0.6830184575527872,0.5207042212585637,5,5,baixo_baixo,False,0.2524217067456877,0.0655271334321096,0.2825744352082722,0.999999529042608,0.2,3.4694469519536136e-17,0.6759330800055472,0.5178941015809849,5,5,baixo_baixo,False,0.0,0.0,-0.007085377547240035,True
29937718000190,0.066466552864998,0.0412359191586466,0.1431721513001017,0.4014487114907075,0.0303819444444444,0.004176051051051,0.4796800266183465,0.4715349629798289,38,48,baixo_baixo,False,0.0547782157078703,0.0358737800220277,0.1266757034302572,0.3630393538731389,0.0271771473913905,0.0077206903392184,0.5010093356412425,0.6277618796027625,51,71,baixo_baixo,False,-0.0116883371571277,-0.005362139136618899,0.02132930902289598,True
