municipio_ibge,anexo,exercicio,status,n_registros
4106902,DCA-Anexo I-E,2025,ok,409
4109807,DCA-Anexo I-D,2025,ok,296
4109807,DCA-Anexo I-E,2025,ok,342
4113700,DCA-Anexo I-D,2025,ok,373
4113700,DCA-Anexo I-E,2025,ok,338
4114609,DCA-Anexo I-D,2025,ok,257
4114609,DCA-Anexo I-E,2025,ok,327
4119905,DCA-Anexo I-D,2025,ok,291
4119905,DCA-Anexo I-E,2025,ok,351
4120358,DCA-Anexo I-D,2025,ok,137
4120358,DCA-Anexo I-E,2025,ok,135
4122107,DCA-Anexo I-D,2025,ok,138
4122107,DCA-Anexo I-E,2025,ok,192
4128104,DCA-Anexo I-D,2025,ok,277
4128104,DCA-Anexo I-E,2025,ok,386
4200101,DCA-Anexo I-D,2025,ok,197
4200101,DCA-Anexo I-E,2025,ok,199
4200606,DCA-Anexo I-D,2025,ok,206
4200606,DCA-Anexo I-E,2025,ok,181
4200754,DCA-Anexo I-D,2025,ok,204
4200754,DCA-Anexo I-E,2025,ok,247
4200804,DCA-Anexo I-D,2025,ok,215
4200804,DCA-Anexo I-E,2025,ok,270
4201109,DCA-Anexo I-D,2025,ok,223
4201109,DCA-Anexo I-E,2025,ok,249
4201257,DCA-Anexo I-D,2025,ok,164
4201257,DCA-Anexo I-E,2025,ok,213
4201307,DCA-Anexo I-D,2025,ok,293
4201307,DCA-Anexo I-E,2025,ok,273
4201406,DCA-Anexo I-D,2025,ok,242
4201406,DCA-Anexo I-E,2025,ok,268
4201703,DCA-Anexo I-D,2025,ok,208
4201703,DCA-Anexo I-E,2025,ok,186
4202008,DCA-Anexo I-D,2025,ok,359
4202008,DCA-Anexo I-E,2025,ok,345
4202081,DCA-Anexo I-D,2025,ok,191
4202081,DCA-Anexo I-E,2025,ok,185
4202099,DCA-Anexo I-D,2025,ok,191
4202099,DCA-Anexo I-E,2025,ok,202
4202107,DCA-Anexo I-D,2025,ok,273
4202107,DCA-Anexo I-E,2025,ok,280
4202131,DCA-Anexo I-D,2025,ok,204
4202131,DCA-Anexo I-E,2025,ok,122
4202156,DCA-Anexo I-D,2025,ok,179
4202156,DCA-Anexo I-E,2025,ok,222
4202206,DCA-Anexo I-D,2025,ok,216
4202206,DCA-Anexo I-E,2025,ok,217
4202305,DCA-Anexo I-D,2025,ok,267
4202305,DCA-Anexo I-E,2025,ok,332
4202404,DCA-Anexo I-D,2025,ok,321
4202404,DCA-Anexo I-E,2025,ok,387
4202453,DCA-Anexo I-D,2025,ok,280
4202453,DCA-Anexo I-E,2025,ok,280
4202537,DCA-Anexo I-D,2025,ok,175
4202537,DCA-Anexo I-E,2025,ok,184
4202701,DCA-Anexo I-D,2025,ok,180
4202701,DCA-Anexo I-E,2025,ok,252
4202800,DCA-Anexo I-D,2025,ok,216
4202800,DCA-Anexo I-E,2025,ok,274
4202859,DCA-Anexo I-D,2025,ok,184
4202859,DCA-Anexo I-E,2025,ok,219
4202909,DCA-Anexo I-D,2025,ok,293
4202909,DCA-Anexo I-E,2025,ok,306
4203105,DCA-Anexo I-D,2025,ok,175
4203105,DCA-Anexo I-E,2025,ok,203
4203204,DCA-Anexo I-D,2025,ok,238
4203204,DCA-Anexo I-E,2025,ok,211
4203303,DCA-Anexo I-D,2025,ok,203
4203303,DCA-Anexo I-E,2025,ok,225
4203600,DCA-Anexo I-D,2025,ok,259
4203600,DCA-Anexo I-E,2025,ok,274
4203709,DCA-Anexo I-D,2025,ok,212
4203709,DCA-Anexo I-E,2025,ok,222
4203907,DCA-Anexo I-D,2025,ok,186
4203907,DCA-Anexo I-E,2025,ok,203
4203956,DCA-Anexo I-D,2025,ok,219
4203956,DCA-Anexo I-E,2025,ok,203
4204004,DCA-Anexo I-D,2025,ok,211
4204004,DCA-Anexo I-E,2025,ok,192
4204152,DCA-Anexo I-D,2025,ok,178
4204152,DCA-Anexo I-E,2025,ok,152
4204194,DCA-Anexo I-D,2025,ok,167
4204194,DCA-Anexo I-E,2025,ok,162
4204202,DCA-Anexo I-D,2025,ok,198
4204202,DCA-Anexo I-E,2025,ok,153
4204251,DCA-Anexo I-D,2025,ok,206
4204251,DCA-Anexo I-E,2025,ok,191
4204301,DCA-Anexo I-D,2025,ok,251
4204301,DCA-Anexo I-E,2025,ok,316
4204459,DCA-Anexo I-D,2025,ok,168
4204459,DCA-Anexo I-E,2025,ok,176
4204905,DCA-Anexo I-D,2025,ok,205
4204905,DCA-Anexo I-E,2025,ok,286
4205001,DCA-Anexo I-D,2025,ok,208
4205001,DCA-Anexo I-E,2025,ok,221
4205308,DCA-Anexo I-D,2025,ok,202
4205308,DCA-Anexo I-E,2025,ok,190
4205456,DCA-Anexo I-D,2025,ok,234
4205456,DCA-Anexo I-E,2025,ok,224
4205704,DCA-Anexo I-D,2025,ok,252
4205704,DCA-Anexo I-E,2025,ok,254
4205803,DCA-Anexo I-D,2025,ok,179
4205803,DCA-Anexo I-E,2025,ok,239
4205902,DCA-Anexo I-D,2025,ok,251
4205902,DCA-Anexo I-E,2025,ok,251
4206009,DCA-Anexo I-D,2025,ok,245
4206009,DCA-Anexo I-E,2025,ok,245
4206108,DCA-Anexo I-D,2025,ok,202
4206108,DCA-Anexo I-E,2025,ok,212
4206207,DCA-Anexo I-D,2025,ok,218
