orgao_cnpj,portfolio_hhi_from,portfolio_hhi_norm_from,portfolio_cr1_from,portfolio_cr4_from,count_hhi_from,count_hhi_norm_from,n_fornecedores_from,n_instrumentos_from,exposicao_strength_global_from,exposicao_degree_global_from,quadrante_from,exposicao_oculta_from,portfolio_hhi_to,portfolio_hhi_norm_to,portfolio_cr1_to,portfolio_cr4_to,count_hhi_to,count_hhi_norm_to,n_fornecedores_to,n_instrumentos_to,exposicao_strength_global_to,exposicao_degree_global_to,quadrante_to,exposicao_oculta_to,delta_portfolio_hhi,delta_portfolio_hhi_norm,delta_portfolio_cr1,delta_portfolio_cr4,delta_count_hhi,delta_count_hhi_norm,delta_n_fornecedores,delta_n_instrumentos,delta_exposicao_strength_global,delta_exposicao_degree_global,quadrante_estavel
12448797000173,0.2649881470399882,0.1424861715466528,0.393654459094146,0.8725257022753514,0.15625,0.015625,7,8,0.7205678442250747,0.5736683420167143,baixo_baixo,False,0.2649881470399882,0.1424861715466528,0.393654459094146,0.8725257022753514,0.15625,0.015625,7,8,0.7137196622345604,0.5701458429445913,baixo_baixo,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0068481819905142904,-0.0035224990721230975,True
12457020000175,0.2092548277343584,0.1484282760216167,0.3804512662822454,0.7772933432823503,0.0755555555555555,0.0044444444444444,14,15,0.9097468171954168,0.5204530150702064,baixo_baixo,False,0.1877986636369717,0.129784282468184,0.3566403733741737,0.7286457234809685,0.0703125,0.00390625,15,16,0.901318200334656,0.5100927830488209,baixo_baixo,False,-0.02145616409738671,-0.018643993553432714,-0.0238108929080717,-0.04864761980138188,-0.005243055555555501,-0.0005381944444444002,1,1,-0.008428616860760796,-0.010360232021385474,True
12462982000112,0.1626369857340333,0.0579666089507874,0.2945296982064049,0.6845861634480076,0.1466666666666667,0.04,9,15,0.6965017190085083,0.529072456732389,baixo_baixo,False,0.1626369857340333,0.0579666089507874,0.2945296982064049,0.6845861634480076,0.1466666666666667,0.04,9,15,0.6906908899751089,0.5257701596932846,baixo_baixo,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.005810829033399467,-0.0033022970391044515,True
12488175000179,0.192815493346934,0.1878019249826293,0.3974590464881928,0.7041110613203323,0.0224913494809688,0.0164198671796084,162,816,0.941637829420548,0.6788607692928599,oculta,True,0.1792053685467538,0.1743771648323229,0.3825646342801327,0.6777251468966402,0.0236883174791914,0.0179453075820102,171,928,0.9369184248665092,0.6856888645475407,oculta,True,-0.013610124800180201,-0.013424760150306386,-0.014894412208060093,-0.02638591442369209,0.0011969679982225985,0.0015254404024018023,9,112,-0.004719404554038742,0.006828095254680866,True
12489912000158,0.190267684313714,0.1166556556149607,0.3886234818253574,0.6238903738757643,0.0887573964497041,0.0059171597633136,12,13,0.7109650201866515,0.6860187861925805,baixo_baixo,False,0.190267684313714,0.1166556556149607,0.3886234818253574,0.6238903738757643,0.0887573964497041,0.0059171597633136,12,13,0.7054569911983536,0.6824121477482663,baixo_baixo,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.005508028988297942,-0.003606638444314192,True
12560864000147,0.1883528517601189,0.0724032591544217,0.3017413092747447,0.7264332973010472,0.2037037037037037,0.0899470899470899,8,18,0.7985316966448232,0.6895305061240548,baixo_baixo,False,0.1883528517601189,0.0724032591544217,0.3017413092747447,0.7264332973010472,0.2037037037037037,0.0899470899470899,8,18,0.7947073387301844,0.6871176903389431,baixo_baixo,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.003824357914638754,-0.002412815785111655,True
12570642000105,0.0935668941685415,0.0750682593556546,0.2133832562340881,0.5223194577742662,0.0255463219452139,0.0056595121889937,50,57,0.7973211109497204,0.7549847280888532,baixo_baixo,False,0.088183411834209,0.0706484774464053,0.2067021788594698,0.5059655189824132,0.0239355001259763,0.0051650289745527,53,63,0.802569854143925,0.7582951190484927,baixo_baixo,False,-0.005383482334332501,-0.0044197819092492985,-0.006681077374618316,-0.016353938791853095,-0.0016108218192375998,-0.0004944832144410001,3,6,0.0052487431942046525,0.0033103909596394754,True
12592033000157,0.1829011329708959,0.1148095607184706,0.355061234148902,0.6770295734956095,0.0844444444444444,0.0081481481481481,13,15,0.8387480592969714,0.5912016136203667,baixo_baixo,False,0.1829011329708959,0.1148095607184706,0.355061234148902,0.6770295734956095,0.0844444444444444,0.0081481481481481,13,15,0.8431173409428032,0.6004497915999862,baixo_baixo,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.004369281645831835,0.00924817797961952,True
12640342000155,0.3213620723433848,0.2814421942459369,0.467882516401423,0.8634942745735172,0.0702479338842975,0.0155566358774914,18,22,0.906821174103118,0.4094829770131216,baixo_baixo,False,0.2300959974340563,0.2015810343760584,0.3906730136765919,0.7506958884873418,0.0465306122448979,0.0112169312169312,28,35,0.8814259101109104,0.4243539361587197,baixo_baixo,False,-0.09126607490932853,-0.07986115986987852,-0.07720950272483107,-0.11279838608617543,-0.023717321639399595,-0.0043397046605602,10,13,-0.025395263992207595,0.014870959145598106,True
12652188000131,0.1745629604916364,0.0369901205735758,0.2643612937681498,0.7437497913815547,0.1428571428571428,0.0,7,7,0.4656809408288457,0.567945230169974,baixo_baixo,False,0.1745629604916364,0.0369901205735758,0.2643612937681498,0.7437497913815547,0.1428571428571428,0.0,7,7,0.4626178229894646,0.5646541021979564,baixo_baixo,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0030631178393811243,-0.0032911279720175823,True
