orgao_cnpj,portfolio_hhi,portfolio_hhi_norm,n_fornecedores,n_instrumentos,exposicao_strength_global,exposicao_degree_global,exposicao_strength_loo,exposicao_degree_loo,contribuicao_propria_strength_media_ponderada,delta_strength_loo,delta_degree_loo
13128780009905,0.0518709899612978,0.0222419583975884,33,37,0.5220108897522582,0.5110802009430395,0.14276973928293052,0.18117225519209015,0.852061084295562,-0.37924115046932766,-0.3299079457509494
13128814001049,0.7264073924493722,0.6922083165055439,9,9,0.9809122101682708,0.4359766200675184,0.06302002125799967,0.05464590352579202,0.9533591506677006,-0.9178921889102711,-0.3813307165417264
13133909000160,0.0855681939092381,0.0705775085634879,62,70,0.8996713452734653,0.694107757794836,0.4812182078955462,0.43454511377132005,0.6726052854335477,-0.41845313737791906,-0.259562644023516
13153852000160,0.1133494679879847,0.0451455809101374,14,17,0.7546973901415139,0.5878760203693462,0.3195692946343016,0.16740542633305747,0.7539793011557432,-0.4351280955072123,-0.4204705940362887
13170158000151,0.56334591851044,0.5588443300414755,98,371,0.956244496761314,0.817383916840968,0.46445647646211596,0.43739393756654354,0.8552618429554582,-0.491788020299198,-0.37998997927442446
13182493000170,0.3838718655550665,0.3068558487494499,9,9,0.7560434369711512,0.6852382851631118,0.5463544278758221,0.2672012333416905,0.6148294941034818,-0.20968900909532906,-0.4180370518214213
13183513000127,0.2529850784372721,0.2156343323591357,21,24,0.9536973583866368,0.4440950634757862,0.07992919110146104,0.07579736741693889,0.9282905977166617,-0.8737681672851758,-0.3682976960588473
13240198000122,0.3678067297519032,0.2774934054307465,8,9,0.4614761961000299,0.4283008845480143,0.018369239075677085,0.048090519025249544,0.9600802755467365,-0.44310695702435277,-0.38021036552276477
13244984000106,0.5859200766384889,0.5031040919661867,6,6,0.8682665605983888,0.7651026074941004,0.671125413006596,0.3244144095552255,0.7616136074877841,-0.1971411475917928,-0.4406881979388749
13286669000133,0.3599352012813736,0.1999190016017169,5,9,0.5880157272300367,0.7839836542445255,0.5403652131009142,0.6449783354911092,0.353101586079083,-0.04765051412912247,-0.13900531875341637
13358623000182,0.1136718119704861,0.0330965221496212,12,12,0.5781960902935127,0.7334200189645028,0.3839396875374318,0.4682432746547186,0.5526205148823765,-0.19425640275608091,-0.2651767443097842
13366927000191,0.8259926874802125,0.7824908593502655,5,5,0.9966178517003192,0.828082314418799,0.53689413895884,0.37966498234383544,0.976630013465938,-0.4597237127414793,-0.44841733207496354
13417917000138,0.0936552210146848,0.05589085522363,25,87,0.9165539312459072,0.9941361029820984,0.9013622567428474,0.9899854180760487,0.06540589206891374,-0.015191674503059804,-0.004150684906049751
13449811000116,0.1846585809115609,0.1105366337217028,12,12,0.5583256107873232,0.6621764558562149,0.2948889543555847,0.3897149954486889,0.6290982158952423,-0.2634366564317385,-0.272461460407526
13468241000101,0.2230662156483569,0.0935772515897497,7,7,0.4200142205417043,0.463431960023601,0.03649434854545663,0.06293676405923712,0.9421333954612191,-0.38351987199624765,-0.4004951959643639
13469368000145,0.1547412064284568,0.0702153270713025,11,16,0.6002770738145374,0.6952369762569287,0.31116357830432806,0.2774850223629112,0.6985917280807001,-0.2891134955102094,-0.4177519538940175
13497205000176,0.0566374972414642,0.0381401932658066,52,85,0.8141277331213871,0.9935652835010912,0.8112913892753578,0.9927355550914553,0.021396213988881696,-0.0028363438460292656,-0.0008297284096359103
13509695000183,0.3138450155318147,0.2514672896710706,12,19,0.8273635884825001,0.9923206429073924,0.8211132951491364,0.9918882261224846,0.0426083067597394,-0.006250293333363688,-0.00043241678490779645
13571334000167,0.2018387860610185,0.0688119170711883,7,7,0.9503035526474178,0.852805256743689,0.7821665062093417,0.6907225912802405,0.3556588171882088,-0.16813704643807614,-0.16208266546344852
13577818000113,0.6442688793932463,0.5731226552718955,6,6,0.93551077039137,0.4030714115225495,0.004087934450042825,0.00376163842326753,0.9931202712060954,-0.9314228359413271,-0.39930977309928195
13617528000156,0.2060599641758085,0.0926399590580669,8,8,0.8500449150052058,0.7357113968431254,0.5644014521868589,0.4909947379361716,0.48066017897004043,-0.28564346281834696,-0.24471665890695377
13633606000106,0.1274331723367377,0.0728977456077838,17,19,0.4909619443591211,0.563649056718125,0.2149973205093264,0.2502658454323996,0.7604662932459799,-0.2759646238497947,-0.31338321128572544
13659627000109,0.210622506335385,0.052747007602462,6,6,0.7846340190251753,0.3989296410860706,0.00017184661462169191,0.00017184661462169191,0.9999999999999999,-0.7844621724105536,-0.3987577944714489
13660803000114,0.1431895133628678,0.104243582152089,23,39,0.7660610957065358,0.9814550647654086,0.7523502894226904,0.9735182959966397,0.06350898948321773,-0.013710806283845356,-0.00793676876876881
13660914000120,0.3303307145542052,0.2633637860096257,11,12,0.8863111626536043,0.4033484995518593,0.006589318213702259,0.007486782014723152,0.9926738956275425,-0.8797218444399021,-0.39586171753713617
13667230000150,0.1994774789582377,0.1808606761433129,44,84,0.8632702201084699,0.5925135878821953,0.2532976844135146,0.3203317158145309,0.7589047514183451,-0.6099725356949552,-0.2721818720676644
13723290000143,0.1488889203483645,0.1083598213173342,22,43,0.6954362782902723,0.8123210335922616,0.5759369772646448,0.6353218323852869,0.36978752529058484,-0.11949930102562756,-0.17699920120697465
13736496000108,0.3809170190380834,0.1745560253841112,4,5,0.552153284189782,0.4729138851972149,0.09079587718865773,0.1250035066307724,0.8847388754431935,-0.4613574070011243,-0.34791037856644247
13749592000190,0.128090235223222,0.0488257111526058,12,12,0.3801697060288486,0.5811691495404678,0.16364806424728084,0.2342990776054685,0.7502223753771475,-0.21652164178156774,-0.3468700719349993
13769209000166,0.137785348923094,0.0419837210256599,10,10,0.601042453364481,0.5008405296779377,0.13869924326780314,0.1713760393319945,0.8638512877926674,-0.4623432100966779,-0.32946449034594316
13776308000175,0.3638916451385531,0.2730190230154893,8,13,0.9432362537856804,0.3989296410860706,0.00022094564737074675,0.00022094564737074675,0.9999999999999998,-0.9430153081383097,-0.39870869543869986
13792329000184,0.3071437078991109,0.2832521116197699,30,52,0.9839374682710442,0.8109405857828309,0.6868198953898111,0.6644900913290482,0.9129128488151494,-0.2971175728812331,-0.14645049445378266
13806951000102,0.2480718452719679,0.1979433016234324,16,20,0.8760360818675782,0.9937016827917587,0.8706451741825574,0.993339038495064,0.05412600989571176,-0.005390907685020818,-0.0003626442966947474
13817576000198,0.3038609971446031,0.2168436217876784,9,9,0.8847666858321939,0.4721415399161831,0.12192616267671931,0.12018096635360968,0.8958207804807023,-0.7628405231554746,-0.3519605735625734
13823697000142,0.3177515685927428,0.2970773737016137,34,38,0.8786161277839872,0.5147610732175897,0.1481584370865286,0.17042052002052382,0.859090451891162,-0.7304576906974587,-0.34434055319706586
13842783000100,0.3504799686949382,0.133973291593251,4,5,0.6736058214499363,0.7082867760342177,0.39848822053956723,0.5161670038965149,0.5429512966464523,-0.2751176009103691,-0.19211977213770282
13843029000187,0.5347444739867571,0.4765875332351017,9,16,0.8752850496551666,0.8126275157741619,0.6910090788960768,0.6836758248012543,0.45379382797429274,-0.18427597075908986,-0.1289516909729076
13843252000124,0.1161348001495193,0.0845681858691449,29,51,0.8477525652633535,0.9961075007300956,0.8459868386226757,0.9959487919267959,0.012592816969124822,-0.0017657266406778671,-0.00015870880329971193
13844779000173,0.1300253417551699,0.1010261864803422,31,32,0.9082135184798322,0.404211370970474,0.00893295284496774,0.007554141563303269,0.9906310645531958,-0.8992805656348645,-0.39665722940717074
13864377000130,0.2975157153637952,0.2906954795906281,104,216,0.995742609492418,0.5608011746541314,0.22636591740336812,0.26440392872338,0.9872530974474383,-0.7693766920890499,-0.2963972459307514
13872416000141,0.0643200576136011,0.0368000593081188,35,47,0.6642833906356543,0.5372793057209604,0.20588037555811975,0.1602899280376847,0.823846336973867,-0.45840301507753456,-0.3769893776832757
