orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,pct_hhi_norm,pct_exposure_strength,gap_percentil_exposure_hhi,residuo_exposure_hhi,sobreexposicao_gap_q75,sobreexposicao_resid_q75
00536717000152,548712.75,15,15,0.0863123771695586,0.0666666666666666,0.1202815134148058,0.4476101202313961,11.585823873620388,0.0210489755388128,0.0,0.0196457105028919,0.0210489755388128,0.5122307930401889,0.6338541480284949,0.03192279138827023,0.1945063103192279,0.16258351893095768,-0.08934867465753227,False,False
00569168000112,123197.82,11,11,0.944289681876618,0.0909090909090909,0.9716081015069912,0.9930149738039196,1.0589970632874723,0.93871865006428,0.0,0.8533805909675272,0.93871865006428,0.9893425469076867,0.9706903916586926,0.994060876020787,0.9309576837416481,-0.06310319227913885,-0.03463796799290009,False,False
00634997000131,10571405.96,8,8,0.1492468822645694,0.125,0.1975571497208872,0.7023498915937951,6.700307469252881,0.0277107225880793,0.0,0.0242468822645694,0.0277107225880793,0.4347717197159859,0.9544976656482108,0.05196733481811433,0.8685968819599109,0.8166295471417966,0.22924677597732335,True,True
00675468000186,6357767.28,61,52,0.1509875868592134,0.0233808116097823,0.3388899506872167,0.6067207889370874,6.623061013170823,0.1343402846407667,0.0042314157589937,0.1276067752494311,0.1301088688817729,0.7268849394722418,0.8810552586902395,0.44097995545657015,0.607275426874536,0.1662954714179658,0.12302250503755097,False,True
00879976000186,12443340.0,141,135,0.0155965741590211,0.0076957899502037,0.0562549926305959,0.1418429457042884,64.11664445051169,0.0082502799363273,0.0002905346513246,0.0079007842088174,0.0079597452850026,0.3989296410860706,0.7317832941197299,0.0066815144766146995,0.31625835189309576,0.30957683741648107,0.012515262970948626,True,False
00955107000193,12650330.57,328,95,0.2240746394220999,0.0265838786436644,0.3699508067479694,0.781367313312825,4.462798657532381,0.2158201143095691,0.0162283879909375,0.1974907607784354,0.1995917263186316,0.4826799609350993,0.9269717984721229,0.621380846325167,0.7564959168522642,0.13511507052709726,0.14388913706361717,False,True
00956081000106,106151.38,6,6,0.2320739326466755,0.1666666666666666,0.3101504662492376,0.8874422546367273,4.308971665173896,0.0784887191760106,3.3306690738754695e-17,0.0654072659800088,0.0784887191760106,0.5662804573296113,0.5330387652924302,0.2657757980697847,0.10838901262063845,-0.15738678544914625,-0.2078231551786346,False,False
00999472000108,26941823.0,80,80,0.0272457073150733,0.0125,0.0534484990121121,0.2137939960484485,36.70302952446245,0.0149323618380489,3.513364001978343e-18,0.0147457073150733,0.0149323618380489,0.5166812450112631,0.8861198435053071,0.0200445434298441,0.6198960653303638,0.5998515219005197,0.16479749368728813,True,True
01071994000108,2374612.26,27,27,0.1737828224387252,0.037037037037037,0.2736810598291108,0.7285865693290069,5.754308659318696,0.1420052386863685,0.0,0.1367457854016882,0.1420052386863685,0.5887038803245653,0.8823631799097059,0.46250927988121754,0.6102449888641426,0.14773570898292504,0.121973936404555,False,False
01210830000106,467884.52,15,15,0.2115697380398444,0.0666666666666666,0.4167695054326653,0.6934959079218949,4.726573891260727,0.1552532907569761,0.0,0.1449030713731777,0.1552532907569761,0.73455643166781,0.7186349699352569,0.49665924276169265,0.2991833704528582,-0.19747587230883445,-0.04582721387502153,False,False
