municipio_ibge,municipio,uf,datas_sentinela,instrumentos,fornecedores,categorias,valor_inicial,presenca_sentinela
3205010,Sooretama,ES,1,5,5,1,49674.08,0.08333333333333333
3205036,Vargem Alta,ES,2,2,1,1,160114.2792,0.16666666666666666
3205101,Viana,ES,1,1,1,1,329665.0,0.08333333333333333
3205200,Vila Velha,ES,1,2,2,1,11000.0,0.08333333333333333
3205309,Vitória,ES,4,8,8,3,1665442.11,0.3333333333333333
3300209,Araruama,RJ,1,1,1,1,1583.23,0.08333333333333333
3300407,Barra Mansa,RJ,4,5,5,2,1760902.08,0.3333333333333333
3300506,Bom Jardim,RJ,2,7,7,2,276047.26,0.16666666666666666
3300605,Bom Jesus do Itabapoana,RJ,6,16,16,2,1184166.22,0.5
3300704,Cabo Frio,RJ,1,1,1,1,2050000.0,0.08333333333333333
3300803,Cachoeiras de Macacu,RJ,3,3,3,1,186550.9,0.25
3301009,Campos dos Goytacazes,RJ,1,32,24,1,11819731.79,0.08333333333333333
3301306,Casimiro de Abreu,RJ,1,1,1,1,362444.0,0.08333333333333333
3301405,Conceição de Macabu,RJ,1,1,1,1,4500.0,0.08333333333333333
3301876,Iguaba Grande,RJ,1,1,1,1,9275.0,0.08333333333333333
3302106,Itaocara,RJ,1,1,1,1,12000.0,0.08333333333333333
3302205,Itaperuna,RJ,1,3,2,1,16534.5,0.08333333333333333
3302254,Itatiaia,RJ,1,8,7,3,3472295.18,0.08333333333333333
3302403,Macaé,RJ,2,2,2,2,56788.0,0.16666666666666666
3303302,Niterói,RJ,6,17,17,2,2256304.66,0.5
3303500,Nova Iguaçu,RJ,1,5,5,2,5143777.01,0.08333333333333333
3303609,Paracambi,RJ,1,1,1,1,62449.8,0.08333333333333333
3303807,Paraty,RJ,3,10,10,2,497933.92,0.25
3303856,Paty do Alferes,RJ,3,3,3,1,63804.04,0.25
3303955,Pinheiral,RJ,5,9,8,2,1304784.16,0.4166666666666667
3304201,Resende,RJ,3,4,4,3,6109213.98,0.25
3304524,Rio das Ostras,RJ,3,7,6,3,536370.88,0.25
3304706,Santo Antônio de Pádua,RJ,1,11,6,2,2628576.09,0.08333333333333333
3304805,São Fidélis,RJ,1,3,3,1,315177.3,0.08333333333333333
3305000,São João da Barra,RJ,1,1,1,1,86400.0,0.08333333333333333
3305158,São José do Vale do Rio Preto,RJ,8,24,22,3,1507840.18,0.6666666666666666
3305703,Sumidouro,RJ,1,1,1,1,3000000.0,0.08333333333333333
3305802,Teresópolis,RJ,1,1,1,1,2399.25,0.08333333333333333
3306008,Três Rios,RJ,1,2,2,1,36600.0,0.08333333333333333
3306107,Valença,RJ,1,18,7,2,118062.12000000001,0.08333333333333333
3306156,Varre-Sai,RJ,2,12,12,2,1882687.12,0.16666666666666666
3306305,Volta Redonda,RJ,6,31,30,3,12351680.15,0.5
3500105,Adamantina,SP,5,9,9,3,3132208.02,0.4166666666666667
3500501,Águas de Lindóia,SP,1,1,1,1,447000.0,0.08333333333333333
3501608,Americana,SP,1,2,1,1,23467.0,0.08333333333333333
3501905,Amparo,SP,1,1,1,1,18194.4,0.08333333333333333
3502705,Apiaí,SP,3,5,4,3,327372.35,0.25
3503208,Araraquara,SP,10,103,68,2,2656295.6500000004,0.8333333333333334
3503307,Araras,SP,3,23,10,2,27873.989999999998,0.25
3505302,Barra Bonita,SP,3,5,5,2,62922.0,0.25
3505500,Barretos,SP,2,2,2,1,37705.0,0.16666666666666666
3505708,Barueri,SP,1,1,1,1,4800.0,0.08333333333333333
3505807,Bastos,SP,3,46,29,2,115683.4,0.25
3506003,Bauru,SP,7,30,15,2,151205.29,0.5833333333333334
3506359,Bertioga,SP,3,7,7,2,13186.6,0.25
3507902,Brotas,SP,1,31,19,2,49361.02,0.08333333333333333
3508702,Caconde,SP,1,24,24,2,2698682.47,0.08333333333333333
3509502,Campinas,SP,7,12,12,3,17316510.240000002,0.5833333333333334
3510005,Cândido Mota,SP,3,17,13,4,554571.75,0.25
3510401,Capivari,SP,8,18,18,1,44973.24,0.6666666666666666
3510500,Caraguatatuba,SP,1,3,3,1,82000.0,0.08333333333333333
3511102,Catanduva,SP,1,2,2,2,69765.72,0.08333333333333333
3512209,Conchal,SP,1,1,1,1,5496.0,0.08333333333333333
3514106,Dois Córregos,SP,2,4,4,2,48095.07,0.16666666666666666
3516309,Francisco Morato,SP,1,3,3,1,4147560.46,0.08333333333333333
3516705,Garça,SP,1,6,6,1,88032.55,0.08333333333333333
3519600,Ibitinga,SP,1,1,1,1,72000.0,0.08333333333333333
3520442,Ilha Solteira,SP,2,7,6,2,175770.41,0.16666666666666666
3520509,Indaiatuba,SP,7,11,9,4,3279489.31,0.5833333333333334
3522208,Itapecerica da Serra,SP,2,2,2,2,741422.1,0.16666666666666666
3522307,Itapetininga,SP,1,1,1,1,23400.0,0.08333333333333333
3522604,Itapira,SP,1,9,9,2,8485936.379999999,0.08333333333333333
3523107,Itaquaquecetuba,SP,2,5,4,1,7520.0,0.16666666666666666
3523503,Itatinga,SP,1,10,9,2,27806.25,0.08333333333333333
3523909,Itu,SP,5,18,15,2,1912565.2,0.4166666666666667
3524105,Ituverava,SP,5,26,22,2,68226.35,0.4166666666666667
3524303,Jaboticabal,SP,1,2,1,1,3611.8,0.08333333333333333
3524402,Jacareí,SP,7,20,20,2,165557.07,0.5833333333333334
3524709,Jaguariúna,SP,2,3,3,2,108862.5,0.16666666666666666
3526704,Leme,SP,11,104,67,5,1110217.67,0.9166666666666666
3526803,Lençóis Paulista,SP,1,2,1,1,46000.0,0.08333333333333333
3526902,Limeira,SP,1,1,1,1,2048.8,0.08333333333333333
3529005,Marília,SP,1,1,1,1,4666.56,0.08333333333333333
3529708,Miguelópolis,SP,1,1,1,1,18712.8,0.08333333333333333
3530607,Mogi das Cruzes,SP,2,3,3,2,1594071.65,0.16666666666666666
3530706,Mogi Guaçu,SP,1,3,3,1,858768.0,0.08333333333333333
3530805,Mogi Mirim,SP,3,4,4,2,22300.0,0.25
3531100,Mongaguá,SP,1,1,1,1,59734.4,0.08333333333333333
3535309,Palmital,SP,1,1,1,1,6800.0,0.08333333333333333
3537107,Pedreira,SP,1,1,1,1,27542.0,0.08333333333333333
3537602,Peruíbe,SP,1,1,1,1,2554.8,0.08333333333333333
3538907,Pirajuí,SP,1,1,1,1,61880.0,0.08333333333333333
3541406,Presidente Prudente,SP,1,14,10,1,14969.09,0.08333333333333333
3543402,Ribeirão Preto,SP,1,4,4,2,167449.12,0.08333333333333333
3543907,Rio Claro,SP,5,18,16,2,1897897.3,0.4166666666666667
3545209,Salto,SP,1,2,2,1,12062740.969999999,0.08333333333333333
3546603,Santa Fé do Sul,SP,1,5,5,2,379881.36,0.08333333333333333
3547809,Santo André,SP,3,7,7,2,115574.56,0.25
3548708,São Bernardo do Campo,SP,4,5,5,2,28208.7,0.3333333333333333
3548807,São Caetano do Sul,SP,4,19,19,2,288490.64,0.3333333333333333
3548906,São Carlos,SP,1,2,2,1,175519.0,0.08333333333333333
3549102,São João da Boa Vista,SP,2,8,8,1,1017568.13,0.16666666666666666
3549805,São José do Rio Preto,SP,7,34,25,2,2138936.2600000002,0.5833333333333334
3549904,São José dos Campos,SP,6,17,17,2,96187.22,0.5
3550100,São Manuel,SP,1,2,1,2,14694.0,0.08333333333333333
3550308,São Paulo,SP,12,628,397,6,180320772.87,1.0
3550407,São Pedro,SP,1,28,19,2,352852.85000000003,0.08333333333333333
3550605,São Roque,SP,1,1,1,1,230.0,0.08333333333333333
3550704,São Sebastião,SP,5,7,7,1,51995.0,0.4166666666666667
3551009,São Vicente,SP,1,1,1,1,10830.0,0.08333333333333333
3551702,Sertãozinho,SP,6,34,20,3,189538.25,0.5
3552205,Sorocaba,SP,5,8,8,3,16024803.68,0.4166666666666667
3552502,Suzano,SP,1,1,1,1,32400.0,0.08333333333333333
3553609,Tapiratiba,SP,1,1,1,1,49600.0,0.08333333333333333
3553807,Taquarituba,SP,1,2,2,1,5715.41,0.08333333333333333
3554003,Tatuí,SP,1,11,9,2,15804.17,0.08333333333333333
3554102,Taubaté,SP,2,3,2,2,336220.0,0.16666666666666666
3554508,Tietê,SP,1,2,2,2,113043.0,0.08333333333333333
3555406,Ubatuba,SP,4,16,16,1,22798.0,0.3333333333333333
3556701,Vinhedo,SP,2,3,3,1,2206370.19,0.16666666666666666
3557105,Votuporanga,SP,2,61,39,4,584741.22,0.16666666666666666
4100509,Altônia,PR,2,2,2,1,11665.0,0.16666666666666666
4100806,Alvorada do Sul,PR,7,11,11,2,1777897.94,0.5833333333333334
4101101,Andirá,PR,2,3,3,1,73000.02,0.16666666666666666
4101150,Ângulo,PR,1,1,1,1,52680.0,0.08333333333333333
4101408,Apucarana,PR,2,7,7,2,439421.60000000003,0.16666666666666666
4101507,Arapongas,PR,1,1,1,1,1955.57,0.08333333333333333
4101606,Arapoti,PR,1,1,1,1,21607.05,0.08333333333333333
4104303,Campo Mourão,PR,1,4,4,1,60637.0,0.08333333333333333
4104808,Cascavel,PR,2,3,3,3,82452.0,0.16666666666666666
4105508,Cianorte,PR,1,1,1,1,1315.0,0.08333333333333333
4106407,Cornélio Procópio,PR,1,3,3,3,75485.43000000001,0.08333333333333333
4106506,Coronel Vivida,PR,1,35,14,2,33257.14,0.08333333333333333
4106902,Curitiba,PR,6,120,80,2,6086896.18,0.5
4107736,Fernandes Pinheiro,PR,1,3,3,1,34182.72,0.08333333333333333
4109401,Guarapuava,PR,1,1,1,1,41250.0,0.08333333333333333
4109708,Ibaiti,PR,1,1,1,1,23530.0,0.08333333333333333
4109807,Ibiporã,PR,1,9,9,2,248431.55,0.08333333333333333
4113700,Londrina,PR,2,3,3,2,532841.73,0.16666666666666666
4114609,Marechal Cândido Rondon,PR,1,3,3,1,271500.0,0.08333333333333333
4114906,Marilândia do Sul,PR,1,1,1,1,160000.0,0.08333333333333333
4115200,Maringá,PR,2,4,4,2,9130.2,0.16666666666666666
4116901,Nova Esperança,PR,1,1,1,1,19500.0,0.08333333333333333
4119152,Pinhais,PR,1,1,1,1,27630.0,0.08333333333333333
4119905,Ponta Grossa,PR,3,6,6,2,1519098.3599999999,0.25
4120150,Porto Barreiro,PR,1,1,1,1,4490.0,0.08333333333333333
4122107,Rio Bom,PR,2,21,13,1,27718.14,0.16666666666666666
4122404,Rolândia,PR,1,1,1,1,2006.16,0.08333333333333333
4124509,Santo Inácio,PR,1,1,1,1,22000.0,0.08333333333333333
4128104,Umuarama,PR,3,30,28,2,2416760.32,0.25
4128203,União da Vitória,PR,3,3,3,1,1071471.26,0.25
4200101,Abelardo Luz,SC,8,68,30,1,231872.8956,0.6666666666666666
4200408,Água Doce,SC,1,3,1,1,45698.07,0.08333333333333333
4200606,Águas Mornas,SC,8,47,32,1,84941.748,0.6666666666666666
4200754,Alto Bela Vista,SC,4,20,17,1,17556.920000000002,0.3333333333333333
4200804,Anchieta,SC,9,13,10,1,14303.16,0.75
4201000,Anita Garibaldi,SC,2,10,9,1,9716.98,0.16666666666666666
4201109,Anitápolis,SC,6,22,22,1,31614.09,0.5
4201257,Apiúna,SC,5,15,14,3,200543.41999999998,0.4166666666666667
4201273,Arabutã,SC,1,1,1,1,815523.0,0.08333333333333333
4201307,Araquari,SC,8,34,19,3,137556.15,0.6666666666666666
4201406,Araranguá,SC,8,10,10,3,2369911.72,0.6666666666666666
4201505,Armazém,SC,1,20,18,1,51265.1024,0.08333333333333333
