municipio_ibge,categoria,ano_assinatura,valor_total,n_fornecedores,hhi,hhi_10000,cr1,cr4,n_efetivo,entropia,entropia_normalizada,exposicao_degree,exposicao_strength
5203302,Serviços,2025,822878.8,5.0,0.8473196286566379,8473.196286566379,0.9187258196468301,0.9972049346756776,1.1801921803527973,0.3587681297375405,0.22291517241254907,0.4863696808510638,0.916036166552549
5203302,Serviços de Saúde,2025,4605200.0,16.0,0.10196545630550125,1019.6545630550124,0.21714583514288197,0.524190046034917,9.807242925524454,2.522924976165567,0.9099528379122426,0.5,0.7524487437532594
5203500,Obras,2025,1650000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.7604166666666666
5203500,Serviços,2025,173000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.848404255319149
5203500,Serviços de Saúde,2025,78000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.3868312757201646
5203559,Obras,2025,1537800.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.6875
5203575,Serviços,2025,13200.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.39361702127659576
5203575,Serviços de Saúde,2025,28000.0,8.0,0.125,1250.0,0.125,0.5,8.0,2.0794415416798357,1.0,0.5,0.08436213991769548
5203807,Compras,2025,115499.24,14.0,0.18160201695567946,1816.0201695567946,0.34654660931102227,0.7115470197033331,5.506546770590401,2.0544526179295004,0.778479722617096,0.5612262867926818,0.6418442507240445
5203807,Serviços,2025,16660.95,6.0,0.2646047741936097,2646.0477419360973,0.39013381589885326,0.9207158055212937,3.7792213048593974,1.498538946962806,0.836350510600858,0.542338878285784,0.22372287524408105
5203906,Compras,2024,140944.69,3.0,0.35278573107756106,3527.8573107756106,0.40696815183317653,1.0,2.8345817642498323,1.0674970424939827,0.9716776823861589,0.5026455026455027,0.7492120764708048
5203906,Serviços,2025,183727.2,6.0,0.21726816732640933,2172.681673264093,0.3197251141910397,0.8586491276196447,4.602607056088737,1.6269468073374902,0.908016302008678,0.5714106280074075,0.6199405561788972
5203906,Serviços de Saúde,2025,53200.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.29218106995884774
5203939,Compras,2025,7800.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.841296928327645,0.47738907849829354
5203939,Serviços,2025,60852.0,2.0,0.5919957706421269,5919.957706421269,0.7144711759679222,1.0,1.68920125715648,0.5980995674835005,0.8628752799662801,0.4863696808510639,0.5690898352437934
5203962,Compras,2025,9600.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.5006399317406144
5204003,Serviços,2025,756000.0,2.0,0.9237843285462333,9237.843285462333,0.9603174603174603,1.0,1.0825037501704624,0.16693392616277816,0.24083474743116445,0.4863696808510639,0.9304104398851739
5204003,Serviços de Saúde,2025,186402.0,2.0,0.5762619252059441,5762.619252059441,0.6952715099623394,1.0,1.735322005948286,0.6148176649137599,0.8869943962220138,0.5,0.4214827875661271
5204508,Compras,2025,34742.85,5.0,0.3993258941236577,3993.258941236577,0.5821053828341659,0.9934058374600817,2.5042202740059074,1.1512278298585297,0.7152980683283535,0.4003839590443686,0.5283120142415828
5204508,Serviços,2025,2166543.44,2.0,0.9890203198094927,9890.203198094927,0.994479686038513,1.0,1.0111015718995766,0.03420693069820982,0.049350169282339755,0.48920324626214623,0.981475833906236
5204508,Serviços de Saúde,2025,618182.76,7.0,0.18626048969051434,1862.6048969051435,0.25623490373623486,0.7939399668796974,5.368825141937371,1.7909805723358518,0.9203819473398217,0.5,0.430991618317127
5204805,Compras,2025,400.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.9345136518771331,0.8127133105802048
5204805,Serviços,2025,198081.27,3.0,0.5852330504058548,5852.330504058548,0.7402605001472375,1.0,1.7087209946644457,0.7390432185552368,0.6727061277015275,0.48636968085106386,0.7537756107511143
5205000,Serviços,2025,11280.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.3680186170212766
5205109,Cessão,2025,37800.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5131578947368421,0.6578947368421053
5205109,Compras,2025,38896.0,2.0,0.8578141527212353,8578.141527212352,0.9229740847387906,1.0,1.165753673832158,0.27144484227180155,0.391612127820415,0.4003839590443686,0.6875073706658729
5205109,Serviços,2025,59200.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.7037898936170213
5205109,Serviços de Saúde,2025,18520299.84,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,1.0
5205307,Compras,2025,78469.73,6.0,0.3017448424429479,3017.448424429479,0.45839331930924193,0.9265544815816239,3.3140583013910967,1.4198926416909883,0.7924571718896631,0.5124808623623915,0.6340434696540138
5205307,Locação Imóveis,2025,27000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5714285714285714,0.7142857142857143
5205307,Obras,2025,312888.98,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.3958333333333333
5205307,Serviços,2025,380416.6,7.0,0.26816811690436637,2681.681169043664,0.46002198642225395,0.821467832896882,3.729004072309678,1.611622180036983,0.8282099668473295,0.48636968085106386,0.7114669728095742
5205307,Serviços de Saúde,2025,1067546.96,12.0,0.12888239935368045,1288.8239935368044,0.19671265796120108,0.6557088598706703,7.7590113546519985,2.2457736606720107,0.9037658057954043,0.5,0.43813148215217795
5205406,Compras,2024,68051.28,14.0,0.19265928925405146,1926.5928925405146,0.3870506182984361,0.6630818700250752,5.1905101688678155,2.077681730909424,0.787281772015284,0.5026455026455027,0.4748075119497964
5205406,Obras,2025,31997.42,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.125
5205406,Serviços,2024,36292.59,12.0,0.13481495299567453,1348.1495299567453,0.21679356584911688,0.6459982602509218,7.417574814806222,2.169018785742605,0.8728773718431857,0.5,0.24794071354943326
5205455,Compras,2025,2813.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.841296928327645,0.3971843003412969
5205455,Serviços,2025,313608.72,4.0,0.6744182981288649,6744.182981288649,0.8105514412992089,1.0000000000000002,1.4827592946016486,0.6307273726449646,0.45497362633390787,0.4863696808510639,0.8170101744192437
5205497,Serviços,2025,1500.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.10139627659574468
5205513,Serviços,2025,131480.0,3.0,0.4335196715328772,4335.1967153287715,0.5702768481898388,1.0,2.306700400616451,0.9427740835285137,0.8581499526748196,0.4863696808510639,0.6692996750577711
5205513,Serviços de Engenharia,2025,30000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.51,0.22
5205521,Compras,2025,201766.0,2.0,0.627367798403065,6273.67798403065,0.75235669042356,1.0,1.5939613135156963,0.559731213722165,0.807521446267728,0.40038395904436863,0.8488028523834203
5205521,Serviços,2025,172939.03,5.0,0.3403517802083767,3403.517802083767,0.4739936381047124,0.9677921172565846,2.938136534463727,1.2595921475806109,0.7826286045887998,0.48636968085106386,0.6552775718293641
5205521,Serviços de Saúde,2025,65400.0,2.0,0.5151923238784615,5151.923238784615,0.5871559633027523,1.0,1.9410227087077272,0.6778769705348007,0.977969743723391,0.5,0.1747272246762563
5205703,Serviços,2025,31050.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.5485372340425532
5205703,Serviços de Saúde,2025,37500.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.17695473251028807
5205901,Compras,2025,293050.0,2.0,0.6782027683884413,6782.027683884413,0.79849854973554,1.0,1.4744852817044962,0.5024768438888494,0.7249208508399809,0.4003839590443686,0.8832703070507718
5205901,Obras,2025,1768900.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.7916666666666666
5205901,Serviços,2025,1385357.2,24.0,0.10927135997591843,1092.7135997591843,0.23820571329906828,0.5647900772450599,9.151528819815029,2.667128491595644,0.8392332647504704,0.5036332598069139,0.7422580805851433
5205901,Serviços de Saúde,2025,8633760.0,46.0,0.028822420806768195,288.22420806768196,0.052815922610774446,0.18944237504864625,34.695211991533206,3.65996088330802,0.9559424621653632,0.5,0.6313030871328119
5206701,Compras,2025,272697.78,2.0,0.6659055292552547,6659.055292552547,0.7880152159654544,0.9999999999999999,1.501714516649824,0.5165745160298668,0.7452594925259052,0.4003839590443685,0.8763601014841048
5206701,Serviços,2025,306623.0,4.0,0.3950038439377148,3950.0384393771483,0.5625801065151669,1.0,2.531620933181811,1.1048956831415957,0.7970137613840018,0.5096639320699528,0.7787254738145761
5206701,Serviços de Saúde,2025,120000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.448559670781893
5206909,Compras,2025,678800.0,4.0,0.25,2500.0,0.25,1.0,4.0,1.3862943611198906,1.0,0.4003839590443686,0.8828924914675768
5206909,Serviços,2025,360024.0,6.0,0.23018175696493023,2301.817569649302,0.33331111259249385,0.8766748883407772,4.344392940542012,1.5974516810844759,0.8915547586154001,0.48636968085106386,0.7257054316946246
5206909,Serviços de Saúde,2025,60000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.3230452674897119
5207253,Compras,2025,55440.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.7811433447098977
5207253,Serviços,2025,255884.4,9.0,0.11366102860258276,1136.6102860258277,0.12444838372327503,0.48023404318512575,8.798090359506713,2.1842688679659843,0.9941036025612174,0.5475134812580096,0.5526972190434264
5207253,Serviços de Saúde,2025,1145340.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.9053497942386831
5207352,Serviços de Saúde,2025,54000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.2962962962962963
5207808,Compras,2024,2426.4,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5026455026455027,0.26455026455026454
5207808,Compras,2025,84665.09,15.0,0.22306711791410888,2230.671179141089,0.41974773782204683,0.7258951711974794,4.482955665321529,1.9891476223774478,0.7345312954567238,0.405633752964673,0.5388348175040342
5207808,Serviços,2024,7795.31,3.0,0.7361568504820671,7361.5685048206715,0.851192576048932,1.0,1.358406159428058,0.5200104776175369,0.4733339349844391,0.5,0.2940926092549545
5207808,Serviços,2025,472508.4,13.0,0.30728579496046227,3072.8579496046227,0.518646462158133,0.8233775526530321,3.2542994710467097,1.6650562722324738,0.6491575622687289,0.48636968085106386,0.7280287741411671
5207808,Serviços de Saúde,2024,10443.76,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5384615384615384,0.07692307692307693
5207808,Serviços de Saúde,2025,296208.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.7489711934156379
5207907,Compras,2025,13514.109999999999,2.0,0.8985203265787906,8985.203265787906,0.9463856665366791,1.0,1.1129408767051534,0.20902294804236185,0.3015563705727069,0.4003839590443686,0.5260134062307062
5207907,Serviços,2025,108036.12,2.0,0.7548869653699366,7548.869653699366,0.8569922725843913,1.0,1.3247016386220742,0.41038603703157706,0.5920619004755308,0.48636968085106386,0.7285729514705803
5207907,Serviços de Saúde,2025,740120.0,3.0,0.472204791872196,4722.04791872196,0.6012538507269092,1.0,2.1177252268771,0.8644992871266421,0.786901162533607,0.8006269253634546,0.754347476518656
