id_compra,n_instrumentos,n_fornecedores,valor_inicial
04106469000160-1-000001/2023,1,1,5496.0
04189915000148-1-000018/2025,1,1,11351.52
04244525000123-1-000028/2025,7,6,25917.59
04244525000123-1-000031/2025,1,1,141575.04
04244525000123-1-000058/2024,4,4,13770.800000000001
04244525000123-1-000062/2025,2,1,11778.55
04244525000123-1-000064/2025,1,1,8800.0
04244525000123-1-000065/2025,1,1,11830.0
04244525000123-1-000074/2025,1,1,88620.0
04244525000123-1-000075/2025,1,1,46200.0
04244525000123-1-000077/2025,1,1,25922.64
04244525000123-1-000078/2025,2,1,1644.0
04244525000123-1-000079/2025,4,4,866.8199999999999
04244525000123-1-000080/2025,2,2,1836.0
04249257000132-1-000011/2025,10,5,1369576.09
04249257000132-1-000019/2025,1,1,1259000.0
04279238000159-1-000118/2025,1,1,69999.96
04279238000159-1-000140/2025,1,1,1900.0
04279238000159-1-000179/2025,1,1,149577.0
04279238000159-1-000198/2025,1,1,263990.0
04402872000137-1-000014/2025,1,1,1.0
04402872000137-1-000018/2024,1,1,1.0
04402872000137-1-000032/2024,1,1,1.0
04407139000105-1-000002/2025,1,1,12895.9
04407139000105-1-000018/2025,1,1,38646.63
04407139000105-1-000022/2025,3,3,18688.97
04539825000130-1-000003/2025,1,1,100.0
04545997000116-1-000002/2025,1,1,30000.0
04545997000116-1-000003/2025,1,1,132000.0
04545997000116-1-000004/2025,1,1,97500.0
04545997000116-1-000005/2025,1,1,19200.0
04545997000116-1-000006/2025,1,1,61200.0
04587036000174-1-000019/2025,1,1,15000.0
04621712000189-1-000005/2025,1,1,3686.92
04621712000189-1-000012/2025,1,1,8827.38
04664584000150-1-000001/2025,1,1,13532.0
04691691000178-1-000017/2025,2,1,1260.0
04691691000178-1-000027/2025,1,1,550.0
04691691000178-1-000032/2025,1,1,247000.0
04691691000178-1-000042/2025,1,1,28900.0
04691691000178-1-000047/2025,1,1,490.0
04691691000178-1-000048/2025,1,1,2300.0
04691691000178-1-000049/2025,1,1,6940.0
04691691000178-1-000052/2025,2,2,930.5
04691691000178-1-000054/2025,1,1,3828.66
04691691000178-1-000055/2025,1,1,320000.0
04691691000178-1-000058/2025,1,1,190020.0
04691691000178-1-000059/2025,1,1,67000.0
04691691000178-1-000061/2025,1,1,8200.0
04691691000178-1-000083/2025,4,1,8031.16
04691691000178-1-000127/2024,1,1,162000.0
04691691000178-1-000132/2025,1,1,15520.0
04691691000178-1-000160/2025,1,1,1440.0
04691691000178-1-000162/2025,1,1,1020.0
04691691000178-1-000166/2025,1,1,480.0
04691691000178-1-000168/2025,2,1,684.3399999999999
04691691000178-1-000169/2025,1,1,2310.8
04691691000178-1-000174/2024,2,1,882000.0
04691691000178-1-000178/2025,2,1,2300.21
04691691000178-1-000301/2025,1,1,45998.55
04691691000178-1-000335/2025,1,1,124730.84
04704773000100-1-000007/2025,1,1,410.0
04704773000100-1-000008/2025,1,1,350.0
04704773000100-1-000009/2025,1,1,3420.0
04704773000100-1-000014/2025,1,1,2900.0
04704773000100-1-000015/2025,1,1,440.0
04752073000190-1-000004/2025,2,2,0.02
04755519000130-1-000055/2025,1,1,30000.0
04776218000193-1-000003/2025,1,1,14385.25
04776218000193-1-000004/2025,1,1,3659.62
04776218000193-1-000020/2025,1,1,750.0
04786328000136-1-000178/2025,1,1,1302535.0
04786328000136-1-000183/2025,1,1,183072.0
04786328000136-1-000184/2025,1,1,2289868.8
04794805000105-1-000006/2025,14,10,14969.09
04828495000100-1-000023/2025,1,1,686.75
04838209000180-1-000021/2025,1,1,324000.0
04841899000126-1-000024/2025,1,1,15001.2
04870834000109-1-000006/2025,1,1,4633.35
04903989000102-1-000005/2025,1,1,8300.0
04927847000177-1-000010/2025,1,1,22839.6
04939481000156-1-000002/2025,1,1,1728.0
04973965000111-1-000012/2025,1,1,213960.0
05002963000148-1-000017/2025,1,1,2559.52
05029092000156-1-000013/2025,2,2,1800000.0
05029092000156-1-000015/2025,1,1,92160.0
05048537000145-1-000001/2025,1,1,15990.0
05054861000176-1-000416/2023,1,1,199377.0
05054861000176-1-000781/2024,1,1,219705.0
05055033000152-1-000004/2025,1,1,556396.56
05055033000152-1-000043/2025,1,1,757953.44
05055033000152-1-000044/2025,1,1,4688290.89
05055033000152-1-000050/2025,1,1,312000.0
05055033000152-1-000068/2025,1,1,7000.0
05055033000152-1-000069/2025,1,1,1045.0
05055033000152-1-000070/2025,1,1,11050.0
05055033000152-1-000071/2025,1,1,15225.0
05055033000152-1-000072/2025,1,1,527.0
05055033000152-1-000073/2025,1,1,301.0
05055033000152-1-000074/2025,1,1,124.0
05055033000152-1-000080/2025,1,1,609930.69
