municipio_ibge,categoria,ano_assinatura,valor_total,n_fornecedores,hhi,hhi_10000,cr1,cr4,n_efetivo,entropia,entropia_normalizada,exposicao_degree,exposicao_strength,n_instrumentos,datas_sentinela,interpretavel_piloto
2400208,Serviços de Engenharia,2025,1762180.51,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.51,0.84,1,1,False
2402006,Locação Imóveis,2025,4200.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5108695652173914,0.021739130434782608,1,1,False
2402600,Serviços,2025,4525.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.9997057092407299,0.7769276044732195,1,1,False
2406007,Compras,2025,43500.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.7626987204342769,2,1,False
2408003,Serviços,2025,5490494.0,2.0,0.9645247157712131,9645.24715771213,0.9819360516558255,1.0,1.0367800675801466,0.09040555046203921,0.13042763932042092,0.49690226040512725,0.9907293593793304,6,1,False
2408102,Serviços,2025,815400.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.9558563861094762,1,1,False
2411908,Compras,2025,18873.66,2.0,0.5926931685179833,5926.931685179833,0.7152825684048563,1.0,1.687213642938519,0.5973537440828,0.8617992842447105,0.7286895061008102,0.6889022619223711,2,1,False
2412005,Compras,2025,539479.06,6.0,0.38623185891368816,3862.3185891368817,0.5285191236152891,0.9870946798194539,2.5891183674298386,1.1219267179276733,0.6261592234871982,0.4115996588579338,0.882592167770484,6,2,True
2413557,Serviços,2025,20400.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.4793996468510889,1,1,False
2413805,Compras,2025,49930.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.8557580457541683,0.8115548662272198,1,1,False
2414902,Compras,2025,41703.4,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.7572702597906166,1,1,False
2414902,Serviços,2025,12574.24,6.0,0.3693511448654917,3693.511448654917,0.5566936848668389,0.9302542340531118,2.7074506574608685,1.293639951893057,0.7219942040827594,0.4879340788699235,0.2200322104754149,6,5,True
2502201,Serviços,2025,105600.0,2.0,0.5092975206611571,5092.975206611571,0.5681818181818182,1.0,1.9634888438133873,0.6838206287849113,0.9865446300055644,0.48793407886992346,0.6971748087110066,2,1,False
2503704,Serviços,2025,36000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.5932901706886404,1,1,False
2504009,Compras,2025,1171964.89,15.0,0.25627498269133314,2562.7498269133316,0.363680886378772,0.8749898642441414,3.9020585993149246,1.6706238135663753,0.6169102082695552,0.41012539411827653,0.8863121224995347,18,5,True
2504009,Locação Imóveis,2025,99192.0,4.0,0.2936445570458518,2936.445570458518,0.3486571497701427,1.0,3.405477731514202,1.2823847984636558,0.9250450946274545,0.5108695652173914,0.5118715744958394,4,2,False
2504009,Serviços,2025,983684.0,8.0,0.2181822305879965,2181.822305879965,0.2927769486949061,0.8588123828383912,4.583324669956032,1.6998574532748214,0.817458639352576,0.48793407886992346,0.8475997781809175,8,4,True
2504009,Serviços de Saúde,2024,1352000.0,5.0,0.20338923707153111,2033.8923707153112,0.21301775147928995,0.8520710059171598,4.916681012222413,1.6003210654592577,0.9943353844814962,0.53125,0.5706360946745562,5,2,True
2504009,Serviços de Saúde,2025,5206000.0,5.0,0.35734012986876895,3573.4012986876896,0.44756050710718404,0.9446792162888975,2.798454235652861,1.2120527249084216,0.7530907005137734,0.49907578558225507,0.9587352287244278,5,2,True
2506301,Serviços,2025,144000.0,2.0,0.5034722222222221,5034.722222222221,0.5416666666666666,1.0,1.9862068965517246,0.6896709283570267,0.99498482818597,0.48793407886992346,0.7685771041789287,2,1,False
2507507,Compras,2025,2394297.3299999996,27.0,0.10748009482123279,1074.800948212328,0.20938752832339336,0.5795176908959758,9.304048360426727,2.5551904861796015,0.7752782040081244,0.5550294557292939,0.9023282340730258,38,6,True
2507507,Obras,2025,2901708.3600000003,2.0,0.5022174725279023,5022.174725279023,0.5332976915709061,0.9999999999999999,1.9911692736744475,0.6909280660559859,0.996798494509973,0.5104166666666665,0.679164439056515,2,1,False
2507507,Serviços,2025,359109.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.9175985874043555,1,1,False
2507507,Serviços de Engenharia,2025,5128676.57,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.51,0.98,1,1,False
2508901,Compras,2025,271185.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.9212873206669252,1,1,False
2511509,Compras,2025,1111414.19,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.9786739046141916,1,1,False
2515302,Compras,2025,151263.6,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.8836758433501357,1,1,False
2515302,Serviços,2025,223637.9,2.0,0.6858945061361155,6858.945061361154,0.8048725193717166,1.0,1.457950152762341,0.49357302746540543,0.7120753590408926,0.48793407886992346,0.8261734026951462,2,2,False
2600104,Compras,2025,9129600.370000001,15.0,0.8193873604915801,8193.873604915801,0.9042016808453138,0.9723070255264633,1.2204239999504798,0.49873172195183546,0.18416635029470482,0.4221948919934898,0.986433292132891,19,2,True
2600401,Serviços,2025,716232.1,9.0,0.19088431919730375,1908.8431919730376,0.34904886279182407,0.7147787009266967,5.238775003652186,1.8824209251223682,0.8567266835347801,0.48793407886992346,0.7966852299080605,9,5,True
2601102,Compras,2025,99600.0,2.0,0.886776019741617,8867.76019741617,0.9397590361445783,1.0,1.1276804714355868,0.22763002895372253,0.32840071392894665,0.4094610314075223,0.8168618638960651,2,1,False
2601706,Compras,2025,250.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.04459092671578131,1,1,False
2601706,Serviços,2025,4000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.20953502060035314,1,1,False
2602209,Compras,2025,1568644.72,3.0,0.8029672402351377,8029.672402351376,0.8918526305943898,1.0,1.2453808199038905,0.4008116993110945,0.3648345312039191,0.40946103140752227,0.9688671370495594,3,3,False
2602209,Serviços de Engenharia,2025,482999.99,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.51,0.68,1,1,False
