categoria,ano_assinatura,fornecedor_id_limpo,degree,strength,n_compradores_categoria,reach,pct_degree,pct_strength
Compras,2025,56369549000889,1,11321.35,467,0.0021413276231263384,0.4003839590443686,0.5302901023890785
Compras,2025,56392728000160,2,12363.8,467,0.004282655246252677,0.841296928327645,0.5435153583617748
Compras,2025,56998701003484,2,2970988.0,467,0.004282655246252677,0.841296928327645,0.9948805460750854
Compras,2025,57027920000110,1,4795.6,467,0.0021413276231263384,0.4003839590443686,0.38353242320819114
Compras,2025,57047626000170,1,9600.0,467,0.0021413276231263384,0.4003839590443686,0.5006399317406144
Compras,2025,57057642000144,1,4387.39,467,0.0021413276231263384,0.4003839590443686,0.36902730375426623
Compras,2025,57069019000101,1,1597.09,467,0.0021413276231263384,0.4003839590443686,0.21459044368600683
Compras,2025,57099699000106,1,179.8,467,0.0021413276231263384,0.4003839590443686,0.03498293515358362
Compras,2025,57107200000165,1,6000.0,467,0.0021413276231263384,0.4003839590443686,0.4251279863481229
Compras,2025,57109731000197,1,44145.0,467,0.0021413276231263384,0.4003839590443686,0.7482935153583617
Compras,2025,57161373000161,2,11539.44,467,0.004282655246252677,0.841296928327645,0.5324232081911263
Compras,2025,57250353000167,1,751.0,467,0.0021413276231263384,0.4003839590443686,0.1309726962457338
Compras,2025,57320173000104,1,288000.0,467,0.0021413276231263384,0.4003839590443686,0.9180887372013652
Compras,2025,57393564000159,1,18000.0,467,0.0021413276231263384,0.4003839590443686,0.6098549488054608
Compras,2025,57413712000150,1,1500.0,467,0.0021413276231263384,0.4003839590443686,0.20819112627986347
Compras,2025,57435752000100,1,3870.0,467,0.0021413276231263384,0.4003839590443686,0.3506825938566553
Compras,2025,57449024000140,1,10114.8,467,0.0021413276231263384,0.4003839590443686,0.5081058020477816
Compras,2025,57466063000155,1,26181.5,467,0.0021413276231263384,0.4003839590443686,0.6697952218430034
Compras,2025,57467683000109,1,49346.7,467,0.0021413276231263384,0.4003839590443686,0.7640784982935154
Compras,2025,57594297000188,1,2200.0,467,0.0021413276231263384,0.4003839590443686,0.2619453924914676
Compras,2025,57630701000121,1,19350.0,467,0.0021413276231263384,0.4003839590443686,0.6224402730375427
Compras,2025,57765012000124,2,2413.96,467,0.004282655246252677,0.841296928327645,0.2794368600682594
Compras,2025,57794545000134,1,5530.0,467,0.0021413276231263384,0.4003839590443686,0.4104095563139932
Compras,2025,57864311000116,1,8850.0,467,0.0021413276231263384,0.4003839590443686,0.4880546075085324
Compras,2025,57960196000183,1,180860.0,467,0.0021413276231263384,0.4003839590443686,0.890358361774744
Compras,2025,57977634000116,1,2068.3,467,0.0021413276231263384,0.4003839590443686,0.2546928327645051
Compras,2025,57991888000199,1,3900.0,467,0.0021413276231263384,0.4003839590443686,0.3511092150170648
Compras,2025,58003216000190,1,525.0,467,0.0021413276231263384,0.4003839590443686,0.0966296928327645
Compras,2025,58050444000111,1,1724.0,467,0.0021413276231263384,0.4003839590443686,0.22909556313993173
Compras,2025,58055398000143,1,489.0,467,0.0021413276231263384,0.4003839590443686,0.09129692832764505
Compras,2025,58077235000161,1,4377.0,467,0.0021413276231263384,0.4003839590443686,0.3681740614334471
Compras,2025,58097746000145,1,5292.0,467,0.0021413276231263384,0.4003839590443686,0.40102389078498296
Compras,2025,58149730000139,1,42950.0,467,0.0021413276231263384,0.4003839590443686,0.7444539249146758
Compras,2025,58209890000126,1,18601.03,467,0.0021413276231263384,0.4003839590443686,0.6151877133105802
Compras,2025,58269137000126,1,29821.94,467,0.0021413276231263384,0.4003839590443686,0.6915529010238908
Compras,2025,58283794000128,1,9170.0,467,0.0021413276231263384,0.4003839590443686,0.4931740614334471
Compras,2025,58348728000199,1,9600.0,467,0.0021413276231263384,0.4003839590443686,0.5006399317406144
Compras,2025,58378784000176,1,3703.0,467,0.0021413276231263384,0.4003839590443686,0.3455631399317406
Compras,2025,58421861000123,4,17896.21,467,0.008565310492505354,0.91830204778157,0.6087883959044369
Compras,2025,58430828000160,1,71643.0,467,0.0021413276231263384,0.4003839590443686,0.8080204778156996
Compras,2025,58437004000111,2,4306.8,467,0.004282655246252677,0.841296928327645,0.363481228668942
Compras,2025,58437387000128,1,853.7,467,0.0021413276231263384,0.4003839590443686,0.14121160409556313
Compras,2025,58451428000130,1,58000.0,467,0.0021413276231263384,0.4003839590443686,0.7866894197952219
Compras,2025,58452997000109,1,10624.0,467,0.0021413276231263384,0.4003839590443686,0.5179180887372014
Compras,2025,58456944000158,1,35752.13,467,0.0021413276231263384,0.4003839590443686,0.7171501706484642
