orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,integracao_siconfi_principal
03331692000149,1,13,2914703,Itaberaba,BA,537412.6200000001,13,11,0.1089585501060536,0.1005917159763313,0.1540715586470596,0.4922028068488603,9.177802008439548,0.0198544051166589,0.0106508875739645,0.0083668341297222,0.0092035175426944,0.4275820514845261,0.6236079343642486,True
03347877000141,1,37,4218509,Treze Tílias,SC,59610.55,37,23,0.4507483930538905,0.0723155588020453,0.6573183773677646,0.8617821845294164,2.218532590265812,0.4257824109199764,0.0301480842021382,0.3784328342518452,0.3956343267178381,0.9926419510304528,0.8483274694792272,True
03347885000198,1,371,4218509,Treze Tílias,SC,301348.73520000005,371,101,0.0421368381939179,0.035374634011668,0.0938679134698422,0.3015633164668414,23.73220305230068,0.0325582065758571,0.0257283803517847,0.0067622041822499,0.0068298262240724,0.9967971185344284,0.9258669152020818,True
03387174000147,1,9,5211909,Jataí,GO,61759.88,9,9,0.1662204676383578,0.1111111111111111,0.2976042051895178,0.7103886859883796,6.016106284670534,0.0619980260931526,0.0,0.0551093565272467,0.0619980260931526,0.4888003255223168,0.3353278454871785,True
03532661000156,1,7,5205109,Catalão,GO,221392.0,7,5,0.2918430140710689,0.2653061224489795,0.3614493748644937,0.9850039748500397,3.426499699446232,0.114803767588836,0.0816326530612244,0.0265368916220893,0.0331711145276116,0.8902867546739327,0.8247273166616034,True
03838193000142,1,5,4215000,Rio Negrinho,SC,19221.0,5,5,0.8788656177060126,0.2,0.9364757296706728,0.9934836897143748,1.1378303802692482,0.8485820221325158,3.4694469519536136e-17,0.6788656177060125,0.8485820221325158,0.4431696700266153,0.413997541468605,True
03918310000188,1,14,4218202,Timbó,SC,311273.48,14,14,0.2033035220907753,0.0714285714285714,0.2948163139371847,0.8200457681136215,4.918753938524974,0.1420191776362195,0.0,0.1318749506622038,0.1420191776362195,0.5827454439948715,0.6686894258972653,True
04073373000143,1,5,3540705,Porto Ferreira,SP,9021.93,5,5,0.2601198601651932,0.2,0.33471884618923,0.911327177222612,3.844381583801154,0.0751498252064914,3.4694469519536136e-17,0.0601198601651931,0.0751498252064914,0.6499919033951532,0.430043090199214,True
04124168000160,1,5,3135100,Janaúba,MG,103946.43,5,5,0.472820427296715,0.2,0.6633025299666376,0.9717162003543556,2.1149678445945344,0.3410255341208937,3.4694469519536136e-17,0.2728204272967149,0.3410255341208936,0.4468696204518196,0.5534823017033595,True
04200511000108,1,9,4201307,Araquari,SC,36304.600000000006,9,7,0.9438989062413548,0.1851851851851851,0.9714471444389968,0.9924031665408792,1.0594354897412075,0.9345487239482472,0.0493827160493827,0.7587137210561696,0.8851660078988645,0.9258812534628876,0.8459013145944434,True
04244520000109,1,6,5220009,São João d'Aliança,GO,27423.9,6,6,0.2896097196707135,0.1666666666666666,0.3992867535252097,0.9450515790970648,3.45292278566134,0.1475316636048562,3.3306690738754695e-17,0.1229430530040468,0.1475316636048562,0.7149979760299612,0.424497509991012,True
04244525000123,1,170,5220009,São João d'Aliança,GO,1338491.7999999998,170,101,0.0817806568215462,0.0152249134948096,0.2188383447698371,0.4888398270351749,12.227830380258537,0.0725984633897616,0.0053771626297577,0.0665557433267365,0.0672213007600038,0.6891041183669617,0.6987624163206227,True
04326257000199,1,19,4102901,Bituruna,PR,586207.14,19,19,0.4777186176891517,0.0526315789473684,0.6708267319978395,0.8970196439436066,2.093282453250949,0.4487029853385489,0.0,0.4250870387417833,0.4487029853385489,0.7247371088311149,0.7938694561544749,True
04402872000137,1,19,4212809,Balneário Piçarras,SC,658174.0,19,19,0.9999453040071768,0.0526315789473684,0.9999726516088452,0.9999772096740376,1.0000546989846386,0.9999422653409088,0.0,0.9473137250598084,0.9999422653409088,0.4060725010652735,0.9232222462529572,True
04413256000181,1,6,5209101,Goiatuba,GO,114958.56,6,5,0.2696890169483637,0.2222222222222222,0.429546090347687,0.901025204212718,3.707974508251725,0.0871112711854546,0.0277777777777778,0.0474667947261414,0.0593334934076768,0.4060703352497573,0.4761772547991539,True
04515660000166,1,13,4202404,Blumenau,SC,29073.46,13,12,0.4756541808277265,0.0887573964497041,0.6698531925680672,0.9298136513507508,2.1023677291342517,0.4279863790847926,0.0059171597633136,0.3868967843780224,0.422069219321479,0.989556118085166,0.7436180881355515,True
04539825000130,1,6,3300506,Bom Jardim,RJ,6584.43,6,6,0.3880391490499872,0.1666666666666666,0.5722591021546284,0.9561085773559748,2.577059563315298,0.2656469788599847,3.3306690738754695e-17,0.2213724823833205,0.2656469788599847,0.7607783855719826,0.2292802551153106,True
04621712000189,1,15,5210000,Inhumas,GO,304306.99,15,13,0.3246752969754832,0.0844444444444444,0.4929232811904847,0.922642526219986,3.080000262771798,0.2683982383901068,0.0081481481481481,0.2402308525310388,0.2602500902419587,0.5284294239842491,0.7037730886305221,True
04691691000178,1,135,3549805,São José do Rio Preto,SP,22123035.38,135,102,0.1728012803169052,0.0168449931412894,0.2756746832088644,0.7732094387673488,5.786994159800618,0.1646111939834092,0.0071107851525893,0.1559562871756158,0.1575004088308199,0.5921070429877062,0.941806024445308,True
