rank,score,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15
148,6.41354903615715,1,3,4,5,9,11,12,13,14,17,20,21,22,24,25
149,6.413497207302558,1,3,4,5,9,11,12,13,14,16,17,21,22,24,25
150,6.4134575319063485,1,2,3,4,5,9,11,13,14,17,21,22,23,24,25
151,6.413386152736632,1,3,4,5,9,11,12,14,15,17,21,22,23,24,25
152,6.413315497030784,3,4,5,9,11,12,13,15,17,20,21,22,23,24,25
153,6.413296738061048,1,2,3,4,5,9,11,12,13,15,17,22,23,24,25
154,6.413263668176192,3,4,5,9,11,12,13,15,16,17,21,22,23,24,25
155,6.413216541039206,1,3,4,5,11,12,13,14,15,17,19,20,21,24,25
156,6.413164712184614,1,3,4,5,11,12,13,14,15,16,17,19,21,24,25
157,6.413125036788404,1,2,3,4,5,11,13,14,15,17,19,21,23,24,25
158,6.413092506535962,3,4,5,7,9,11,12,13,14,15,17,21,23,24,25
159,6.413021496319893,3,4,5,6,9,11,12,13,14,15,17,21,22,24,25
160,6.41293247873689,1,3,4,5,9,10,11,12,13,15,17,21,22,24,25
161,6.412878501801269,1,3,4,5,11,12,13,14,15,16,17,20,21,24,25
162,6.41283882640506,1,2,3,4,5,11,13,14,15,17,20,21,23,24,25
163,6.412786997550468,1,2,3,4,5,11,13,14,15,16,17,21,23,24,25
164,6.412446511156131,2,3,4,5,9,11,12,13,14,15,19,21,23,24,25
165,6.412312244757708,2,3,4,5,9,11,12,13,14,17,19,21,23,24,25
166,6.412160300772786,2,3,4,5,9,11,12,13,14,15,20,21,23,24,25
167,6.412108471918194,2,3,4,5,9,11,12,13,14,15,16,21,23,24,25
168,6.412031137719044,1,2,3,4,5,11,12,13,15,17,19,21,22,24,25
169,6.412026034374364,2,3,4,5,9,11,12,13,14,17,20,21,23,24,25
170,6.411974205519772,2,3,4,5,9,11,12,13,14,16,17,21,23,24,25
171,6.411777282478891,1,2,3,4,5,9,10,11,12,13,14,15,21,24,25
172,6.411769593133844,2,3,4,5,9,11,13,14,15,17,19,21,22,24,25
173,6.4117449273356995,1,2,3,4,5,11,12,13,15,17,20,21,22,24,25
174,6.411693098481107,1,2,3,4,5,11,12,13,15,16,17,21,22,24,25
175,6.411656683560453,1,2,3,4,5,6,9,11,12,13,15,17,21,24,25
176,6.411643016080468,1,2,3,4,5,9,10,11,12,13,14,17,21,24,25
177,6.411521936840877,1,2,3,4,5,7,11,12,13,14,15,17,21,24,25
178,6.411483382750499,2,3,4,5,9,11,13,14,15,17,20,21,22,24,25
179,6.411431553895907,2,3,4,5,9,11,13,14,15,16,17,21,22,24,25
180,6.411409476954104,2,3,4,5,9,10,11,12,13,15,17,21,23,24,25
181,6.411203720018459,2,3,4,5,10,11,12,13,14,15,17,21,22,24,25
182,6.411166571200532,1,3,4,5,11,12,13,15,17,19,21,22,23,24,25
183,6.4109777718963965,1,3,4,5,9,11,12,13,14,15,17,19,22,24,25
184,6.410912715960379,1,3,4,5,9,10,11,12,13,14,15,21,23,24,25
185,6.410905026615332,3,4,5,9,11,13,14,15,17,19,21,22,23,24,25
186,6.410880360817187,1,3,4,5,11,12,13,15,17,20,21,22,23,24,25
187,6.410828531962595,1,3,4,5,11,12,13,15,16,17,21,22,23,24,25
188,6.410792117041941,1,3,4,5,6,9,11,12,13,15,17,21,23,24,25
189,6.410778449561956,1,3,4,5,9,10,11,12,13,14,17,21,23,24,25
190,6.410691561513052,1,3,4,5,9,11,12,13,14,15,17,20,22,24,25
191,6.410657370322365,1,3,4,5,7,11,12,13,14,15,17,21,23,24,25
192,6.41063973265846,1,3,4,5,9,11,12,13,14,15,16,17,22,24,25
193,6.410618816231987,3,4,5,9,11,13,14,15,17,20,21,22,23,24,25
194,6.410600057262251,1,2,3,4,5,9,11,13,14,15,17,22,23,24,25
195,6.410586360106296,1,3,4,5,6,11,12,13,14,15,17,21,22,24,25
196,6.410566987377395,3,4,5,9,11,13,14,15,16,17,21,22,23,24,25
197,6.410343870060477,1,2,3,4,5,9,11,12,13,14,21,22,23,24,25
198,6.410339153499946,3,4,5,10,11,12,13,14,15,17,21,22,23,24,25
199,6.410235797938093,1,3,4,5,9,10,11,13,14,15,17,21,22,24,25
200,6.410011374942534,1,2,3,4,5,11,12,13,14,15,19,21,23,24,25
201,6.409924729470585,1,2,3,4,5,9,11,12,13,14,15,17,21,22,25
202,6.409877108544111,1,2,3,4,5,11,12,13,14,17,19,21,23,24,25
203,6.409725164559189,1,2,3,4,5,11,12,13,14,15,20,21,23,24,25
204,6.409673335704597,1,2,3,4,5,11,12,13,14,15,16,21,23,24,25
205,6.409631718106692,1,3,4,5,9,11,12,13,15,17,19,20,21,24,25
206,6.409590898160767,1,2,3,4,5,11,12,13,14,17,20,21,23,24,25
207,6.4095798892521,1,3,4,5,9,11,12,13,15,16,17,19,21,24,25
208,6.409540213855891,1,2,3,4,5,9,11,13,15,17,19,21,23,24,25
209,6.409539069306175,1,2,3,4,5,11,12,13,14,16,17,21,23,24,25
210,6.40945477011361,2,3,4,5,9,11,12,13,14,15,17,19,23,24,25
211,6.409334456920247,1,2,3,4,5,11,13,14,15,17,19,21,22,24,25
212,6.409301926667805,3,4,5,7,9,11,12,13,14,15,17,21,22,24,25
213,6.409293678868756,1,3,4,5,9,11,12,13,15,16,17,20,21,24,25
214,6.4092540034725465,1,2,3,4,5,9,11,13,15,17,20,21,23,24,25
215,6.409202174617954,1,2,3,4,5,9,11,13,15,16,17,21,23,24,25
216,6.409168559730266,2,3,4,5,9,11,12,13,14,15,17,20,23,24,25
217,6.4091285523654395,1,2,3,5,9,11,12,13,14,15,17,21,23,24,25
218,6.409116730875674,2,3,4,5,9,11,12,13,14,15,16,17,23,24,25
219,6.409090510789452,3,4,5,9,10,11,12,13,14,15,17,19,21,24,25
220,6.40906335832351,2,3,4,5,6,11,12,13,14,15,17,21,23,24,25
221,6.4090601629520725,1,3,4,5,9,11,12,13,14,15,17,21,22,23,25
222,6.409048246536902,1,2,3,4,5,11,13,14,15,17,20,21,22,24,25
223,6.40899641768231,1,2,3,4,5,11,13,14,15,16,17,21,22,24,25
224,6.408974340740507,1,2,3,4,5,10,11,12,13,15,17,21,23,24,25
225,6.408960002761656,1,2,3,4,5,6,9,11,13,14,15,17,21,24,25
226,6.408804300406107,3,4,5,9,10,11,12,13,14,15,17,20,21,24,25
227,6.40878554143637,1,2,3,4,5,9,10,11,12,13,14,15,17,24,25
228,6.408752471551515,3,4,5,9,10,11,12,13,14,15,16,17,21,24,25
229,6.4087127961553065,2,3,4,5,9,10,11,13,14,15,17,21,23,24,25
230,6.408655931287973,2,3,4,5,9,11,12,13,14,15,19,21,22,24,25
231,6.408521664889551,2,3,4,5,9,11,12,13,14,17,19,21,22,24,25
232,6.408469890401735,1,3,4,5,11,13,14,15,17,19,21,22,23,24,25
233,6.408369720904629,2,3,4,5,9,11,12,13,14,15,20,21,22,24,25
234,6.408317892050037,2,3,4,5,9,11,12,13,14,15,16,21,22,24,25
235,6.408235454506206,2,3,4,5,9,11,12,13,14,17,20,21,22,24,25
236,6.40818368001839,1,3,4,5,11,13,14,15,17,20,21,22,23,24,25
237,6.408183625651614,2,3,4,5,9,11,12,13,14,16,17,21,22,24,25
238,6.408131851163798,1,3,4,5,11,13,14,15,16,17,21,22,23,24,25
239,6.408095436243143,1,3,4,5,6,9,11,13,14,15,17,21,23,24,25
240,6.408072571085689,2,3,4,5,9,11,12,14,15,17,21,22,23,24,25
241,6.407937113908364,1,2,3,4,5,7,9,11,12,13,15,17,21,24,25
242,6.407920974917858,1,3,4,5,9,10,11,12,13,14,15,17,23,24,25
243,6.407902959388262,2,3,4,5,11,12,13,14,15,17,19,20,21,24,25
244,6.40785113053367,2,3,4,5,11,12,13,14,15,16,17,19,21,24,25
245,6.40779136476946,3,4,5,9,11,12,13,14,15,19,21,22,23,24,25
246,6.407657098371039,3,4,5,9,11,12,13,14,17,19,21,22,23,24,25
247,6.407618897085946,2,3,4,5,9,10,11,12,13,15,17,21,22,24,25
248,6.4075649201503255,2,3,4,5,11,12,13,14,15,16,17,20,21,24,25
249,6.407505154386116,3,4,5,9,11,12,13,14,15,20,21,22,23,24,25
250,6.407486395416379,1,2,3,4,5,9,11,12,13,14,15,22,23,24,25
251,6.407453325531524,3,4,5,9,11,12,13,14,15,16,21,22,23,24,25
252,6.407370887987694,3,4,5,9,11,12,13,14,17,20,21,22,23,24,25
253,6.407352129017957,1,2,3,4,5,9,11,12,13,14,17,22,23,24,25
254,6.407319059133102,3,4,5,9,11,12,13,14,16,17,21,22,23,24,25
255,6.407122136092221,1,3,4,5,9,10,11,12,13,14,15,21,22,24,25
256,6.407072547389852,1,3,4,5,7,9,11,12,13,15,17,21,23,24,25
257,6.40703839286975,3,4,5,11,12,13,14,15,17,19,20,21,23,24,25
258,6.407019633900013,1,2,3,4,5,11,12,13,14,15,17,19,23,24,25
259,6.407001537173784,1,3,4,5,6,9,11,12,13,15,17,21,22,24,25
260,6.406987869693799,1,3,4,5,9,10,11,12,13,14,17,21,22,24,25
261,6.406986564015158,3,4,5,11,12,13,14,15,16,17,19,21,23,24,25
262,6.406935037307895,1,3,4,5,9,11,13,14,15,17,19,20,21,24,25
263,6.406883208453303,1,3,4,5,9,11,13,14,15,16,17,19,21,24,25
264,6.406866790454208,1,3,4,5,7,11,12,13,14,15,17,21,22,24,25
265,6.406754330567433,3,4,5,9,10,11,12,13,15,17,21,22,23,24,25
266,6.406733423516669,1,2,3,4,5,11,12,13,14,15,17,20,23,24,25
267,6.4067003536318134,3,4,5,11,12,13,14,15,16,17,20,21,23,24,25
268,6.406681594662077,1,2,3,4,5,11,12,13,14,15,16,17,23,24,25
269,6.4066553745758545,1,3,4,5,10,11,12,13,14,15,17,19,21,24,25
270,6.406596998069959,1,3,4,5,9,11,13,14,15,16,17,20,21,24,25
271,6.4064265520100205,1,2,3,4,5,9,11,12,13,15,19,21,23,24,25
272,6.40636916419251,1,3,4,5,10,11,12,13,14,15,17,20,21,24,25
273,6.406317335337918,1,3,4,5,10,11,12,13,14,15,16,17,21,24,25
274,6.406292285611598,1,2,3,4,5,9,11,12,13,17,19,21,23,24,25
275,6.4062776599417095,1,2,3,4,5,10,11,13,14,15,17,21,23,24,25
276,6.406220795074376,1,2,3,4,5,11,12,13,14,15,19,21,22,24,25
277,6.406140341626676,1,2,3,4,5,9,11,12,13,15,20,21,23,24,25
278,6.406088512772084,1,2,3,4,5,9,11,12,13,15,16,21,23,24,25
279,6.406086528675954,1,2,3,4,5,11,12,13,14,17,19,21,22,24,25
280,6.4060060752282535,1,2,3,4,5,9,11,12,13,17,20,21,23,24,25
281,6.405954246373661,1,2,3,4,5,9,11,12,13,16,17,21,23,24,25
282,6.405934584691032,1,2,3,4,5,11,12,13,14,15,20,21,22,24,25
283,6.40588275583644,1,2,3,4,5,11,12,13,14,15,16,21,22,24,25
284,6.405852989549588,2,3,4,5,11,12,13,15,17,19,21,22,23,24,25
285,6.405846340915785,1,2,3,4,5,6,9,11,12,13,14,15,21,24,25
286,6.405800318292609,1,2,3,4,5,11,12,13,14,17,20,21,22,24,25
287,6.405749633987734,1,2,3,4,5,9,11,13,15,17,19,21,22,24,25
288,6.405748489438017,1,2,3,4,5,11,12,13,14,16,17,21,22,24,25
289,6.405712074517362,1,2,3,4,5,6,9,11,12,13,14,17,21,24,25
290,6.405664190245453,2,3,4,5,9,11,12,13,14,15,17,19,22,24,25
291,6.405637434872092,1,2,3,4,5,11,12,14,15,17,21,22,23,24,25
292,6.405599134309435,2,3,4,5,9,10,11,12,13,14,15,21,23,24,25
293,6.405566779166244,2,3,4,5,11,12,13,15,17,20,21,22,23,24,25
294,6.405514950311652,2,3,4,5,11,12,13,15,16,17,21,22,23,24,25
295,6.405478535390998,2,3,4,5,6,9,11,12,13,15,17,21,23,24,25
296,6.405464867911013,2,3,4,5,9,10,11,12,13,14,17,21,23,24,25
297,6.405463423604389,1,2,3,4,5,9,11,13,15,17,20,21,22,24,25
298,6.405411594749797,1,2,3,4,5,9,11,13,15,16,17,21,22,24,25
299,6.405377979862108,2,3,4,5,9,11,12,13,14,15,17,20,22,24,25
300,6.405356228555863,1,3,4,5,11,12,13,14,15,19,21,22,23,24,25
301,6.405343788671422,2,3,4,5,7,11,12,13,14,15,17,21,23,24,25
302,6.405337972497282,1,2,3,5,9,11,12,13,14,15,17,21,22,24,25
303,6.405326151007516,2,3,4,5,9,11,12,13,14,15,16,17,22,24,25
304,6.405272778455353,2,3,4,5,6,11,12,13,14,15,17,21,22,24,25
305,6.405240433109567,1,2,3,4,5,7,9,11,13,14,15,17,21,24,25
306,6.405221962157442,1,3,4,5,11,12,13,14,17,19,21,22,23,24,25
307,6.405183760872349,1,2,3,4,5,10,11,12,13,15,17,21,22,24,25
308,6.405070018172519,1,3,4,5,11,12,13,14,15,20,21,22,23,24,25
309,6.405018189317927,1,3,4,5,11,12,13,14,15,16,21,22,23,24,25
310,6.404981774397273,1,3,4,5,6,9,11,12,13,14,15,21,23,24,25
311,6.404935751774097,1,3,4,5,11,12,13,14,17,20,21,22,23,24,25
312,6.404922216287149,2,3,4,5,9,10,11,13,14,15,17,21,22,24,25
313,6.4048850674692215,1,3,4,5,9,11,13,15,17,19,21,22,23,24,25
314,6.404883922919505,1,3,4,5,11,12,13,14,16,17,21,22,23,24,25
315,6.40484750799885,1,3,4,5,6,9,11,12,13,14,17,21,23,24,25
316,6.40479962372694,3,4,5,9,11,12,13,14,15,17,19,22,23,24,25
317,6.404598857085877,1,3,4,5,9,11,13,15,17,20,21,22,23,24,25
318,6.404547028231285,1,3,4,5,9,11,13,15,16,17,21,22,23,24,25
319,6.4045134133435955,3,4,5,9,11,12,13,14,15,17,20,22,23,24,25
320,6.404473405978768,1,3,5,9,11,12,13,14,15,17,21,22,23,24,25
321,6.404461584489003,3,4,5,9,11,12,13,14,15,16,17,22,23,24,25
322,6.40440821193684,3,4,5,6,11,12,13,14,15,17,21,22,23,24,25
323,6.404388792161598,1,2,3,4,5,9,11,12,14,15,17,19,21,24,25
324,6.404375866591055,1,3,4,5,7,9,11,13,14,15,17,21,23,24,25
325,6.404319194353836,1,3,4,5,10,11,12,13,15,17,21,22,23,24,25
326,6.404318136455749,2,3,4,5,9,11,12,13,15,17,19,20,21,24,25
327,6.404304856374986,1,3,4,5,6,9,11,13,14,15,17,21,22,24,25
328,6.404266307601157,2,3,4,5,9,11,12,13,15,16,17,19,21,24,25
329,6.404130395049701,1,3,4,5,9,10,11,12,13,14,15,17,22,24,25
330,6.404102581778253,1,2,3,4,5,9,11,12,14,15,17,20,21,24,25
331,6.404057649768636,3,4,5,9,10,11,13,14,15,17,21,22,23,24,25
332,6.404050752923661,1,2,3,4,5,9,11,12,14,15,16,17,21,24,25
333,6.403980097217812,2,3,4,5,9,11,12,13,15,16,17,20,21,24,25
334,6.403821375462025,1,3,4,5,9,11,12,13,14,15,19,20,21,24,25
335,6.403769546607433,1,3,4,5,9,11,12,13,14,15,16,19,21,24,25
336,6.403746581301129,2,3,4,5,9,11,12,13,14,15,17,21,22,23,25
337,6.403729871211223,1,2,3,4,5,9,11,13,14,15,19,21,23,24,25
338,6.403687109063602,1,3,4,5,9,11,12,13,14,17,19,20,21,24,25
339,6.40363528020901,1,3,4,5,9,11,12,13,14,16,17,19,21,24,25
340,6.403595604812801,1,2,3,4,5,9,11,13,14,17,19,21,23,24,25
341,6.403524225643085,1,3,4,5,9,11,12,14,15,17,19,21,23,24,25
342,6.403483336224088,1,3,4,5,9,11,12,13,14,15,16,20,21,24,25
343,6.403453569937237,3,4,5,9,11,12,13,15,17,19,20,21,23,24,25
344,6.403443660827879,1,2,3,4,5,9,11,13,14,15,20,21,23,24,25
345,6.4034348109675,1,2,3,4,5,9,11,12,13,15,17,19,23,24,25
346,6.403401741082645,3,4,5,9,11,12,13,15,16,17,19,21,23,24,25
347,6.403391831973287,1,2,3,4,5,9,11,13,14,15,16,21,23,24,25
348,6.403349069825666,1,3,4,5,9,11,12,13,14,16,17,20,21,24,25
349,6.403309394429456,1,2,3,4,5,9,11,13,14,17,20,21,23,24,25
350,6.4032819675216945,1,3,4,5,7,9,11,12,13,15,17,21,22,24,25
351,6.403257565574864,1,2,3,4,5,9,11,13,14,16,17,21,23,24,25
352,6.403247813001593,3,4,5,11,12,13,14,15,17,19,20,21,22,24,25
353,6.40323801525974,1,3,4,5,9,11,12,14,15,17,20,21,23,24,25
354,6.403229054031856,1,2,3,4,5,11,12,13,14,15,17,19,22,24,25
355,6.4031959841470005,3,4,5,11,12,13,14,15,16,17,19,21,22,24,25
356,6.403186186405148,1,3,4,5,9,11,12,14,15,16,17,21,23,24,25
357,6.403163998095838,1,2,3,4,5,10,11,12,13,14,15,21,23,24,25
358,6.403159569226346,3,4,5,6,9,11,12,13,14,15,17,19,21,24,25
359,6.403156308750791,2,3,4,5,11,13,14,15,17,19,21,22,23,24,25
360,6.403148600584156,1,2,3,4,5,9,11,12,13,15,17,20,23,24,25
361,6.4031155306993,3,4,5,9,11,12,13,15,16,17,20,21,23,24,25
362,6.4030967717295635,1,2,3,4,5,9,11,12,13,15,16,17,23,24,25
363,6.403070551643342,1,3,4,5,9,10,11,12,13,15,17,19,21,24,25
364,6.403043399177401,1,2,3,4,5,6,11,12,13,15,17,21,23,24,25
365,6.403029731697416,1,2,3,4,5,10,11,12,13,14,17,21,23,24,25
366,6.402942843648511,1,2,3,4,5,11,12,13,14,15,17,20,22,24,25
367,6.402909773763656,3,4,5,11,12,13,14,15,16,17,20,21,22,24,25
368,6.402891014793919,1,2,3,4,5,11,12,13,14,15,16,17,22,24,25
369,6.402873358843001,3,4,5,6,9,11,12,13,14,15,17,20,21,24,25
370,6.402870098367447,2,3,4,5,11,13,14,15,17,20,21,22,23,24,25
371,6.402854599873264,1,2,3,4,5,6,9,11,12,13,14,15,17,24,25
372,6.402821529988409,3,4,5,6,9,11,12,13,14,15,16,17,21,24,25
373,6.402818269512855,2,3,4,5,11,13,14,15,16,17,21,22,23,24,25
374,6.402784341259998,1,3,4,5,9,10,11,12,13,15,17,20,21,24,25
375,6.4027818545922,2,3,4,5,6,9,11,13,14,15,17,21,23,24,25
376,6.4027325124054055,1,3,4,5,9,10,11,12,13,15,16,17,21,24,25
377,6.402692837009196,1,2,3,4,5,9,10,11,13,15,17,21,23,24,25
378,6.402635972141863,1,2,3,4,5,9,11,12,13,15,19,21,22,24,25
379,6.402607393266915,2,3,4,5,9,10,11,12,13,14,15,17,23,24,25
380,6.402501705743441,1,2,3,4,5,9,11,12,13,17,19,21,22,24,25
381,6.402487080073552,1,2,3,4,5,10,11,13,14,15,17,21,22,24,25
382,6.402364487513343,1,3,4,5,11,12,13,14,15,17,19,22,23,24,25
383,6.4023497617585186,1,2,3,4,5,9,11,12,13,15,20,21,22,24,25
384,6.4022979329039265,1,2,3,4,5,9,11,12,13,15,16,21,22,24,25
385,6.402215495360096,1,2,3,4,5,9,11,12,13,17,20,21,22,24,25
386,6.402163666505504,1,2,3,4,5,9,11,12,13,16,17,21,22,24,25
387,6.402126771263696,1,2,3,4,5,7,9,11,12,13,14,15,21,24,25
388,6.402078277129998,1,3,4,5,11,12,13,14,15,17,20,22,23,24,25
389,6.402052611939579,1,2,3,4,5,9,11,12,15,17,21,22,23,24,25
390,6.402026448275406,1,3,4,5,11,12,13,14,15,16,17,22,23,24,25
391,6.401992504865273,1,2,3,4,5,7,9,11,12,13,14,17,21,24,25
392,6.401990033354752,1,3,4,5,6,9,11,12,13,14,15,17,23,24,25
393,6.401883000242152,1,2,3,4,5,11,12,13,15,17,19,20,21,24,25
394,6.40183117138756,1,2,3,4,5,11,12,13,15,16,17,19,21,24,25
395,6.401808554441278,2,3,4,5,9,10,11,12,13,14,15,21,22,24,25
396,6.40177140562335,1,3,4,5,9,11,12,13,15,19,21,22,23,24,25
397,6.4017589657389085,2,3,4,5,7,9,11,12,13,15,17,21,23,24,25
398,6.40168795552284,2,3,4,5,6,9,11,12,13,15,17,21,22,24,25
399,6.401674288042855,2,3,4,5,9,10,11,12,13,14,17,21,22,24,25
400,6.4016371392249285,1,3,4,5,9,11,12,13,17,19,21,22,23,24,25
401,6.401622513555039,1,3,4,5,10,11,13,14,15,17,21,22,23,24,25
402,6.401621455656952,2,3,4,5,9,11,13,14,15,17,19,20,21,24,25
403,6.40156962680236,2,3,4,5,9,11,13,14,15,16,17,19,21,24,25
404,6.401553208803264,2,3,4,5,7,11,12,13,14,15,17,21,22,24,25
405,6.401544961004215,1,2,3,4,5,11,12,13,15,16,17,20,21,24,25
406,6.401485195240006,1,3,4,5,9,11,12,13,15,20,21,22,23,24,25
407,6.401442335307823,1,3,4,5,8,9,11,12,13,14,15,17,21,24,25
408,6.4014333663854135,1,3,4,5,9,11,12,13,15,16,21,22,23,24,25
409,6.401350928841584,1,3,4,5,9,11,12,13,17,20,21,22,23,24,25
410,6.401341792924911,2,3,4,5,10,11,12,13,14,15,17,19,21,24,25
411,6.401311445087532,1,2,3,4,5,11,12,13,14,15,17,21,22,23,25
412,6.401299099986992,1,3,4,5,9,11,12,13,16,17,21,22,23,24,25
413,6.401283416419015,2,3,4,5,9,11,13,14,15,16,17,20,21,24,25
414,6.4012622047451835,1,3,4,5,7,9,11,12,13,14,15,21,23,24,25
415,6.401191194529115,1,3,4,5,6,9,11,12,13,14,15,21,22,24,25
416,6.401127938346761,1,3,4,5,7,9,11,12,13,14,17,21,23,24,25
417,6.401056928130693,1,3,4,5,6,9,11,12,13,14,17,21,22,24,25
418,6.4010555825415665,2,3,4,5,10,11,12,13,14,15,17,20,21,24,25
419,6.40101843372364,1,3,4,5,11,12,13,15,17,19,20,21,23,24,25
420,6.401003753686974,2,3,4,5,10,11,12,13,14,15,16,17,21,24,25
421,6.400966604869048,1,3,4,5,11,12,13,15,16,17,19,21,23,24,25
422,6.400943987922765,3,4,5,9,10,11,12,13,14,15,21,22,23,24,25
423,6.400829634419504,1,3,4,5,9,11,12,13,14,15,17,19,20,24,25
424,6.400823389004327,3,4,5,6,9,11,12,13,15,17,21,22,23,24,25
425,6.400809721524342,3,4,5,9,10,11,12,13,14,17,21,22,23,24,25
426,6.400777805564912,1,3,4,5,9,11,12,13,14,15,16,17,19,24,25
427,6.40075688913844,3,4,5,9,11,13,14,15,17,19,20,21,23,24,25
428,6.400738130168703,1,2,3,4,5,9,11,13,14,15,17,19,23,24,25
429,6.400724433012749,1,3,4,5,6,11,12,13,14,15,17,19,21,24,25
430,6.400705060283848,3,4,5,9,11,13,14,15,16,17,19,21,23,24,25
431,6.400688642284751,3,4,5,7,11,12,13,14,15,17,21,22,23,24,25
432,6.400680394485703,1,3,4,5,11,12,13,15,16,17,20,21,23,24,25
433,6.400585286722897,1,3,4,5,7,9,11,13,14,15,17,21,22,24,25
434,6.400491595181568,1,3,4,5,9,11,12,13,14,15,16,17,20,24,25
435,6.4004819429669295,1,2,3,4,5,9,11,12,13,14,19,21,23,24,25
436,6.400477226406398,3,4,5,10,11,12,13,14,15,17,19,21,23,24,25
437,6.400451919785358,1,2,3,4,5,9,11,13,14,15,17,20,23,24,25
438,6.400438222629404,1,3,4,5,6,11,12,13,14,15,17,20,21,24,25
439,6.400418849900503,3,4,5,9,11,13,14,15,16,17,20,21,23,24,25
440,6.400400090930766,1,2,3,4,5,9,11,13,14,15,16,17,23,24,25
441,6.400386393774812,1,3,4,5,6,11,12,13,14,15,16,17,21,24,25
442,6.400373870844545,1,3,4,5,9,10,11,13,14,15,17,19,21,24,25
443,6.400346718378604,1,2,3,4,5,6,11,13,14,15,17,21,23,24,25
444,6.400195732583585,1,2,3,4,5,9,11,12,13,14,20,21,23,24,25
445,6.4001910160230535,3,4,5,10,11,12,13,14,15,17,20,21,23,24,25
446,6.400172257053318,1,2,3,4,5,10,11,12,13,14,15,17,23,24,25
447,6.400143903728993,1,2,3,4,5,9,11,12,13,14,16,21,23,24,25
448,6.400139187168461,3,4,5,10,11,12,13,14,15,16,17,21,23,24,25
449,6.4000876604612005,1,3,4,5,9,10,11,13,14,15,17,20,21,24,25
450,6.400062802377037,1,2,3,4,5,9,11,12,13,14,15,17,19,21,25
451,6.40004264690492,2,3,4,5,11,12,13,14,15,19,21,22,23,24,25
452,6.400035831606608,1,3,4,5,9,10,11,13,14,15,16,17,21,24,25
453,6.399939291343066,1,2,3,4,5,9,11,13,14,15,19,21,22,24,25
454,6.399908380506498,2,3,4,5,11,12,13,14,17,19,21,22,23,24,25
455,6.399805024944643,1,2,3,4,5,9,11,13,14,17,19,21,22,24,25
456,6.399776591993692,1,2,3,4,5,9,11,12,13,14,15,17,20,21,25
457,6.399756436521575,2,3,4,5,11,12,13,14,15,20,21,22,23,24,25
458,6.399733645774927,1,3,4,5,9,11,12,14,15,17,19,21,22,24,25
459,6.3997247631391,1,2,3,4,5,9,11,12,13,14,15,16,17,21,25
460,6.399704607666983,2,3,4,5,11,12,13,14,15,16,21,22,23,24,25
461,6.399668192746329,2,3,4,5,6,9,11,12,13,14,15,21,23,24,25
462,6.399662990069079,3,4,5,9,11,12,13,15,17,19,20,21,22,24,25
463,6.399653080959721,1,2,3,4,5,9,11,13,14,15,20,21,22,24,25
464,6.399644231099343,1,2,3,4,5,9,11,12,13,15,17,19,22,24,25
465,6.399622170123154,2,3,4,5,11,12,13,14,17,20,21,22,23,24,25
466,6.399611161214487,3,4,5,9,11,12,13,15,16,17,19,21,22,24,25
467,6.399601252105129,1,2,3,4,5,9,11,13,14,15,16,21,22,24,25
468,6.399579175163325,1,2,3,4,5,9,10,11,12,13,15,21,23,24,25
469,6.399571485818278,2,3,4,5,9,11,13,15,17,19,21,22,23,24,25
470,6.399570341268562,2,3,4,5,11,12,13,14,16,17,21,22,23,24,25
471,6.399533926347907,2,3,4,5,6,9,11,12,13,14,17,21,23,24,25
472,6.399518814561299,1,2,3,4,5,9,11,13,14,17,20,21,22,24,25
473,6.399466985706707,1,2,3,4,5,9,11,13,14,16,17,21,22,24,25
474,6.399447435391583,1,3,4,5,9,11,12,14,15,17,20,21,22,24,25
475,6.399444908764902,1,2,3,4,5,9,10,11,12,13,17,21,23,24,25
476,6.399439999574257,3,4,5,7,9,11,12,13,14,15,17,19,21,24,25
477,6.399395606536991,1,3,4,5,9,11,12,14,15,16,17,21,22,24,25
478,6.399373418227681,1,2,3,4,5,10,11,12,13,14,15,21,22,24,25
479,6.399358020715998,1,2,3,4,5,9,11,12,13,15,17,20,22,24,25
480,6.399355931140781,1,2,3,4,5,9,11,14,15,17,21,22,23,24,25
481,6.399324950831143,3,4,5,9,11,12,13,15,16,17,20,21,22,24,25
482,6.399323829525311,1,2,3,4,5,7,11,12,13,15,17,21,23,24,25
483,6.399306191861406,1,2,3,4,5,9,11,12,13,15,16,17,22,24,25
484,6.399285275434933,2,3,4,5,9,11,13,15,17,20,21,22,23,24,25
485,6.399252819309243,1,2,3,4,5,6,11,12,13,15,17,21,22,24,25
486,6.399239151829258,1,2,3,4,5,10,11,12,13,14,17,21,22,24,25
487,6.399233446580341,2,3,4,5,9,11,13,15,16,17,21,22,23,24,25
488,6.399198235858525,1,3,4,5,9,11,12,13,14,15,17,19,21,23,25
489,6.399186319443355,1,2,3,4,5,11,13,14,15,17,19,20,21,24,25
490,6.399159824327826,2,3,5,9,11,12,13,14,15,17,21,22,23,24,25
491,6.399153789190913,3,4,5,7,9,11,12,13,14,15,17,20,21,24,25
492,6.399135030221175,1,2,3,4,5,7,9,11,12,13,14,15,17,24,25
493,6.399134490588763,1,2,3,4,5,11,13,14,15,16,17,19,21,24,25
494,6.399101960336321,3,4,5,7,9,11,12,13,14,15,16,17,21,24,25
495,6.399074724824553,1,3,4,5,9,11,13,14,15,19,21,22,23,24,25
