fold,config,mean_hits,brier,ge11,n
5,blend_w30_lw0.75,9.063333333333333,0.23997093069253614,35,300
5,blend_w60_lw0.25,9.063333333333333,0.24007827022879444,28,300
5,blend_w60_lw0.5,9.06,0.24000682514562793,34,300
5,blend_w30_lw0.25,9.053333333333333,0.24004200528183,32,300
5,repeatmix_rw0.1,9.046666666666667,0.24019028342944926,36,300
5,marg_w60_hlNone_pr100.0,9.046666666666667,0.24039808333333335,36,300
5,marg_w60_hlNone_pr25.0,9.046666666666667,0.24167902191464818,36,300
5,blend_w60_lw0.75,9.04,0.2399759481799498,36,300
5,blend_w120_lw0.25,9.04,0.2402016120926126,30,300
5,pair_w120_pw0.25,9.04,0.24036399558890953,42,300
5,blend_w120_lw0.75,9.036666666666667,0.24001243396403774,39,300
5,marg_w120_hl60.0_pr100.0,9.03,0.24036399558890953,35,300
5,marg_w120_hl60.0_pr25.0,9.03,0.24121831296374827,35,300
5,pair_w60_pw0.1,9.026666666666667,0.24019028342944926,32,300
5,pair_w120_pw0.1,9.023333333333333,0.24036399558890953,37,300
5,pair_w60_pw0.25,9.02,0.24019028342944926,32,300
5,marg_w120_hlNone_pr100.0,9.02,0.24072563636363634,34,300
5,marg_w120_hlNone_pr25.0,9.02,0.24156769560047564,34,300
5,marg_w500_hl250.0_pr100.0,9.006666666666666,0.24027584989505574,41,300
5,marg_w500_hl250.0_pr25.0,9.006666666666666,0.2404348737218414,41,300
5,marg_w250_hl125.0_pr100.0,9.0,0.2405641188628047,35,300
5,marg_w250_hl125.0_pr25.0,9.0,0.24102178337231317,35,300
5,pair_w250_pw0.1,8.993333333333334,0.2405641188628047,35,300
5,marg_w250_hlNone_pr100.0,8.983333333333333,0.24081681850340136,35,300
5,marg_w250_hlNone_pr25.0,8.983333333333333,0.24115438369146006,35,300
5,pair_w250_pw0.25,8.973333333333333,0.2405641188628047,35,300
5,repeatmix_rw0.5,8.96,0.24019028342944926,29,300
5,repeatmix_rw0.25,8.953333333333333,0.24019028342944926,26,300
6,marg_w500_hlNone_pr100.0,9.126666666666667,0.23971205407407412,36,300
6,marg_w500_hlNone_pr25.0,9.126666666666667,0.2397442883144369,36,300
6,blend_w120_lw0.75,9.11,0.23985527180042407,32,300
6,marg_w120_hlNone_pr100.0,9.09,0.24022883195592284,35,300
6,marg_w120_hlNone_pr25.0,9.09,0.24080739437177964,35,300
6,marg_w500_hl250.0_pr100.0,9.086666666666666,0.2397917018936845,33,300
6,marg_w500_hl250.0_pr25.0,9.086666666666666,0.23987110185081736,33,300
6,marg_w250_hlNone_pr100.0,9.076666666666666,0.23991419210884354,33,300
6,marg_w250_hl125.0_pr100.0,9.076666666666666,0.240024621660212,33,300
6,marg_w250_hlNone_pr25.0,9.076666666666666,0.24010722027548212,33,300
6,marg_w250_hl125.0_pr25.0,9.076666666666666,0.2403407315628119,33,300
6,marg_wNone_hlNone_pr25.0,9.07,0.23978455162148435,34,300
6,marg_wNone_hlNone_pr100.0,9.07,0.23978661858178943,34,300
6,blend_w30_lw0.75,9.063333333333333,0.23989335577453658,29,300
6,blend_w60_lw0.75,9.06,0.23989436107396747,36,300
6,pair_w250_pw0.25,9.046666666666667,0.240024621660212,30,300
6,blend_w120_lw0.5,9.043333333333333,0.23996229682586412,34,300
6,pair_w250_pw0.1,9.033333333333333,0.240024621660212,31,300
6,marg_w30_hlNone_pr100.0,9.02,0.2404682603550296,28,300
6,marg_w30_hlNone_pr25.0,9.02,0.24233838016528922,28,300
6,repeatmix_rw0.25,9.006666666666666,0.2404241741371783,37,300
6,repeatmix_rw0.1,9.0,0.2404241741371783,38,300
6,blend_w60_lw0.5,8.983333333333333,0.24003653449725826,34,300
6,repeatmix_rw0.5,8.983333333333333,0.2404241741371783,34,300
6,marg_w60_hlNone_pr100.0,8.966666666666667,0.24061463541666664,34,300
6,marg_w60_hlNone_pr25.0,8.966666666666667,0.24203386389850057,34,300
6,blend_w30_lw0.5,8.96,0.24002909269342892,21,300
6,blend_w120_lw0.25,8.946666666666667,0.24010769365810963,33,300
6,pair_w120_pw0.1,8.946666666666667,0.24029146229716067,33,300
6,pair_w120_pw0.25,8.946666666666667,0.24029146229716067,31,300
6,marg_w120_hl60.0_pr100.0,8.936666666666667,0.24029146229716067,31,300
6,marg_w120_hl60.0_pr25.0,8.936666666666667,0.2410660489599452,31,300
6,pair_w60_pw0.25,8.93,0.2404241741371783,29,300
6,blend_w60_lw0.25,8.92,0.24021313885166193,27,300
6,blend_w30_lw0.25,8.906666666666666,0.24019382933846647,27,300
6,marg_w30_hl15_pr100.0,8.903333333333334,0.2403875657096493,20,300
6,marg_w30_hl15_pr25.0,8.903333333333334,0.24193161048537373,20,300
6,marg_w60_hl30.0_pr100.0,8.883333333333333,0.2404241741371783,22,300
6,pair_w60_pw0.1,8.883333333333333,0.2404241741371783,24,300
6,marg_w60_hl30.0_pr25.0,8.883333333333333,0.24175370213734151,22,300
7,marg_w500_hlNone_pr100.0,9.123333333333333,0.24010142666666667,32,300
7,marg_w500_hlNone_pr25.0,9.123333333333333,0.2402088838095238,32,300
7,marg_wNone_hlNone_pr100.0,9.103333333333333,0.2398763275296967,36,300
7,marg_wNone_hlNone_pr25.0,9.103333333333333,0.23987714058169696,36,300
7,blend_w120_lw0.75,9.073333333333334,0.2399609010150709,38,300
7,blend_w60_lw0.75,9.053333333333333,0.2399405337850907,40,300
7,marg_w250_hlNone_pr100.0,9.05,0.24048996789115648,27,300
7,marg_w250_hlNone_pr25.0,9.05,0.24080900584022036,27,300
7,blend_w30_lw0.75,9.03,0.23993523186142696,39,300
7,marg_w60_hl30.0_pr100.0,9.003333333333334,0.2403636236246844,45,300
7,marg_w60_hl30.0_pr25.0,9.003333333333334,0.24162800788989539,45,300
7,marg_w60_hlNone_pr100.0,9.0,0.24064968750000001,38,300
7,marg_w60_hlNone_pr25.0,9.0,0.24209439446366782,38,300
7,pair_w250_pw0.25,8.996666666666666,0.24041005544184307,34,300
7,blend_w30_lw0.5,8.993333333333334,0.24002743968717358,39,300
7,marg_w500_hl250.0_pr100.0,8.99,0.240170166677685,30,300
7,marg_w500_hl250.0_pr25.0,8.99,0.240353055810223,30,300
7,pair_w250_pw0.1,8.99,0.24041005544184307,33,300
7,blend_w60_lw0.5,8.976666666666667,0.24004315188605338,34,300
7,blend_w60_lw0.25,8.976666666666667,0.2401841818325846,41,300
7,marg_w250_hl125.0_pr100.0,8.976666666666667,0.24041005544184307,32,300
7,marg_w250_hl125.0_pr25.0,8.976666666666667,0.24085777634789612,32,300
7,blend_w120_lw0.5,8.973333333333333,0.24008449601671217,38,300
7,pair_w60_pw0.1,8.96,0.2403636236246844,41,300
7,pair_w60_pw0.25,8.96,0.2403636236246844,43,300
7,marg_w120_hlNone_pr100.0,8.96,0.24064530027548206,31,300
7,marg_w120_hlNone_pr25.0,8.96,0.2414065414189457,31,300
7,repeatmix_rw0.25,8.953333333333333,0.2403636236246844,37,300
7,repeatmix_rw0.5,8.946666666666667,0.2403636236246844,38,300
7,pair_w120_pw0.25,8.946666666666667,0.24044875056879572,30,300
7,blend_w120_lw0.25,8.94,0.2402471125346204,34,300
7,pair_w120_pw0.1,8.926666666666666,0.24044875056879572,29,300
7,blend_w30_lw0.25,8.91,0.24015295100693662,38,300
7,repeatmix_rw0.1,8.903333333333334,0.2403636236246844,29,300
7,marg_w120_hl60.0_pr100.0,8.903333333333334,0.24044875056879572,30,300
7,marg_w120_hl60.0_pr25.0,8.903333333333334,0.2413247010153781,30,300
7,marg_w30_hl15_pr100.0,8.896666666666667,0.24031176582071603,31,300
7,marg_w30_hl15_pr25.0,8.896666666666667,0.2417693673162188,31,300
7,marg_w30_hlNone_pr100.0,8.883333333333333,0.24061016173570018,32,300
7,marg_w30_hlNone_pr25.0,8.883333333333333,0.2427410688705234,32,300
8,marg_w500_hlNone_pr100.0,9.123333333333333,0.24007448666666667,39,300
8,marg_w500_hlNone_pr25.0,9.123333333333333,0.24017021387755097,39,300
8,marg_wNone_hlNone_pr100.0,9.08,0.23992676092803197,34,300
8,marg_wNone_hlNone_pr25.0,9.08,0.23992894764606543,34,300
8,pair_w120_pw0.25,9.08,0.24018949265294845,36,300
8,marg_w30_hlNone_pr100.0,9.073333333333334,0.24027140039447734,31,300
8,marg_w30_hlNone_pr25.0,9.073333333333334,0.24210468319559225,31,300
8,blend_w120_lw0.25,9.066666666666666,0.24004722507249776,35,300
8,pair_w60_pw0.25,9.063333333333333,0.24019162847795628,34,300
8,pair_w120_pw0.1,9.06,0.24018949265294845,35,300
8,marg_w120_hlNone_pr100.0,9.06,0.2403732231404959,28,300
8,marg_w120_hlNone_pr25.0,9.06,0.24111505350772888,28,300
8,marg_w500_hl250.0_pr100.0,9.056666666666667,0.24015331979756288,37,300
8,marg_w500_hl250.0_pr25.0,9.056666666666667,0.2403361876291563,37,300
8,marg_w30_hl15_pr100.0,9.053333333333333,0.2400531080154807,37,300
8,marg_w30_hl15_pr25.0,9.053333333333333,0.2411497015983501,37,300
8,marg_w120_hl60.0_pr100.0,9.05,0.24018949265294845,36,300
8,marg_w60_hl30.0_pr100.0,9.05,0.24019162847795628,36,300
8,marg_w60_hlNone_pr100.0,9.05,0.24056307291666665,34,300
8,marg_w120_hl60.0_pr25.0,9.05,0.24097328380727817,36,300
8,marg_w60_hl30.0_pr25.0,9.05,0.24135179501075593,36,300
8,marg_w60_hlNone_pr25.0,9.05,0.2420892272202999,34,300
8,pair_w60_pw0.1,9.043333333333333,0.24019162847795628,33,300
8,blend_w60_lw0.75,9.04,0.23992399999603103,34,300
8,blend_w30_lw0.25,9.026666666666667,0.2399642979240582,34,300
8,blend_w60_lw0.25,9.026666666666667,0.24005643377099317,32,300
8,blend_w120_lw0.75,9.02,0.23991585921003955,31,300
8,blend_w120_lw0.5,9.013333333333334,0.23995601392486152,29,300
8,blend_w60_lw0.5,9.013333333333334,0.2399672242770181,30,300
8,blend_w30_lw0.5,9.01,0.2399136367123426,32,300
8,marg_w250_hlNone_pr100.0,9.01,0.24064092952380955,30,300
8,marg_w250_hlNone_pr25.0,9.01,0.24103211724517906,30,300
8,repeatmix_rw0.25,8.993333333333334,0.24019162847795628,33,300
8,repeatmix_rw0.5,8.993333333333334,0.24019162847795628,31,300
8,marg_w250_hl125.0_pr100.0,8.993333333333334,0.24038562597537133,34,300
8,marg_w250_hl125.0_pr25.0,8.993333333333334,0.24087169540548384,34,300
8,blend_w30_lw0.75,8.983333333333333,0.23990112438033379,30,300
8,repeatmix_rw0.1,8.966666666666667,0.24019162847795628,30,300
8,pair_w250_pw0.25,8.966666666666667,0.24038562597537133,37,300
8,pair_w250_pw0.1,8.963333333333333,0.24038562597537133,35,300
9,marg_w60_hl30.0_pr100.0,9.056666666666667,0.2402677724556763,34,300
9,marg_w60_hl30.0_pr25.0,9.056666666666667,0.24143293259171444,34,300
9,repeatmix_rw0.1,9.053333333333333,0.2402677724556763,33,300
9,marg_w500_hl250.0_pr100.0,9.046666666666667,0.24036314664120675,39,300
9,marg_w500_hl250.0_pr25.0,9.046666666666667,0.24052763002273422,39,300
9,blend_w60_lw0.5,9.043333333333333,0.2400516728626231,32,300
9,marg_w60_hlNone_pr100.0,9.04,0.24050417708333333,38,300
9,marg_w60_hlNone_pr25.0,9.04,0.241852862745098,38,300
9,marg_w30_hlNone_pr100.0,9.033333333333333,0.24035253648915186,30,300
9,marg_w30_hlNone_pr25.0,9.033333333333333,0.24216788980716256,30,300
9,pair_w60_pw0.1,9.026666666666667,0.2402677724556763,38,300
9,marg_w500_hlNone_pr100.0,9.016666666666667,0.2402953140740741,33,300
9,marg_w500_hlNone_pr25.0,9.016666666666667,0.24038179797430084,33,300
9,blend_w60_lw0.25,9.003333333333334,0.24013621431494944,38,300
9,blend_w120_lw0.5,9.0,0.24009981468326258,27,300
9,repeatmix_rw0.25,8.996666666666666,0.2402677724556763,37,300
9,repeatmix_rw0.5,8.996666666666666,0.2402677724556763,37,300
9,marg_w30_hl15_pr100.0,8.993333333333334,0.24018789345518818,32,300
9,marg_w30_hl15_pr25.0,8.993333333333334,0.2414512441040867,32,300
9,pair_w60_pw0.25,8.99,0.2402677724556763,36,300
9,blend_w60_lw0.75,8.986666666666666,0.24001414809869734,39,300
9,marg_wNone_hlNone_pr100.0,8.986666666666666,0.2400236400231721,37,300
9,marg_wNone_hlNone_pr25.0,8.986666666666666,0.24002745888363083,37,300
9,marg_w250_hl125.0_pr100.0,8.983333333333333,0.2405329476569897,31,300
9,marg_w250_hl125.0_pr25.0,8.983333333333333,0.2409951027688549,31,300
9,blend_w120_lw0.75,8.973333333333333,0.24003544788382958,35,300
9,blend_w30_lw0.25,8.973333333333333,0.2400899376796787,30,300
9,pair_w250_pw0.1,8.97,0.2405329476569897,28,300
9,blend_w120_lw0.25,8.966666666666667,0.24021674042147118,28,300
9,pair_w250_pw0.25,8.966666666666667,0.2405329476569897,29,300
9,marg_w120_hl60.0_pr100.0,8.963333333333333,0.24038622509845534,31,300
9,marg_w120_hl60.0_pr25.0,8.963333333333333,0.24122399049419915,31,300
9,blend_w30_lw0.5,8.946666666666667,0.24002991018250622,28,300
9,marg_w120_hlNone_pr100.0,8.943333333333333,0.2406437355371901,31,300
9,marg_w120_hlNone_pr25.0,8.943333333333333,0.24141150059453034,31,300
9,blend_w30_lw0.75,8.94,0.24000781096367074,34,300
9,pair_w120_pw0.25,8.94,0.24038622509845534,30,300
9,pair_w120_pw0.1,8.936666666666667,0.24038622509845534,30,300
9,marg_w250_hlNone_pr100.0,8.91,0.24077262585034012,24,300
9,marg_w250_hlNone_pr25.0,8.91,0.24112749311294768,24,300
