orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength,integracao_siconfi_principal
30499841000156,1,11,2709152,Teotônio Vilela,AL,2959425.8,11,11,0.1769608589305262,0.3477228589410824,0.670749068957904,5.650967146314507,0.8449727716257943,0.0909090909090909,11.0,0.0860517680214353,0.4095272879056663,0.8751980755193302,True
30613786000183,1,10,5205513,Cocalzinho de Goiás,GO,754543.3,10,10,0.2150746123659178,0.3882613496137332,0.7479491236619554,4.649549237818208,0.8119740089716597,0.1,9.999999999999996,0.1150746123659178,0.6404746255239835,0.7668649309852061,True
30649011000168,1,10,4216701,São José do Cedro,SC,5951.299999999999,10,10,0.2919187435490323,0.5124930687412834,0.7313192075680943,3.425610797862434,0.7533037018992218,0.1,9.999999999999996,0.1919187435490323,0.9810281776827356,0.8474987300790975,True
30746268000138,1,7,1714880,Nova Olinda,TO,337689.53,7,7,0.1530519988678133,0.2132135988936346,0.6717709015141807,6.533727147619103,0.9815672251283982,0.1428571428571428,7.0,0.0101948560106704,0.535708606044899,0.6541648116659412,True
30747548000160,1,31,4212502,Penha,SC,531277.72,31,26,0.3751629975911137,0.6004204354739363,0.7618834081730361,2.665508076278593,0.531787752758646,0.0426638917793964,23.43902439024391,0.3324991058117172,0.9762101552229028,0.8876909741205914,True
30753960000193,1,36,4219309,Videira,SC,642417.12,36,31,0.1744466522708444,0.2631649511457602,0.7815569267518898,5.7324115251429895,0.5868419542553054,0.0401234567901234,24.923076923076906,0.1343231954807209,0.662476962227047,0.7809749599858834,True
30753994000188,1,16,4203204,Camboriú,SC,14745565.05,16,14,0.2076320482671417,0.2782356421126093,0.8343431071161291,4.816212180854609,0.6499654477559088,0.0859375,11.636363636363637,0.1216945482671417,0.4095272879056663,0.969762632637964,True
30755320000112,1,9,2911709,Guanambi,BA,1342190.2,9,9,0.2451394860118811,0.4004635110582688,0.8586534158869584,4.079310176702962,0.7589795096097496,0.1111111111111111,9.0,0.13402837490077,0.4095272879056663,0.8325391023670782,True
30773502000116,1,19,2608909,Limoeiro,PE,1837194.5,19,16,0.3816938479647497,0.5987390012325858,0.8245087822764546,2.619900753790384,0.5488410784202657,0.0858725761772853,11.64516129032258,0.2958212717874643,0.8670801304138107,0.8958050772487212,True
30784957000137,1,9,2604007,Carpina,PE,2581184.55,9,9,0.2825602655240775,0.3874190243390384,0.9122168347087,3.5390680219855186,0.6777274406036079,0.1111111111111111,9.0,0.1714491544129664,0.7029878236497775,0.9261781694614196,True
30899445000116,1,6,2918001,Jequié,BA,1065918.5,6,6,0.6088571562246513,0.771259716385446,0.9628311170131676,1.6424213623450097,0.4840037494936727,0.1666666666666666,5.999999999999999,0.4421904895579846,0.4095272879056663,0.8699068884386537,True
30985841000166,1,7,2906808,Cansanção,BA,2051136.8,7,6,0.6977668945324824,0.8278808122403147,0.9779926916624968,1.4331433718563271,0.3693739968744632,0.183673469387755,5.444444444444445,0.5140934251447273,0.4095272879056662,0.9268920577846832,True
31030781000190,1,8,4216255,São João do Oeste,SC,1943143.4,8,8,0.170337688761652,0.2244986139468656,0.7509697946121733,5.870691373529598,0.8925157537489234,0.125,8.0,0.045337688761652,0.4095272879056663,0.8631946597403845,True
31030892000105,1,179,4211009,Mondaí,SC,340717.104,179,44,0.0809645169479598,0.1825635968072797,0.4562483308733453,12.351089559921078,0.7552023951377556,0.065197715427109,15.337960746768788,0.0157668015208508,0.9318530007111891,0.8701659549516196,True
31178434000100,1,5,1505304,Oriximiná,PA,619917.64,5,5,0.2764168234258567,0.3549896402367256,0.9916569562369608,3.617724809967039,0.8442835834426641,0.2,4.999999999999999,0.0764168234258566,0.4699665048670477,0.7985259670240659,True
31294097000116,1,13,2307254,Jijoca de Jericoacoara,CE,1259226.88,13,10,0.2105433444217841,0.3827800118116919,0.7641251114334535,4.749615822558073,0.8131578181312037,0.1124260355029586,8.894736842105262,0.0981173089188255,0.6680259407727234,0.8237288507070001,True
31417180000135,1,7,3551702,Sertãozinho,SP,6997.31,7,3,0.3368811759894262,0.3817624201300214,1.0,2.968405691006574,0.9952572055664974,0.5510204081632654,1.8148148148148149,-0.2141392321738391,0.4095272879056663,0.1445461586724366,True
31442430000197,1,9,3200201,Alegre,ES,3389042.48,9,7,0.3179583898882437,0.3924837790761478,0.9663987982823988,3.145065618024675,0.6660039957882493,0.1604938271604938,6.230769230769231,0.1574645627277499,0.7266401214927993,0.9564147367713282,True
31724255000120,1,20,3205036,Vargem Alta,ES,582505.49,20,20,0.0865467542317016,0.1184946771917978,0.4420217224047107,11.554448331162314,0.8676611466230407,0.05,19.999999999999996,0.0365467542317016,0.6839379673268516,0.7029155869043884,True
32001836000105,1,79,3305158,São José do Vale do Rio Preto,RJ,3915175.39,79,35,0.0904658531024775,0.1863390339710937,0.5154241072198812,11.0538945436929,0.7805745211533514,0.0411792981893927,24.284046692607,0.0492865549130848,0.4109325657520621,0.8213951904233627,True
