cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,despesa_empenhada_per_capita
3505302,233023352.57,216708481.69,206376804.55,34430,0.9299861121211058,0.8856485939022125,6768.032313970374
3505708,5535217031.48,5334602886.97,5302938903.35,342613,0.9637567699027766,0.9580363106254042,16155.887346598056
3505807,149636648.84,132181219.34,130247544.71,21516,0.8833478988248104,0.8704254320027446,6954.668564788994
3506003,2414757037.63,2331709165.25,2277455610.08,388686,0.9656081870408343,0.9431406864498646,6212.616450373824
3507902,203677043.12,184194121.6,181953270.79,23751,0.9043440477063421,0.8933420674356458,8575.514425497873
3508108,142031240.29,137682939.13,136328157.99,17203,0.9693848962304236,0.9598462824914054,8256.190216241353
3508702,99813024.66,93530060.88,93404860.74,16947,0.9370526662086226,0.9357983194895799,5889.7164489290135
3509502,10666515272.08,10480489483.0,10136520355.05,1170247,0.9825598347412553,0.9503122712984547,9114.755493566743
3510005,217924181.03,216289207.25,216204352.6,29530,0.9924975109587544,0.9921081340222485,7379.755537758212
3510401,441451691.45,441360406.24,391407208.74,50954,0.9997932158563032,0.8866365591541331,8663.729863209954
3510500,1284079460.89,1196962204.93,1186137508.02,132558,0.9321558683762305,0.9237259407590585,9686.925428039049
3511102,885959027.91,875601162.4,859091590.08,114953,0.9883088662300394,0.9696741756857753,7707.141422233434
3513405,427055372.44,410877992.14,360858710.3,75592,0.962118775821576,0.8449927891978448,5649.478416234522
3516200,1459190583.56,1397904408.49,1330387124.21,370378,0.9579998831129519,0.9117295158006318,3939.7334171036077
3516705,275567712.91,264774663.08,250075244.31,41395,0.9608334020120674,0.9074910905533922,6657.028938519145
3517406,357495904.52,354002265.08,346479143.5,39351,0.9902274700330042,0.9691835322287345,9084.798468145664
3518701,2639967110.49,2505791225.77,2264159425.18,311116,0.9491751680591598,0.8576468305924285,8485.475226250015
3520442,226542796.27,216192992.24,212311358.95,25564,0.9543141331333052,0.9371799167560437,8861.789871303396
3520509,2492473877.8,2358889095.2,2226046444.79,266593,0.946404741173091,0.8931072315810329,9349.359802395413
3523107,1500508540.23,1485016012.42,1369809769.36,392218,0.9896751485282281,0.9128970163342313,3825.7003509017945
3523909,1367015058.88,1251920936.64,1195743880.43,176548,0.9158062513705614,0.8747115641942357,7743.022061309106
3524105,323704061.73,306863777.51,278782853.9,37375,0.9479762962194573,0.8612275434854796,8660.97824026756
3524303,573459265.06,573258901.81,540418239.1,72001,0.9996506059589445,0.9423829590467199,7964.601395258398
3524402,1659372548.85,1558371609.19,1515073237.56,251591,0.9391330537979571,0.9130398346109774,6595.516329479194
3526704,624833976.63,604570456.63,596575288.38,97516,0.9675697533138484,0.9547740851059168,6407.502118934329
3526803,575412860.96,556413577.39,553553614.49,65696,0.9669814756342041,0.962011195868075,8758.719875791525
3529005,1669623479.98,1621308035.13,1456008604.7,238605,0.9710620715213117,0.8720580550996092,6997.4371030783095
3530607,2739449924.55,2549185414.35,2452481957.48,471602,0.9305464544195842,0.8952461351827268,5808.8174446885305
3530706,1002030572.69,972863702.01,882649474.85,154487,0.9708922347531771,0.8808608229192891,6486.180537456226
3530805,749049842.76,702420858.27,685877301.4,90997,0.9377491565605465,0.9156631004323689,8231.588324450257
3533908,458172813.44,434304379.84,430768911.94,56037,0.9479051726775454,0.9401887220364534,8176.2552142334525
3535309,153171306.26,148291836.39,144069370.72,19559,0.9681437079232231,0.9405767583874362,7831.24424868347
3537107,284192351.7,279260633.01,275600657.76,43084,0.9826465467473029,0.9697680325012068,6596.238782378609
3539301,424295113.45,408494750.79,392655409.14,73436,0.9627609129609692,0.9254299582836735,5777.753601094831
3540002,187628703.29,187548666.7,182078258.09,20171,0.9995734309911192,0.970417931251056,9301.90388627237
3540606,580210305.7,568384394.09,566762510.56,59306,0.9796178876972332,0.976822550361673,9783.33230533167
3540705,339941840.1,329780110.98,313462869.99,52551,0.9701074480357853,0.9221073519452305,6468.798692698522
3541406,1148788755.97,1146120257.17,1145479343.23,226692,0.9976771196739763,0.9971192155887654,5067.6193071215575
3543907,1460461802.91,1411186984.88,1262954013.02,206950,0.9662607964605313,0.8647634676261565,7057.075636192318
3545803,1005279888.04,996778894.77,864840106.83,183447,0.9915436552833317,0.8602978306033594,5479.947276543088
3546603,358700002.07,357757781.9,343193193.15,34762,0.9973732362292651,0.9567694206007451,10318.738912318047
3547809,4563410835.78,4376207523.38,4188072642.68,776640,0.9589773265794506,0.9177505145587346,5875.838014755871
3548807,2653261228.56,2571395294.47,2475616035.91,166847,0.969145166254726,0.9330464747542355,15902.361016739887
3548906,1654102242.74,1567885410.55,1541838160.44,256898,0.9478769631270296,0.9321299014055892,6438.750954620122
3549805,3294334131.71,3151439095.74,3103268054.43,475643,0.9566240004028288,0.9420016095389744,6926.064573030613
3549904,5245931732.4,5115661287.57,5046568546.33,725419,0.9751673389065623,0.9619966106614217,7231.588547308521
3550308,123571806691.25,117009214332.57,116798206872.08,12200180,0.9468924786777866,0.9451849090780541,10128.68717439005
3550407,248966384.65,245280497.32,241500224.76,38991,0.9851952409752759,0.9700113736218002,6385.226966479444
3550704,1914475789.14,1779573484.29,1645404064.4,87939,0.9295356433258425,0.8594540989934015,21770.497607887286
3551009,1935173444.01,1884683369.19,1714561440.85,334632,0.9739092767233432,0.8859988473679882,5782.989803754572
3551702,870799160.51,818773654.05,796901813.96,127670,0.9402554471578379,0.9151384729095047,6820.703066577896
3552205,5524556567.45,5408658046.11,5364053743.89,738128,0.9790212083223367,0.9709473834505267,7484.55087389992
3553609,84842256.66,84197521.52,81708905.72,11730,0.9924007780393709,0.9630685101581314,7232.928956521739
3554102,2310894209.94,2215667865.77,2141117046.35,311912,0.9587924259966567,0.9265318321973691,7408.801873413014
3555406,845182511.67,812919641.5,763520077.17,97382,0.9618273334758766,0.9033789348780504,8679.042447988335
3557105,624701073.48,615815708.89,594530352.57,96795,0.9857766138602858,0.9517037472947997,6453.856846737952
4100509,130405415.34,120826886.34,119444275.02,18735,0.9265480733677636,0.9159456661257392,6960.523903923138
4100806,101510239.15,100554592.42,98398604.67,11672,0.9905857109784969,0.9693465949242619,8696.90191483893
4101408,675331117.3,651357834.61,645563418.48,135969,0.9645014392556853,0.9559213279864663,4966.802118865329
4102901,148927752.01,123657092.54,123563720.75,15443,0.8303159812128021,0.8296890208998999,9643.706016318072
4104303,716266360.62,677644534.07,672990116.58,99170,0.9460789607422455,0.9395807950515224,7222.611279822527
4104808,2132841226.84,1992767707.04,1989821609.31,350644,0.9343253881079879,0.932944086165337,6082.640019050661
4106902,14541135875.9,13265924013.71,13181874012.73,1871789,0.9123031465304238,0.9065229927860865,7768.576413206831
4109807,433405826.82,411189088.11,399591613.6,54917,0.9487391785361785,0.9219802523927683,7892.015711346213
4113700,4214542341.84,3980447683.08,3900132496.19,588125,0.9444554972348912,0.925398816728287,7166.065618431456
4114609,481924790.45,464985910.34,456736588.28,56530,0.9648516107789699,0.9477341637758863,8525.11569874403
4114906,65710363.92,61509482.28,59672086.87,9757,0.9360697249354086,0.908107691241044,6734.6893430357695
4119905,1869826766.43,1744118770.59,1716640269.05,391654,0.9327702447644333,0.9180744975255253,4774.180185648557
4120358,59303645.09,59271835.0,58953889.08,5705,0.9994636064958279,0.9941022847841948,10395.029814198073
4122107,37588543.75,35815639.1,35528001.95,3755,0.952833909666958,0.945181653918157,10010.26464713715
4128104,810217868.66,754909421.9,744319290.01,117148,0.9317363280922534,0.9186656068706704,6916.1903631303985
4200101,143798203.38,125895324.11,123501601.15,17389,0.875499979490773,0.8588535756850567,8269.492402093278
4200606,56589882.34,55716338.11,54522881.63,6765,0.9845635969915677,0.9634740235439762,8365.097167775315
4200754,33554871.22,31055715.11,30288165.44,1859,0.9255203188349475,0.9026458555426399,18049.95762237762
4200804,46446002.99,45679090.88,44880262.9,5942,0.9834880923948371,0.9662890240450376,7816.560583978458
