orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength,integracao_siconfi_principal,cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,despesa_empenhada_per_capita,portfolio_hhi_norm,count_hhi_norm,procurement_intensity_parcial,log_despesa_empenhada,log_populacao_siconfi,log_despesa_per_capita,instrumentos_por_fornecedor
12321353000172,1,13,4213708,Pouso Redondo,SC,4792709.4,13,12,0.1616494126869701,0.2503802963726529,0.695708661159385,6.186227239417652,0.8307750924586306,0.0887573964497041,11.266666666666666,0.0728920162372659,0.4095272879056662,0.9098019547964166,True,4213708,119090332.4,116413258.42,113367917.64,17143.0,0.9775206439847001,0.9519489563537401,6946.878166015284,0.08543572293124013,0.005917159763313564,0.04024431961363809,18.595392858906628,9.749345206007481,8.846047652899147,1.0833333333333333
12334083000134,1,269,4217105,São Martinho,SC,628400.6280000001,269,85,0.1166196521664153,0.3182683006484837,0.4471881145223808,8.57488409048766,0.708214343038429,0.0269896767595804,37.051203277009726,0.0896299754068349,0.9915736765705772,0.933282449028946,True,4217105,38347052.55,32897069.82,32756068.28,3654.0,0.857877402105576,0.8542004170278793,10494.54092775041,0.10610321945411072,0.015406220530527785,0.016387195004900063,17.462188226239828,8.203577736937952,9.258610489301875,3.164705882352941
12366625000150,1,6,1705508,Colinas do Tocantins,TO,427015.0,6,6,0.1912373995956911,0.2664075032493004,0.8064353711227944,5.2291026865779004,0.9586266365171922,0.1666666666666666,5.999999999999999,0.0245707329290244,0.5921064979068511,0.7153721556174664,True,1705508,253406422.25,236878989.59,235334414.29,33967.0,0.9347789510887189,0.9286837018590992,7460.371014514088,0.02948487951482934,-6.661338147750939e-17,0.0016850993601840334,19.350505169847438,10.433144744037243,8.917360425810193,1.0
12403446000146,1,14,4207858,Irati,SC,18859.17,14,12,0.2922331874259044,0.4936590528639384,0.8321628152246362,3.421924829306218,0.6709977457427132,0.0918367346938775,10.888888888888888,0.2003964527320268,0.9929266848562216,0.8647416243004448,True,4207858,32988616.03,31861806.2,31739871.84,2069.0,0.9658424642920674,0.9621462085931587,15944.232010633157,0.22789074991916844,0.00927643784786637,0.000571687214245344,17.311673091127457,7.634820677745543,9.676852413381912,1.1666666666666667
12457020000175,1,7,5002100,Bela Vista,MS,2608243.73,7,7,0.5032568700757274,0.6882024901867587,0.9479510298679026,1.987056828155223,0.5459864018617955,0.1428571428571428,7.0,0.3603997272185845,0.4870670498764606,0.9224089458321404,True,5002100,165059599.11,163868246.87,161727362.08,23594.0,0.9927822904791738,0.9798119161323098,6995.8294104433335,0.42046634842168196,-6.476300976980079e-17,0.015801830030265605,18.92181717337268,10.068747721401788,8.853069451970894,1.0
12488175000179,1,273,4218905,Urubici,SC,1119390.0048,273,89,0.2515812773046577,0.4892756927000211,0.6291990199839597,3.974858585319243,0.5501166402170817,0.0260703887077513,38.35769428718476,0.2255108885969063,0.9602117568857984,0.9441156934081972,True,4218905,85539569.96,78429030.14,75688617.37,11156.0,0.9168742627146124,0.8848374782032866,7667.584256005736,0.24307651909221062,0.015003006761248473,0.013086224367546494,18.264489633394778,9.319732748747379,8.944756884647397,3.067415730337079
12560864000147,1,8,5200258,Águas Lindas de Goiás,GO,283097.2,8,3,0.470485553146678,0.6354608947033034,1.0,2.1254637752675927,0.8265258366664243,0.40625,2.4615384615384617,0.064235553146678,0.6215174169450097,0.87178974667558,True,5200258,691558004.38,688790235.94,683242545.32,208892.0,0.995997778317263,0.9879757605185194,3310.600714148938,0.205728329720017,0.10937500000000001,0.00040936146817330835,20.35445758751793,12.249572650976026,8.104884936541906,2.6666666666666665
12570642000105,1,21,2608909,Limoeiro,PE,758537.14,21,20,0.3111398880231041,0.5125655416160638,0.8143444367140678,3.213988429300147,0.5737298146090216,0.0521541950113378,19.173913043478265,0.2589856930117662,0.5884050248914294,0.8323263811798373,True,2608909,254155639.39,248686317.12,245716731.97,55917.0,0.9784804213546986,0.9667963007224462,4545.230241071588,0.2748840926558991,0.002267573696145049,0.0029845379068533288,19.353457390829973,10.931623727399913,8.42183366343006,1.05
12592033000157,1,10,4205902,Gaspar,SC,2013964.8,10,9,0.239955001821419,0.4155981276336111,0.7924611194793474,4.167448031544794,0.7823323664606313,0.12,8.333333333333332,0.1199550018214189,0.6322667206017141,0.8867107180695248,True,4205902,504124690.22,474812532.49,468569117.81,73053.0,0.9418553419448507,0.9294706783861676,6900.807498939127,0.14494937704909638,0.010000000000000002,0.0039949735433928175,20.038334196667165,11.198940484097395,8.839393712569768,1.1111111111111112
12710978000126,1,50,1501303,Barcarena,PA,7571124.420000001,50,42,0.2929221607966188,0.5200190924877179,0.7101158297963884,3.413876223227501,0.5601919879048161,0.0288,34.722222222222214,0.2641221607966189,0.475883767779946,0.901712285000954,True,,,,,,,,,0.27567635984043876,0.00511219512195122,,,,,1.1904761904761905
