orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
11318061000118,2904902,Cachoeira,BA,1,1,1,326890.0,0.0,0.0
11320964000133,5209705,Hidrolândia,GO,7,5,7,57583.21,0.0,2.0
11323964000197,4211850,Ouro Verde,SC,58,12,34,57184.8198,1.0,1.0
11323985000102,4219705,Xaxim,SC,37,13,23,72013.42,1.0,1.0
11324516000108,5207808,Firminópolis,GO,7,6,7,338473.47,0.0,68.0
11329956000158,4207700,Ipumirim,SC,5,3,5,667.6,1.0,1.0
11333647000151,4213906,Presidente Castello Branco,SC,22,3,16,221158.9744,1.0,1.0
11335530000107,5219902,São Francisco de Goiás,GO,1,1,1,11220.0,0.0,28.0
11336672000199,1709500,Gurupi,TO,1,1,1,500000.0,1.0,2.0
11337362000199,5205513,Cocalzinho de Goiás,GO,1,1,1,30000.0,0.0,2.0
11342435000130,4215604,Santa Rosa de Lima,SC,22,1,17,25972.537,1.0,1.0
11344805000179,5221452,Trombas,GO,4,4,4,35278.05,0.0,36.0
11344960000195,4206306,Guabiruba,SC,24,5,16,51121.106,1.0,1.0
11347518000112,4206207,Gravatal,SC,15,2,15,111934.952,1.0,1.0
11352368000135,5210604,Itaguaru,GO,4,3,4,400482.57,0.0,0.5
11354232000164,5206701,Damianópolis,GO,5,5,5,432860.0,0.0,16.0
11355483000163,4207502,Indaial,SC,15,11,14,96832.542,1.0,1.0
11355924000127,4206405,Guaraciaba,SC,1,1,1,9252.0,1.0,1.0
11359214000175,4216909,São Lourenço do Oeste,SC,40,9,24,60484.885,1.0,1.0
11360515000119,4215687,Santa Terezinha do Progresso,SC,5,4,5,405115.0,0.6,1.0
11366503000100,5215900,Palminópolis,GO,2,2,2,15098.0,0.0,50.0
11370658000101,2806701,São Cristóvão,SE,1,1,1,184600.0,0.0,7.0
11375809000114,4214904,Rio Fortuna,SC,32,8,23,19798.7056,1.0,0.0
11381097000146,5205521,Colinas do Sul,GO,14,3,14,482492.4,0.0,39.0
11381861000183,4209177,Jupiá,SC,1,1,1,200000.0,1.0,13.0
11382690000107,2803203,Itaporanga d'Ajuda,SE,1,1,1,36640.0,0.0,5.0
11386903000179,4211009,Mondaí,SC,10,3,9,19717.34,1.0,1.0
