orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,integracao_siconfi_principal
03183869000107,1,6,3531100,Mongaguá,SP,291828.15,6,6,0.2516382995312229,0.1666666666666666,0.3466423646930565,0.9044706619289468,3.973957866759156,0.1019659594374675,3.3306690738754695e-17,0.0849716328645562,0.1019659594374674,0.4204930557079817,0.622878065020717,True
03230443000167,1,124,4211702,Orleans,SC,9710141.68,124,63,0.6095285665840088,0.0366805411030177,0.7486370559322261,0.9765679320139437,1.640612195756988,0.6032306402385895,0.021143130475647,0.5728480254809911,0.5820875097629425,0.4191366565134603,0.9819388720158192,True
03264792000108,1,246,4216206,São Francisco do Sul,SC,4037405.6777,246,104,0.1368406897860543,0.0215480203582523,0.3269426224099353,0.5678140749051437,7.307767898301781,0.1284605023082489,0.0120484865753227,0.1152926694278019,0.1164120157329262,0.6279345687736044,0.8991733935884834,True
03331692000149,1,14,2914703,Itaberaba,BA,554992.77,14,11,0.1099120062281914,0.1122448979591836,0.1491911327061071,0.5068032688065468,9.098187125470822,0.0209032068510105,0.023469387755102,-0.0023328917309922,-0.0025661809040914,0.4223058270263944,0.6200435504971813,True
03347877000141,1,57,4218509,Treze Tílias,SC,73383.45,57,30,0.3515226080308514,0.0649430594028931,0.5439764688087029,0.8491396902162547,2.8447672415773466,0.3291613186526049,0.0326997166236825,0.2865795486279582,0.2964616020289223,0.9928550670560522,0.8497154644441155,True
03347885000198,1,492,4218509,Treze Tílias,SC,438755.923,492,121,0.045883224980267,0.0342388789741555,0.1072534353000631,0.3472247165538549,21.79445756984319,0.0379322518551026,0.0261908696322735,0.0116443460061114,0.011741382222829,0.9967980464024118,0.9288899379935042,True
03387174000147,1,9,5211909,Jataí,GO,61759.88,9,9,0.1662204676383578,0.1111111111111111,0.2976042051895178,0.7103886859883796,6.016106284670534,0.0619980260931526,0.0,0.0551093565272467,0.0619980260931526,0.5425551545410787,0.3427780371455631,True
03532661000156,1,9,5205109,Catalão,GO,1714218.28,9,7,0.7092110910972237,0.1851851851851851,0.838632989026345,0.960582616118176,1.4100174300050714,0.6607462729467609,0.0493827160493827,0.5240259059120385,0.6113635568973782,0.4862987354406895,0.947077264541286,True
03587269000104,1,20,5201306,Anicuns,GO,3911936.47,20,18,0.2329683925281555,0.06,0.4270913530454138,0.7905564197467655,4.292427780215483,0.1878488862062823,0.0047058823529411,0.1729683925281555,0.1831430038533411,0.4384248806426526,0.8913535373723722,True
03608586000160,1,5,4113700,Londrina,PR,1392509.15,5,5,0.3066668318993257,0.2,0.3590640679093563,0.9928505317182296,3.260867808254808,0.1333335398741571,3.4694469519536136e-17,0.1066668318993257,0.1333335398741571,0.9671607469747786,0.967474901622093,True
03838193000142,1,6,4215000,Rio Negrinho,SC,20930.76,6,6,0.7478198187302247,0.1666666666666666,0.8599783285461206,0.9879961358307104,1.3372205108149842,0.6973837824762698,3.3306690738754695e-17,0.581153152063558,0.6973837824762698,0.484475953420251,0.446286654387078,True
03852808000195,1,5,5205455,Cezarina,GO,110912.72,5,4,0.3217859939454603,0.28,0.3678568157015714,1.0,3.1076554567800443,0.095714658593947,0.04,0.0417859939454602,0.055714658593947,0.7905088978566317,0.7000981354553819,True
03918310000188,1,18,4218202,Timbó,SC,341267.48,18,16,0.1727146142350652,0.0679012345679012,0.2689049070834408,0.7479719427119161,5.789898002719076,0.1175622551840696,0.0057613168724279,0.104813379667164,0.1118009383116416,0.6459244646478262,0.6435265692784846,True
03937163000193,1,8,4202107,Barra Velha,SC,224834.1,8,8,0.3769848005596946,0.125,0.4936973528481667,0.9669181409759462,2.6526268393721417,0.2879826292110796,0.0,0.2519848005596946,0.2879826292110796,0.4827325951312144,0.695806778232592,True
04073373000143,1,11,3540705,Porto Ferreira,SP,44707.93,11,7,0.4492845490168795,0.256198347107438,0.6441810211298085,0.9326788334865872,2.2257609396721767,0.3574986405196927,0.1322314049586776,0.1930862019094415,0.2252672355610151,0.8176931684299958,0.6542471072212002,True
04124168000160,1,5,3135100,Janaúba,MG,103946.43,5,5,0.472820427296715,0.2,0.6633025299666376,0.9717162003543556,2.1149678445945344,0.3410255341208937,3.4694469519536136e-17,0.2728204272967149,0.3410255341208936,0.4420803148308354,0.5419309584284806,True
04200511000108,1,10,4201307,Araquari,SC,40804.600000000006,10,8,0.7593511798887724,0.16,0.8643143175034188,0.9887517583801828,1.3169137369964674,0.7249727770157399,0.04,0.5993511798887724,0.6849727770157399,0.9495441882581572,0.8239322577174805,True
04244520000109,1,6,5220009,São João d'Aliança,GO,27423.9,6,6,0.2896097196707135,0.1666666666666666,0.3992867535252097,0.9450515790970648,3.45292278566134,0.1475316636048562,3.3306690738754695e-17,0.1229430530040468,0.1475316636048562,0.7345803967487597,0.4407857987519337,True
04244525000123,1,209,5220009,São João d'Aliança,GO,2059386.39,209,117,0.0580070076833349,0.0157276619125019,0.1422333037754998,0.415612166884331,17.239296421892394,0.0498863784392257,0.0072425555496787,0.0422793457708329,0.0426438228895469,0.790079057133568,0.7357207731958306,True
04326257000199,1,50,4102901,Bituruna,PR,866964.76,50,49,0.2271578016667813,0.0208,0.4535863949072162,0.6563852606881045,4.402226085401653,0.2110569225348393,0.0004,0.2063578016667813,0.2106569225348393,0.7460407123362139,0.7416437595586388,True
04402872000137,1,19,4212809,Balneário Piçarras,SC,658174.0,19,19,0.9999453040071768,0.0526315789473684,0.9999726516088452,0.9999772096740376,1.0000546989846386,0.9999422653409088,0.0,0.9473137250598084,0.9999422653409088,0.4014218959258223,0.917282104653464,True
04407139000105,1,10,5217609,Planaltina,GO,149016.09,10,9,0.3037811112094742,0.12,0.4496158770505923,0.8616821847895754,3.2918439070112018,0.2167537501106585,0.01,0.1837811112094741,0.2067537501106584,0.7224954165785129,0.6867351830757346,True
04413256000181,1,8,5209101,Goiatuba,GO,189243.56,8,7,0.2124696874958693,0.15625,0.330262229266877,0.7930550450435409,4.706553729079313,0.0812146354118475,0.015625,0.0562196874958693,0.0655896354118475,0.5831968338296556,0.5541651689052485,True
